datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,RAMFOR,19.0,20.3,19.0,19.4,2749,
2010-01-05 12:01:00,RAMFOR,19.0,20.37,18.43,20.37,5238,
2010-01-06 12:01:00,RAMFOR,19.36,21.39,19.36,21.23,7208,
2010-01-07 12:01:00,RAMFOR,21.1,22.3,21.1,22.25,12977,
2010-01-08 12:01:00,RAMFOR,23.2,23.35,22.2,22.8,113960,
2010-01-11 12:01:00,RAMFOR,23.6,23.6,22.4,22.6,111537,
2010-01-12 12:01:00,RAMFOR,22.0,23.0,22.0,22.6,81050,
2010-01-13 12:01:00,RAMFOR,22.2,22.6,22.0,22.52,1183,
2010-01-14 12:01:00,RAMFOR,22.1,22.1,21.4,22.0,9817,
2010-01-15 12:01:00,RAMFOR,22.0,22.1,21.1,21.1,2979,
2010-01-18 12:01:00,RAMFOR,21.4,22.16,21.4,22.16,115045,
2010-01-19 12:01:00,RAMFOR,23.27,23.27,22.6,23.16,53627,
2010-01-20 12:01:00,RAMFOR,23.0,24.3,22.8,24.03,8997,
2010-01-21 12:01:00,RAMFOR,23.8,25.24,23.8,24.96,6883,
2010-01-22 12:01:00,RAMFOR,26.21,26.21,24.1,26.1,14561,
2010-01-25 12:01:00,RAMFOR,26.02,27.41,26.02,27.41,512481,
2010-01-27 12:01:00,RAMFOR,28.75,28.78,26.79,27.33,31703,
2010-01-28 12:01:00,RAMFOR,27.6,27.6,26.42,26.95,1054,
2010-01-29 12:01:00,RAMFOR,26.9,27.2,25.61,25.88,11954,
2010-02-01 12:02:00,RAMFOR,25.7,26.56,25.02,25.71,3052,
2010-02-02 12:02:00,RAMFOR,25.8,25.8,25.0,25.08,2367,
2010-02-04 12:02:00,RAMFOR,25.25,25.25,25.25,25.25,100,
2010-02-05 12:02:00,RAMFOR,24.5,24.8,24.0,24.8,761,
2010-02-06 12:02:00,RAMFOR,23.7,26.04,23.7,26.04,51,
2010-02-08 12:02:00,RAMFOR,24.74,24.74,24.74,24.74,550,
2010-02-09 12:02:00,RAMFOR,23.51,24.4,23.51,24.4,1050,
2010-02-10 12:02:00,RAMFOR,25.39,25.39,24.2,24.51,101,
2010-02-11 12:02:00,RAMFOR,24.99,24.99,23.6,24.1,1551,
2010-02-15 12:02:00,RAMFOR,25.19,25.31,24.0,24.04,304,
2010-02-16 12:02:00,RAMFOR,24.4,24.4,23.8,23.8,377,
2010-02-17 12:02:00,RAMFOR,23.6,24.8,23.6,24.0,302,
2010-02-18 12:02:00,RAMFOR,24.01,24.8,24.01,24.05,536,
2010-02-19 12:02:00,RAMFOR,24.4,24.4,23.6,23.6,2400,
2010-02-22 12:02:00,RAMFOR,23.6,23.6,23.6,23.6,25,
2010-02-23 12:02:00,RAMFOR,22.42,22.42,22.42,22.42,50,
2010-02-26 12:02:00,RAMFOR,22.32,22.4,22.32,22.4,51,
2010-03-02 12:03:00,RAMFOR,22.2,23.52,22.2,23.38,3519,
2010-03-03 12:03:00,RAMFOR,24.4,24.55,24.4,24.55,225,
2010-03-04 12:03:00,RAMFOR,24.69,25.0,24.6,25.0,1019,
2010-03-05 12:03:00,RAMFOR,25.96,25.96,25.96,25.96,1000,
2010-03-08 12:03:00,RAMFOR,25.98,25.98,25.01,25.01,3575,
2010-03-09 12:03:00,RAMFOR,24.8,26.26,24.8,26.26,2480,
2010-03-10 12:03:00,RAMFOR,25.5,25.5,25.5,25.5,15,
2010-03-11 12:03:00,RAMFOR,24.8,24.81,24.24,24.24,1513,
2010-03-12 12:03:00,RAMFOR,25.29,25.29,23.21,23.25,415,
2010-03-15 12:03:00,RAMFOR,22.9,23.6,22.09,22.09,2645,
2010-03-16 12:03:00,RAMFOR,22.1,22.6,22.1,22.1,6017,
2010-03-17 12:03:00,RAMFOR,22.0,22.2,22.0,22.2,199,
2010-03-18 12:03:00,RAMFOR,21.2,21.2,21.09,21.2,360,
2010-03-19 12:03:00,RAMFOR,20.15,22.26,20.14,22.26,400,
2010-03-22 12:03:00,RAMFOR,21.2,22.0,21.2,22.0,212,
2010-03-23 12:03:00,RAMFOR,21.8,23.1,21.8,21.91,4519,
2010-03-25 12:03:00,RAMFOR,23.0,23.01,22.5,23.0,1855,
2010-03-26 12:03:00,RAMFOR,22.72,24.15,22.72,23.2,1145,
2010-03-29 12:03:00,RAMFOR,23.5,24.36,23.5,23.95,6065,
2010-03-30 12:03:00,RAMFOR,24.0,24.04,22.84,23.2,5259,
2010-04-01 12:04:00,RAMFOR,23.2,23.2,22.62,22.62,135,
2010-04-05 12:04:00,RAMFOR,23.1,23.1,23.1,23.1,25,
2010-04-06 12:04:00,RAMFOR,23.16,24.26,23.16,24.18,1350,
2010-04-07 12:04:00,RAMFOR,25.0,25.39,25.0,25.39,1639,
2010-04-08 12:04:00,RAMFOR,26.5,26.66,26.5,26.66,4282,
2010-04-09 12:04:00,RAMFOR,26.7,28.0,26.7,28.0,13582,
2010-04-12 12:04:00,RAMFOR,28.0,29.4,28.0,29.4,3724,
2010-04-13 12:04:00,RAMFOR,29.8,30.87,29.1,30.87,9026,
2010-04-16 12:04:00,RAMFOR,31.02,32.2,31.0,32.2,1865,
2010-04-19 12:04:00,RAMFOR,31.0,31.0,31.0,31.0,200,
2010-04-22 12:04:00,RAMFOR,29.45,29.45,29.45,29.45,410,
2010-04-23 12:04:00,RAMFOR,28.06,30.0,28.0,28.0,286,
2010-04-26 12:04:00,RAMFOR,27.0,28.0,27.0,27.5,2280,
2010-04-27 12:04:00,RAMFOR,27.99,28.0,26.82,26.82,210,
2010-04-28 12:04:00,RAMFOR,28.17,28.17,28.17,28.17,50,
2010-04-29 12:04:00,RAMFOR,27.4,28.0,27.4,27.64,240,
2010-04-30 12:04:00,RAMFOR,28.0,29.03,28.0,28.39,1474,
2010-05-03 12:05:00,RAMFOR,29.0,29.58,29.0,29.0,451,
2010-05-04 12:05:00,RAMFOR,30.4,30.4,28.4,28.59,2330,
2010-05-05 12:05:00,RAMFOR,27.6,28.2,27.6,28.2,2125,
2010-05-06 12:05:00,RAMFOR,27.0,29.61,27.0,29.61,5197,
2010-05-07 12:05:00,RAMFOR,28.2,29.0,28.13,29.0,1201,
2010-05-10 12:05:00,RAMFOR,27.6,29.49,27.55,29.4,669,
2010-05-11 12:05:00,RAMFOR,29.4,29.8,29.4,29.8,2400,
2010-05-12 12:05:00,RAMFOR,29.4,29.4,29.4,29.4,2000,
2010-05-14 12:05:00,RAMFOR,29.6,29.6,27.93,27.93,800,
2010-05-17 12:05:00,RAMFOR,27.4,27.4,27.4,27.4,2105,
2010-05-18 12:05:00,RAMFOR,28.3,28.3,28.3,28.3,2250,
2010-05-20 12:05:00,RAMFOR,27.6,27.6,27.6,27.6,2200,
2010-05-24 12:05:00,RAMFOR,25.4,25.4,25.12,25.4,675,
2010-05-25 12:05:00,RAMFOR,25.0,25.0,24.2,25.0,335,
2010-05-26 12:05:00,RAMFOR,24.01,26.0,24.0,26.0,3952,
2010-05-28 12:05:00,RAMFOR,27.2,27.2,25.23,25.23,27,
2010-05-31 12:05:00,RAMFOR,26.4,26.4,26.4,26.4,50,
2010-06-01 12:06:00,RAMFOR,25.28,25.28,25.21,25.21,250,
2010-06-02 12:06:00,RAMFOR,24.03,24.03,23.95,24.0,2326,
2010-06-03 12:06:00,RAMFOR,24.2,24.2,24.2,24.2,1700,
2010-06-04 12:06:00,RAMFOR,23.2,24.2,23.2,23.8,2816,
2010-06-08 12:06:00,RAMFOR,24.0,24.2,23.6,23.6,1151,
2010-06-09 12:06:00,RAMFOR,24.78,24.78,23.2,23.2,75,
2010-06-10 12:06:00,RAMFOR,24.3,24.3,24.17,24.18,160,
2010-06-11 12:06:00,RAMFOR,25.0,25.0,25.0,25.0,90,
2010-06-14 12:06:00,RAMFOR,24.62,24.62,24.62,24.62,115,
2010-06-15 12:06:00,RAMFOR,24.82,24.82,24.0,24.2,2820,
2010-06-16 12:06:00,RAMFOR,24.2,25.0,24.2,24.2,81,
2010-06-17 12:06:00,RAMFOR,23.6,23.6,23.52,23.6,75,
2010-06-21 12:06:00,RAMFOR,24.2,24.2,24.2,24.2,500,
2010-06-22 12:06:00,RAMFOR,23.04,25.4,23.04,24.78,680,
2010-06-23 12:06:00,RAMFOR,25.0,25.2,24.05,25.12,3170,
2010-06-24 12:06:00,RAMFOR,24.03,24.03,24.03,24.03,50,
2010-06-25 12:06:00,RAMFOR,24.0,25.18,23.97,23.97,1251,
2010-06-28 12:06:00,RAMFOR,23.04,24.2,23.01,24.2,2350,
2010-06-30 12:06:00,RAMFOR,23.82,24.8,23.73,24.0,3320,
2010-07-01 12:07:00,RAMFOR,23.2,24.59,23.2,23.34,361,
2010-07-02 12:07:00,RAMFOR,23.68,23.69,22.45,23.06,2126,
2010-07-05 12:07:00,RAMFOR,24.0,24.22,24.0,24.22,150,
2010-07-06 12:07:00,RAMFOR,23.67,24.99,23.67,24.84,1223,
2010-07-07 12:07:00,RAMFOR,23.67,24.8,23.67,23.8,165,
2010-07-08 12:07:00,RAMFOR,23.6,25.48,23.6,24.92,4960,
2010-07-09 12:07:00,RAMFOR,25.1,25.1,24.4,24.82,1087,
2010-07-12 12:07:00,RAMFOR,24.15,24.88,24.01,24.12,776,
2010-07-13 12:07:00,RAMFOR,24.75,24.75,24.1,24.75,1252,
2010-07-14 12:07:00,RAMFOR,24.6,24.78,24.01,24.16,1201,
2010-07-15 12:07:00,RAMFOR,24.2,24.2,24.0,24.0,2756,
2010-07-16 12:07:00,RAMFOR,24.58,24.7,24.15,24.16,1100,
2010-07-19 12:07:00,RAMFOR,24.69,25.13,24.4,25.0,1477,
2010-07-20 12:07:00,RAMFOR,25.18,25.2,24.62,25.15,702,
2010-07-21 12:07:00,RAMFOR,25.0,25.52,25.0,25.38,880,
2010-07-22 12:07:00,RAMFOR,25.24,26.6,25.2,25.83,3249,
2010-07-23 12:07:00,RAMFOR,26.4,27.1,25.68,25.88,1256,
2010-07-26 12:07:00,RAMFOR,25.7,25.7,24.8,25.0,3404,
2010-07-27 12:07:00,RAMFOR,25.4,25.79,24.7,25.79,4,
2010-07-29 12:07:00,RAMFOR,24.22,25.1,24.22,24.41,428,
2010-07-30 12:07:00,RAMFOR,24.42,25.2,24.25,24.99,3402,
2010-08-02 12:08:00,RAMFOR,25.59,25.59,24.23,24.58,906,
2010-08-03 12:08:00,RAMFOR,24.24,24.8,22.2,24.8,3703,
2010-08-04 12:08:00,RAMFOR,25.18,25.18,24.42,24.5,62,
2010-08-05 12:08:00,RAMFOR,25.18,25.4,24.4,25.25,869,
2010-08-06 12:08:00,RAMFOR,25.49,27.78,24.5,27.78,33163,
2010-08-09 12:08:00,RAMFOR,29.4,30.55,27.03,28.15,10367,
2010-08-10 12:08:00,RAMFOR,28.38,28.39,27.22,27.94,4089,
2010-08-11 12:08:00,RAMFOR,28.28,28.39,27.0,28.0,2303,
2010-08-12 12:08:00,RAMFOR,27.8,30.8,27.78,30.79,13912,
2010-08-13 12:08:00,RAMFOR,32.8,32.8,29.41,32.01,14494,
2010-08-16 12:08:00,RAMFOR,34.8,34.8,29.67,31.49,4935,
2010-08-17 12:08:00,RAMFOR,32.18,32.18,30.55,31.6,170,
2010-08-18 12:08:00,RAMFOR,31.78,34.76,29.5,34.72,196364,
2010-08-19 12:08:00,RAMFOR,36.79,36.79,33.28,33.45,12885,
2010-08-20 12:08:00,RAMFOR,33.8,34.0,32.2,32.94,10728,
2010-08-23 12:08:00,RAMFOR,34.0,34.0,31.46,31.74,16070,
2010-08-24 12:08:00,RAMFOR,31.2,32.2,31.0,31.15,8449,
2010-08-25 12:08:00,RAMFOR,30.62,30.8,29.82,30.0,9198,
2010-08-26 12:08:00,RAMFOR,31.6,31.6,29.64,29.69,6310,
2010-08-30 12:08:00,RAMFOR,29.6,30.6,28.8,28.95,2323,
2010-08-31 12:08:00,RAMFOR,29.3,29.3,28.03,28.76,5564,
2010-09-01 12:09:00,RAMFOR,29.2,31.58,29.2,30.83,6940,
2010-09-02 12:09:00,RAMFOR,31.8,31.8,29.12,29.35,4000,
2010-09-03 12:09:00,RAMFOR,31.6,31.6,29.12,29.42,1284,
2010-09-06 12:09:00,RAMFOR,30.65,30.65,28.85,30.14,28851,
2010-09-07 12:09:00,RAMFOR,30.7,30.85,30.02,30.49,2553,
2010-09-08 12:09:00,RAMFOR,34.99,34.99,29.7,30.52,26180,
2010-09-09 12:09:00,RAMFOR,30.1,31.08,29.2,30.07,4571,
2010-09-13 12:09:00,RAMFOR,30.0,30.4,28.98,29.23,17352,
2010-09-14 12:09:00,RAMFOR,29.6,29.8,28.82,29.42,1650,
2010-09-15 12:09:00,RAMFOR,29.57,29.57,28.63,29.37,2416,
2010-09-16 12:09:00,RAMFOR,29.0,30.0,29.0,29.14,10059,
2010-09-17 12:09:00,RAMFOR,28.7,30.98,28.53,30.14,2038,
2010-09-20 12:09:00,RAMFOR,31.2,32.5,30.7,32.1,9196,
2010-09-21 12:09:00,RAMFOR,32.99,32.99,31.25,31.96,10273,
2010-09-22 12:09:00,RAMFOR,33.0,33.0,31.5,32.45,4637,
2010-09-23 12:09:00,RAMFOR,32.0,33.0,32.0,32.5,3140,
