datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,RATMET,71.37,72.0,70.67,71.0,95682,
2010-01-05 12:01:00,RATMET,84.27,84.27,71.67,73.07,540019,
2010-01-06 12:01:00,RATMET,73.4,74.3,71.77,72.17,135174,
2010-01-07 12:01:00,RATMET,73.27,73.27,71.17,71.6,76608,
2010-01-08 12:01:00,RATMET,71.6,75.0,70.77,73.87,323059,
2010-01-11 12:01:00,RATMET,74.33,77.0,74.23,74.97,422531,
2010-01-12 12:01:00,RATMET,76.0,76.0,71.87,72.17,156307,
2010-01-13 12:01:00,RATMET,71.33,72.97,70.83,72.87,108238,
2010-01-14 12:01:00,RATMET,73.33,78.63,73.33,77.27,588996,
2010-01-15 12:01:00,RATMET,78.4,80.67,77.57,78.97,613840,
2010-01-18 12:01:00,RATMET,79.63,81.0,78.67,78.97,272348,
2010-01-19 12:01:00,RATMET,80.0,80.0,75.73,76.6,178032,
2010-01-20 12:01:00,RATMET,77.03,77.27,74.0,75.1,122753,
2010-01-21 12:01:00,RATMET,74.53,79.53,74.53,75.9,392048,
2010-01-22 12:01:00,RATMET,73.47,75.3,71.67,72.83,169740,
2010-01-25 12:01:00,RATMET,73.3,74.53,70.13,71.63,229927,
2010-01-27 12:01:00,RATMET,70.67,72.1,66.33,66.97,87095,
2010-01-28 12:01:00,RATMET,67.33,69.43,67.33,67.73,75597,
2010-01-29 12:01:00,RATMET,64.1,68.33,64.0,67.3,167451,
2010-02-01 12:02:00,RATMET,68.0,69.5,67.4,67.93,59130,
2010-02-02 12:02:00,RATMET,70.93,71.63,68.03,68.57,109771,
2010-02-04 12:02:00,RATMET,71.2,71.33,69.0,69.9,32795,
2010-02-05 12:02:00,RATMET,65.47,70.0,65.4,69.53,93032,
2010-02-06 12:02:00,RATMET,69.33,70.53,68.03,68.93,9496,
2010-02-08 12:02:00,RATMET,69.97,70.53,68.0,68.43,31027,
2010-02-09 12:02:00,RATMET,68.07,69.53,68.0,68.23,17544,
2010-02-10 12:02:00,RATMET,69.33,70.0,66.67,67.07,29712,
2010-02-11 12:02:00,RATMET,67.33,68.67,66.43,66.83,32036,
2010-02-15 12:02:00,RATMET,67.97,68.0,65.33,66.47,48825,
2010-02-16 12:02:00,RATMET,66.67,67.2,65.07,66.5,36149,
2010-02-17 12:02:00,RATMET,67.3,68.53,66.73,68.07,58402,
2010-02-18 12:02:00,RATMET,67.67,70.0,66.73,67.9,142591,
2010-02-19 12:02:00,RATMET,67.0,67.27,66.0,66.33,25893,
2010-02-22 12:02:00,RATMET,67.13,67.87,66.03,66.4,25819,
2010-02-23 12:02:00,RATMET,65.4,66.6,64.67,64.77,25604,
2010-02-24 12:02:00,RATMET,64.77,65.6,64.0,64.13,21147,
2010-02-25 12:02:00,RATMET,64.17,64.67,63.67,63.9,14706,
2010-02-26 12:02:00,RATMET,63.83,66.0,63.33,65.1,18882,
2010-03-02 12:03:00,RATMET,66.0,66.67,65.33,65.67,19203,
2010-03-03 12:03:00,RATMET,66.0,67.33,66.0,66.27,33500,
2010-03-04 12:03:00,RATMET,66.2,69.13,66.2,67.93,98878,
2010-03-05 12:03:00,RATMET,67.67,68.67,66.83,67.3,30314,
2010-03-08 12:03:00,RATMET,67.33,68.67,67.27,67.43,35487,
2010-03-09 12:03:00,RATMET,67.67,68.0,66.83,67.17,19095,
2010-03-10 12:03:00,RATMET,67.33,67.57,66.33,66.77,25456,
2010-03-11 12:03:00,RATMET,66.67,67.97,65.47,65.83,21806,
2010-03-12 12:03:00,RATMET,65.83,66.67,64.8,65.13,25870,
2010-03-15 12:03:00,RATMET,63.73,65.93,63.73,64.93,13200,
2010-03-16 12:03:00,RATMET,64.07,65.87,64.0,65.03,23887,
2010-03-17 12:03:00,RATMET,65.67,67.33,63.4,65.07,51500,
2010-03-18 12:03:00,RATMET,66.37,73.67,66.37,70.1,968534,
2010-03-19 12:03:00,RATMET,70.97,71.67,69.0,71.03,204156,
2010-03-22 12:03:00,RATMET,70.3,70.3,66.0,68.67,46083,
2010-03-23 12:03:00,RATMET,68.97,70.43,68.0,68.67,26428,
2010-03-25 12:03:00,RATMET,67.33,70.0,66.7,68.77,35309,
2010-03-26 12:03:00,RATMET,68.8,70.33,66.8,67.47,60302,
2010-03-29 12:03:00,RATMET,67.07,68.67,66.2,66.83,74046,
2010-03-30 12:03:00,RATMET,67.7,69.0,66.23,66.47,115874,
2010-03-31 12:03:00,RATMET,66.0,68.0,66.0,66.73,79431,
2010-04-01 12:04:00,RATMET,67.53,68.93,67.53,68.57,55753,
2010-04-05 12:04:00,RATMET,68.0,73.63,68.0,72.0,285884,
2010-04-06 12:04:00,RATMET,72.33,73.27,71.53,71.8,55796,
2010-04-07 12:04:00,RATMET,71.33,75.23,71.0,74.5,201472,
2010-04-08 12:04:00,RATMET,74.0,74.0,72.8,73.47,69882,
2010-04-09 12:04:00,RATMET,73.0,76.33,72.17,74.43,109119,
2010-04-12 12:04:00,RATMET,76.0,77.2,74.67,75.93,158344,
2010-04-13 12:04:00,RATMET,75.33,79.83,74.87,78.6,299880,
2010-04-16 12:04:00,RATMET,77.33,78.0,77.07,77.67,34678,
2010-04-19 12:04:00,RATMET,76.0,76.93,74.9,76.47,64743,
2010-04-20 12:04:00,RATMET,77.33,83.33,77.33,82.57,437945,
2010-04-21 12:04:00,RATMET,82.73,86.53,82.73,84.1,390318,
2010-04-22 12:04:00,RATMET,84.5,84.5,82.4,83.23,107250,
2010-04-23 12:04:00,RATMET,83.03,84.97,81.37,84.53,120214,
2010-04-26 12:04:00,RATMET,86.23,88.67,84.33,87.13,298560,
2010-04-27 12:04:00,RATMET,87.8,87.8,84.8,85.37,80793,
2010-04-28 12:04:00,RATMET,84.67,86.0,80.37,84.9,139399,
2010-04-29 12:04:00,RATMET,85.33,86.03,84.67,85.43,49005,
2010-04-30 12:04:00,RATMET,85.7,88.33,84.33,84.77,97710,
2010-05-03 12:05:00,RATMET,84.67,85.3,83.33,83.93,44494,
2010-05-04 12:05:00,RATMET,83.37,86.67,82.67,83.27,56143,
2010-05-05 12:05:00,RATMET,82.87,84.23,79.33,83.03,62100,
2010-05-06 12:05:00,RATMET,83.4,83.8,81.33,81.83,31192,
2010-05-07 12:05:00,RATMET,80.0,82.33,80.0,80.47,34395,
2010-05-10 12:05:00,RATMET,81.33,82.47,80.47,82.1,26907,
2010-05-11 12:05:00,RATMET,81.33,82.67,80.0,81.33,12838,
2010-05-12 12:05:00,RATMET,81.67,82.67,80.67,80.97,17584,
2010-05-13 12:05:00,RATMET,82.13,83.33,80.7,81.3,26277,
2010-05-14 12:05:00,RATMET,78.03,82.6,78.03,80.6,17452,
2010-05-17 12:05:00,RATMET,79.33,86.27,78.13,84.8,270023,
2010-05-18 12:05:00,RATMET,85.0,90.27,84.0,88.77,288005,
2010-05-19 12:05:00,RATMET,86.67,89.67,82.03,82.33,101739,
2010-05-20 12:05:00,RATMET,83.67,86.93,83.33,84.0,36751,
2010-05-24 12:05:00,RATMET,83.93,83.93,80.67,81.07,14561,
2010-05-25 12:05:00,RATMET,78.67,81.33,77.4,78.23,35918,
2010-05-26 12:05:00,RATMET,77.33,81.87,76.8,77.37,27045,
2010-05-27 12:05:00,RATMET,77.33,78.0,76.0,76.3,19314,
2010-05-28 12:05:00,RATMET,76.2,87.0,76.2,81.4,234161,
2010-05-31 12:05:00,RATMET,81.5,83.2,79.33,81.5,50328,
2010-06-01 12:06:00,RATMET,80.67,82.0,78.73,79.2,23277,
2010-06-02 12:06:00,RATMET,80.13,81.33,79.03,80.07,18119,
2010-06-03 12:06:00,RATMET,81.3,82.33,79.0,79.67,15070,
2010-06-04 12:06:00,RATMET,79.83,80.8,79.33,79.77,26917,
2010-06-07 12:06:00,RATMET,77.33,78.6,76.83,78.1,14266,
2010-06-08 12:06:00,RATMET,78.67,78.67,76.7,77.17,18575,
2010-06-09 12:06:00,RATMET,77.17,80.43,76.67,78.67,74070,
2010-06-10 12:06:00,RATMET,78.0,81.0,78.0,80.4,11645,
2010-06-11 12:06:00,RATMET,81.3,81.57,80.07,80.37,11399,
2010-06-14 12:06:00,RATMET,79.33,84.93,79.33,82.87,175332,
2010-06-15 12:06:00,RATMET,84.0,84.0,80.83,83.17,63137,
2010-06-16 12:06:00,RATMET,83.33,83.67,82.7,83.17,16704,
2010-06-17 12:06:00,RATMET,83.0,84.0,82.77,83.3,30103,
2010-06-18 12:06:00,RATMET,83.9,84.0,82.07,83.2,28982,
2010-06-21 12:06:00,RATMET,83.67,85.33,82.0,84.23,94307,
2010-06-22 12:06:00,RATMET,85.33,85.33,81.47,82.13,24015,
2010-06-23 12:06:00,RATMET,82.33,83.0,82.1,82.3,14135,
2010-06-24 12:06:00,RATMET,82.67,83.0,81.07,81.4,14185,
2010-06-25 12:06:00,RATMET,81.97,82.57,80.17,80.67,17277,
2010-06-28 12:06:00,RATMET,81.0,84.07,81.0,83.23,58455,
2010-06-30 12:06:00,RATMET,82.0,83.6,81.5,83.13,18176,
2010-07-01 12:07:00,RATMET,82.0,87.73,82.0,83.23,24093,
2010-07-02 12:07:00,RATMET,83.93,84.53,82.7,83.17,16032,
2010-07-05 12:07:00,RATMET,82.67,83.67,82.0,83.13,11938,
2010-07-06 12:07:00,RATMET,82.33,83.33,82.0,83.03,26240,
2010-07-07 12:07:00,RATMET,82.07,83.93,82.07,83.27,10104,
2010-07-08 12:07:00,RATMET,82.67,84.6,82.37,82.83,42941,
2010-07-09 12:07:00,RATMET,82.07,86.87,82.0,84.07,125631,
2010-07-12 12:07:00,RATMET,84.0,85.27,83.4,83.93,28999,
2010-07-13 12:07:00,RATMET,83.33,85.2,83.33,84.53,18258,
2010-07-14 12:07:00,RATMET,85.6,86.0,83.4,84.3,18364,
2010-07-15 12:07:00,RATMET,85.23,85.3,83.53,84.43,20815,
2010-07-16 12:07:00,RATMET,83.63,84.67,82.77,83.0,24314,
2010-07-19 12:07:00,RATMET,83.9,84.6,82.8,84.07,38104,
2010-07-20 12:07:00,RATMET,85.83,86.67,83.63,83.97,25571,
2010-07-21 12:07:00,RATMET,84.33,86.97,83.87,84.97,66702,
2010-07-22 12:07:00,RATMET,86.0,86.0,84.2,85.63,10726,
2010-07-23 12:07:00,RATMET,84.67,85.77,83.33,83.7,18009,
2010-07-26 12:07:00,RATMET,83.37,85.33,83.37,83.5,12845,
2010-07-27 12:07:00,RATMET,83.33,84.0,82.67,83.0,6762,
2010-07-29 12:07:00,RATMET,86.6,88.4,83.03,84.03,99140,
2010-07-30 12:07:00,RATMET,83.4,84.67,83.4,84.1,19530,
2010-08-02 12:08:00,RATMET,83.67,84.67,83.5,84.23,8347,
2010-08-03 12:08:00,RATMET,83.53,87.53,83.53,85.47,66477,
2010-08-04 12:08:00,RATMET,86.33,86.33,84.0,84.37,15190,
2010-08-05 12:08:00,RATMET,84.67,87.77,84.67,85.8,52617,
2010-08-06 12:08:00,RATMET,86.47,87.3,84.8,85.57,24446,
2010-08-09 12:08:00,RATMET,86.47,88.0,84.7,87.3,84293,
2010-08-10 12:08:00,RATMET,89.0,91.67,87.37,87.9,156419,
2010-08-11 12:08:00,RATMET,88.97,88.97,86.2,86.77,27741,
2010-08-12 12:08:00,RATMET,86.77,87.27,85.67,85.83,23843,
2010-08-13 12:08:00,RATMET,87.27,87.27,84.67,84.77,45335,
2010-08-16 12:08:00,RATMET,84.93,86.17,84.0,84.63,76419,
2010-08-17 12:08:00,RATMET,85.67,88.9,85.67,87.5,132027,
2010-08-18 12:08:00,RATMET,87.33,89.33,86.03,88.67,135693,
2010-08-19 12:08:00,RATMET,89.97,89.97,88.0,88.0,54187,
2010-08-20 12:08:00,RATMET,87.33,89.27,87.17,88.07,42422,
2010-08-23 12:08:00,RATMET,88.0,89.2,86.87,88.03,39787,
2010-08-24 12:08:00,RATMET,88.03,88.67,87.47,88.0,26453,
2010-08-25 12:08:00,RATMET,88.0,88.6,86.7,87.87,38839,
2010-08-26 12:08:00,RATMET,88.53,88.53,87.0,87.77,35785,
2010-08-30 12:08:00,RATMET,89.0,89.0,86.0,87.97,44134,
2010-08-31 12:08:00,RATMET,86.87,89.67,86.67,89.0,58993,
2010-09-01 12:09:00,RATMET,88.8,89.27,87.43,88.17,21996,
2010-09-02 12:09:00,RATMET,87.47,88.67,87.47,88.0,12289,
2010-09-03 12:09:00,RATMET,89.07,89.07,86.7,87.07,8683,
2010-09-06 12:09:00,RATMET,88.77,93.13,88.03,91.6,117133,
2010-09-07 12:09:00,RATMET,92.67,95.33,92.0,94.53,175755,
2010-09-08 12:09:00,RATMET,95.3,95.3,92.3,93.3,62709,
2010-09-09 12:09:00,RATMET,94.6,99.2,94.27,95.87,130196,
2010-09-13 12:09:00,RATMET,96.67,98.0,94.1,94.47,25582,
2010-09-14 12:09:00,RATMET,95.33,95.6,90.63,91.5,35316,
2010-09-15 12:09:00,RATMET,91.73,92.67,90.13,90.7,14960,
2010-09-16 12:09:00,RATMET,90.0,93.13,88.33,90.73,50621,
2010-09-17 12:09:00,RATMET,90.67,91.0,89.67,90.1,8164,
2010-09-20 12:09:00,RATMET,89.5,92.6,89.5,90.73,24386,
2010-09-21 12:09:00,RATMET,92.17,93.27,88.77,89.73,23834,
2010-09-22 12:09:00,RATMET,89.33,90.67,88.67,89.87,37391,
2010-09-23 12:09:00,RATMET,90.1,90.67,89.33,89.77,7578,
2010-09-24 12:09:00,RATMET,88.23,90.67,88.23,90.47,17430,
2010-09-27 12:09:00,RATMET,90.67,91.83,90.0,90.23,20275,
2010-09-28 12:09:00,RATMET,91.93,91.93,90.0,90.67,75395,
2010-09-29 12:09:00,RATMET,91.97,91.97,89.0,90.13,38845,
2010-09-30 12:09:00,RATMET,88.67,91.17,88.0,89.83,23380,
2010-10-01 12:10:00,RATMET,90.0,91.87,90.0,91.5,14315,
2010-10-06 12:10:00,RATMET,94.53,94.67,92.23,93.4,29311,
2010-10-07 12:10:00,RATMET,92.67,94.63,92.67,93.5,36277,
2010-10-08 12:10:00,RATMET,93.9,93.93,92.33,93.37,21037,
2010-10-11 12:10:00,RATMET,92.0,95.63,92.0,94.03,30885,
2010-10-12 12:10:00,RATMET,93.53,94.07,92.27,93.27,13005,
2010-10-13 12:10:00,RATMET,93.0,94.0,91.33,93.37,23896,
2010-10-14 12:10:00,RATMET,92.67,93.33,92.2,92.27,3878,
2010-10-15 12:10:00,RATMET,92.27,94.6,90.1,94.0,59564,
2010-10-18 12:10:00,RATMET,91.37,95.27,91.37,94.17,18836,
