datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,REDIND,31.3,31.86,30.8,31.21,75903,
2010-01-05 12:01:00,REDIND,31.5,31.65,31.0,31.35,31271,
2010-01-06 12:01:00,REDIND,31.66,31.75,30.6,30.69,34269,
2010-01-07 12:01:00,REDIND,30.61,31.18,30.41,30.72,28991,
2010-01-08 12:01:00,REDIND,30.88,31.45,30.5,30.67,31265,
2010-01-11 12:01:00,REDIND,31.29,31.4,30.65,30.73,25839,
2010-01-12 12:01:00,REDIND,31.09,32.3,30.66,31.03,134072,
2010-01-13 12:01:00,REDIND,31.15,31.45,30.71,30.85,30152,
2010-01-14 12:01:00,REDIND,31.0,31.45,30.82,30.94,28817,
2010-01-15 12:01:00,REDIND,31.0,31.17,30.7,30.87,18697,
2010-01-18 12:01:00,REDIND,30.71,31.85,30.71,30.94,144171,
2010-01-19 12:01:00,REDIND,31.01,31.19,30.14,30.26,26009,
2010-01-20 12:01:00,REDIND,30.37,36.31,30.35,33.81,3236355,
2010-01-21 12:01:00,REDIND,32.8,34.62,31.81,32.7,1381146,
2010-01-22 12:01:00,REDIND,32.1,32.4,30.52,31.88,366502,
2010-01-25 12:01:00,REDIND,31.7,32.17,30.17,30.61,109795,
2010-01-27 12:01:00,REDIND,30.3,31.0,29.0,29.77,119407,
2010-01-28 12:01:00,REDIND,30.44,31.16,29.14,29.66,103874,
2010-01-29 12:01:00,REDIND,29.11,30.6,27.16,30.18,69179,
2010-02-01 12:02:00,REDIND,29.9,31.3,29.8,30.25,51519,
2010-02-02 12:02:00,REDIND,30.62,32.2,30.06,30.32,129790,
2010-02-04 12:02:00,REDIND,30.4,31.2,29.7,29.83,33033,
2010-02-05 12:02:00,REDIND,29.0,29.44,27.26,29.02,48737,
2010-02-06 12:02:00,REDIND,29.45,30.4,29.03,29.96,14072,
2010-02-08 12:02:00,REDIND,30.03,30.8,29.4,29.6,29053,
2010-02-09 12:02:00,REDIND,30.0,31.28,29.1,30.87,111829,
2010-02-10 12:02:00,REDIND,31.5,31.5,30.11,30.19,36159,
2010-02-11 12:02:00,REDIND,30.4,30.88,29.9,30.01,30950,
2010-02-15 12:02:00,REDIND,30.5,30.97,29.83,30.06,32159,
2010-02-16 12:02:00,REDIND,30.3,30.7,29.51,29.85,17785,
2010-02-17 12:02:00,REDIND,30.4,30.89,30.17,30.38,43173,
2010-02-18 12:02:00,REDIND,30.7,30.7,29.53,29.69,17532,
2010-02-19 12:02:00,REDIND,29.8,30.2,29.23,29.6,25039,
2010-02-22 12:02:00,REDIND,30.11,30.19,29.28,29.57,15604,
2010-02-23 12:02:00,REDIND,29.41,30.72,29.05,29.88,75081,
2010-02-24 12:02:00,REDIND,29.6,30.3,29.42,29.67,12143,
2010-02-25 12:02:00,REDIND,29.8,29.9,29.5,29.68,9324,
2010-02-26 12:02:00,REDIND,29.8,29.95,28.25,29.63,19082,
2010-03-02 12:03:00,REDIND,30.19,30.49,29.6,30.05,12986,
2010-03-03 12:03:00,REDIND,30.11,30.85,30.1,30.51,27909,
2010-03-04 12:03:00,REDIND,30.3,30.69,30.1,30.37,6774,
2010-03-05 12:03:00,REDIND,30.52,31.8,30.52,31.56,73477,
2010-03-08 12:03:00,REDIND,31.6,32.52,31.56,32.25,67115,
2010-03-09 12:03:00,REDIND,31.73,33.26,31.57,32.59,46429,
2010-03-10 12:03:00,REDIND,33.2,33.5,32.5,33.04,33876,
2010-03-11 12:03:00,REDIND,33.1,33.5,32.92,33.2,21182,
2010-03-12 12:03:00,REDIND,33.29,33.29,32.21,32.34,12677,
2010-03-15 12:03:00,REDIND,32.5,32.8,32.23,32.53,11385,
2010-03-16 12:03:00,REDIND,33.17,33.39,32.5,32.53,8139,
2010-03-17 12:03:00,REDIND,32.65,32.95,32.5,32.52,8023,
2010-03-18 12:03:00,REDIND,32.6,34.0,32.6,33.86,55450,
2010-03-19 12:03:00,REDIND,33.8,34.5,33.8,34.35,22679,
2010-03-22 12:03:00,REDIND,33.21,36.0,33.21,34.37,204119,
2010-03-23 12:03:00,REDIND,34.31,35.9,32.9,35.26,54315,
2010-03-25 12:03:00,REDIND,34.75,35.5,34.75,35.15,17145,
2010-03-26 12:03:00,REDIND,35.2,37.68,35.1,36.43,128662,
2010-03-29 12:03:00,REDIND,36.94,37.4,35.56,35.81,27193,
2010-03-30 12:03:00,REDIND,36.28,37.7,36.0,36.46,107455,
2010-03-31 12:03:00,REDIND,36.5,37.8,36.35,37.18,87733,
