datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,RELIND,275.37,275.37,259.14,271.71,17520006,
2010-01-05 12:01:00,RELIND,289.15,289.15,269.34,270.59,4890040,
2010-01-06 12:01:00,RELIND,272.74,276.16,270.57,274.64,5415538,
2010-01-07 12:01:00,RELIND,274.64,280.97,272.3,278.87,5988404,
2010-01-08 12:01:00,RELIND,279.33,280.69,276.52,278.19,3453926,
2010-01-11 12:01:00,RELIND,285.59,289.1,265.73,273.12,43122135,
2010-01-12 12:01:00,RELIND,276.28,286.2,272.06,273.79,7495359,
2010-01-13 12:01:00,RELIND,274.64,275.58,270.09,274.78,3511078,
2010-01-14 12:01:00,RELIND,274.17,283.27,274.17,282.54,5610718,
2010-01-15 12:01:00,RELIND,283.5,286.57,278.64,279.97,4289733,
2010-01-18 12:01:00,RELIND,279.09,281.31,275.57,277.34,3239525,
2010-01-19 12:01:00,RELIND,277.45,278.87,273.39,273.94,2986363,
2010-01-20 12:01:00,RELIND,276.28,276.77,270.89,272.18,4418747,
2010-01-21 12:01:00,RELIND,271.59,272.06,265.79,266.68,4254235,
2010-01-22 12:01:00,RELIND,263.63,270.66,260.93,266.64,9113512,
2010-01-25 12:01:00,RELIND,265.65,266.77,262.62,263.87,3061478,
2010-01-27 12:01:00,RELIND,261.98,265.73,258.7,260.47,5678803,
2010-01-28 12:01:00,RELIND,263.39,264.9,259.88,262.72,7594324,
2010-01-29 12:01:00,RELIND,261.73,266.16,258.26,264.84,5333541,
2010-02-01 12:02:00,RELIND,262.8,266.91,262.35,264.66,2773369,
2010-02-02 12:02:00,RELIND,266.2,267.22,259.66,260.41,3942831,
2010-02-04 12:02:00,RELIND,262.92,262.92,257.3,258.5,2737193,
2010-02-05 12:02:00,RELIND,248.16,255.83,248.16,249.73,6830723,
2010-02-06 12:02:00,RELIND,251.67,253.43,250.59,252.55,647435,
2010-02-08 12:02:00,RELIND,250.5,255.04,248.16,252.69,5919146,
2010-02-09 12:02:00,RELIND,252.55,253.55,249.96,252.43,3266918,
2010-02-10 12:02:00,RELIND,253.99,253.99,249.8,250.52,4174214,
2010-02-11 12:02:00,RELIND,251.5,258.66,251.32,257.57,5360299,
2010-02-15 12:02:00,RELIND,260.34,260.34,255.8,256.36,3085557,
2010-02-16 12:02:00,RELIND,256.38,258.94,255.19,258.18,2301434,
2010-02-17 12:02:00,RELIND,259.88,262.88,259.18,261.64,3572783,
2010-02-18 12:02:00,RELIND,261.05,263.0,252.84,253.5,4533745,
2010-02-19 12:02:00,RELIND,252.84,252.84,248.66,250.08,4058388,
2010-02-22 12:02:00,RELIND,252.91,254.02,246.98,248.85,2901188,
2010-02-23 12:02:00,RELIND,247.92,250.03,246.98,248.24,2966309,
2010-02-24 12:02:00,RELIND,246.98,250.66,246.2,249.05,2854453,
2010-02-25 12:02:00,RELIND,249.35,250.5,244.44,245.37,4332580,
2010-02-26 12:02:00,RELIND,246.75,252.84,246.11,249.08,5161233,
2010-03-02 12:03:00,RELIND,250.5,253.78,249.19,250.08,4162636,
2010-03-03 12:03:00,RELIND,251.2,260.58,251.2,259.83,6085791,
2010-03-04 12:03:00,RELIND,263.39,263.39,255.89,257.3,4750237,
2010-03-05 12:03:00,RELIND,259.17,260.11,255.21,256.31,2691454,
2010-03-08 12:03:00,RELIND,258.98,260.34,254.48,254.98,2729580,
2010-03-09 12:03:00,RELIND,255.54,256.78,251.21,251.75,3990953,
2010-03-10 12:03:00,RELIND,252.84,258.45,251.51,256.07,5670503,
2010-03-11 12:03:00,RELIND,256.36,258.7,255.66,257.87,3333605,
2010-03-12 12:03:00,RELIND,257.53,261.75,257.3,259.08,5105006,
2010-03-15 12:03:00,RELIND,259.17,261.5,257.09,260.59,4144602,
2010-03-16 12:03:00,RELIND,261.52,270.84,260.81,269.94,7771535,
2010-03-17 12:03:00,RELIND,271.55,273.35,269.44,270.35,4937276,
2010-03-18 12:03:00,RELIND,271.36,273.14,269.04,272.05,3495591,
2010-03-19 12:03:00,RELIND,272.48,276.63,270.46,275.59,4511717,
2010-03-22 12:03:00,RELIND,268.55,277.22,268.55,271.35,4678751,
2010-03-23 12:03:00,RELIND,272.29,276.04,272.05,275.44,4572931,
2010-03-25 12:03:00,RELIND,276.52,276.75,272.16,275.45,5250073,
2010-03-26 12:03:00,RELIND,276.75,280.03,276.32,277.56,4131759,
2010-03-29 12:03:00,RELIND,278.32,279.79,275.34,275.88,4628760,
2010-03-30 12:03:00,RELIND,276.52,278.79,273.47,274.68,4329090,
2010-03-31 12:03:00,RELIND,275.79,276.28,270.73,271.42,4948302,
2010-04-01 12:04:00,RELIND,272.3,277.1,272.06,275.59,2861856,
2010-04-05 12:04:00,RELIND,276.63,284.4,276.63,283.52,4551762,
2010-04-06 12:04:00,RELIND,284.02,285.19,282.19,282.89,2853138,
2010-04-07 12:04:00,RELIND,283.31,289.1,282.87,284.41,4621626,
2010-04-08 12:04:00,RELIND,285.19,286.01,277.8,278.99,3365528,
2010-04-09 12:04:00,RELIND,279.38,284.72,279.38,283.24,3846259,
2010-04-12 12:04:00,RELIND,288.0,288.0,282.76,283.86,2902957,
2010-04-13 12:04:00,RELIND,284.02,285.42,280.1,282.35,3193600,
2010-04-16 12:04:00,RELIND,274.2,276.28,270.69,273.76,4158779,
2010-04-19 12:04:00,RELIND,272.72,272.72,265.97,268.5,3746293,
2010-04-20 12:04:00,RELIND,270.39,272.71,266.75,268.83,3828437,
2010-04-21 12:04:00,RELIND,270.42,271.29,265.3,266.7,4385951,
2010-04-22 12:04:00,RELIND,265.85,276.02,265.75,271.77,5851352,
