datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,RURELE,91.84,93.34,91.46,92.46,750094,
2010-01-05 12:01:00,RURELE,93.56,94.11,92.08,93.08,727887,
2010-01-06 12:01:00,RURELE,93.49,93.66,90.69,91.01,748900,
2010-01-07 12:01:00,RURELE,91.88,91.88,90.08,90.41,350229,
2010-01-08 12:01:00,RURELE,90.56,91.88,89.94,90.17,350300,
2010-01-11 12:01:00,RURELE,90.75,95.7,90.75,94.84,1748964,
2010-01-12 12:01:00,RURELE,95.89,96.68,93.99,94.73,1602692,
2010-01-13 12:01:00,RURELE,94.5,97.39,94.09,95.89,2761364,
2010-01-14 12:01:00,RURELE,96.73,103.05,96.32,101.89,2798585,
2010-01-15 12:01:00,RURELE,102.75,102.75,99.58,100.44,1354746,
2010-01-18 12:01:00,RURELE,98.63,101.78,97.01,97.63,1693302,
2010-01-19 12:01:00,RURELE,98.25,102.88,98.06,99.3,1918677,
2010-01-20 12:01:00,RURELE,99.38,100.88,97.91,98.79,1186747,
2010-01-21 12:01:00,RURELE,99.0,101.06,97.91,99.53,1456755,
2010-01-22 12:01:00,RURELE,96.75,99.34,95.25,97.33,1161310,
2010-01-25 12:01:00,RURELE,97.8,99.17,96.43,97.41,1314055,
2010-01-27 12:01:00,RURELE,97.13,98.57,88.89,89.83,2236454,
2010-01-28 12:01:00,RURELE,91.59,95.44,90.24,91.16,1589457,
2010-01-29 12:01:00,RURELE,90.0,91.11,87.08,89.87,724022,
2010-02-01 12:02:00,RURELE,90.02,93.28,88.89,92.7,692489,
2010-02-02 12:02:00,RURELE,94.44,94.44,88.73,89.21,513351,
2010-02-04 12:02:00,RURELE,90.19,90.92,88.5,89.12,335921,
2010-02-05 12:02:00,RURELE,87.75,88.39,85.13,87.84,424580,
2010-02-06 12:02:00,RURELE,88.13,89.25,87.49,88.48,68939,
2010-02-08 12:02:00,RURELE,89.23,89.93,83.87,84.56,1162044,
2010-02-09 12:02:00,RURELE,84.75,87.3,84.39,86.1,756029,
2010-02-10 12:02:00,RURELE,86.59,88.13,84.41,86.38,962366,
2010-02-11 12:02:00,RURELE,86.06,86.14,83.16,83.63,1310168,
2010-02-15 12:02:00,RURELE,84.56,84.56,80.85,82.46,1618069,
2010-02-16 12:02:00,RURELE,83.96,83.96,81.62,82.22,691303,
2010-02-17 12:02:00,RURELE,83.18,83.96,81.39,82.61,1370672,
2010-02-18 12:02:00,RURELE,81.75,81.75,77.31,80.29,3201168,
2010-02-19 12:02:00,RURELE,79.88,80.79,79.16,80.46,1088942,
2010-02-22 12:02:00,RURELE,80.55,81.0,79.54,80.21,653158,
2010-02-23 12:02:00,RURELE,79.5,80.12,78.75,79.76,2463529,
2010-02-24 12:02:00,RURELE,79.65,89.33,79.13,84.08,9062638,
2010-02-25 12:02:00,RURELE,85.13,87.94,82.67,86.49,7258231,
2010-02-26 12:02:00,RURELE,86.25,93.15,85.31,91.2,5915396,
2010-03-02 12:03:00,RURELE,91.5,94.43,90.02,91.14,4444110,
2010-03-03 12:03:00,RURELE,91.13,92.03,88.67,90.02,2836612,
2010-03-04 12:03:00,RURELE,90.0,92.42,87.73,92.03,3182065,
2010-03-05 12:03:00,RURELE,90.71,90.71,86.68,89.25,4406031,
2010-03-08 12:03:00,RURELE,89.14,91.73,86.25,90.54,16844400,
2010-03-09 12:03:00,RURELE,90.38,90.94,88.29,88.65,4848532,
2010-03-10 12:03:00,RURELE,88.13,89.44,88.03,88.91,2139418,
2010-03-11 12:03:00,RURELE,89.23,91.67,88.74,91.03,3384062,
2010-03-12 12:03:00,RURELE,90.0,92.55,89.44,90.92,4575505,
2010-03-15 12:03:00,RURELE,90.75,91.26,89.25,89.64,1250159,
2010-03-16 12:03:00,RURELE,90.34,90.38,88.5,89.78,1500075,
2010-03-17 12:03:00,RURELE,90.0,91.88,89.63,91.61,2112208,
2010-03-18 12:03:00,RURELE,91.84,95.53,90.9,93.92,3394178,
