datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,SANGHI,31.05,32.4,31.05,32.15,50810,
2010-01-05 12:01:00,SANGHI,32.5,32.8,31.55,31.7,44417,
2010-01-06 12:01:00,SANGHI,32.4,32.4,31.5,31.75,58509,
2010-01-07 12:01:00,SANGHI,31.7,32.8,31.5,31.55,28724,
2010-01-08 12:01:00,SANGHI,31.8,35.85,31.65,32.75,601001,
2010-01-11 12:01:00,SANGHI,33.85,34.0,33.1,33.2,131707,
2010-01-12 12:01:00,SANGHI,33.15,33.5,32.15,32.25,82134,
2010-01-13 12:01:00,SANGHI,31.25,32.6,31.25,32.0,150063,
2010-01-14 12:01:00,SANGHI,32.25,33.85,32.0,33.0,171536,
2010-01-15 12:01:00,SANGHI,33.4,34.0,32.85,33.2,116115,
2010-01-18 12:01:00,SANGHI,33.85,33.85,32.75,32.85,53070,
2010-01-19 12:01:00,SANGHI,32.4,33.2,32.05,32.1,45489,
2010-01-20 12:01:00,SANGHI,32.35,32.9,32.0,32.15,25676,
2010-01-21 12:01:00,SANGHI,32.0,32.0,31.0,31.05,21656,
2010-01-22 12:01:00,SANGHI,30.75,31.45,29.3,31.05,62123,
2010-01-25 12:01:00,SANGHI,30.9,30.9,30.1,30.5,9254,
2010-01-27 12:01:00,SANGHI,30.3,30.3,28.7,29.1,26513,
2010-01-28 12:01:00,SANGHI,29.5,30.0,29.1,29.15,20623,
2010-01-29 12:01:00,SANGHI,28.55,29.45,27.8,29.1,32083,
2010-02-01 12:02:00,SANGHI,28.9,29.15,28.15,29.0,21749,
2010-02-02 12:02:00,SANGHI,29.5,29.9,28.95,29.05,11852,
2010-02-04 12:02:00,SANGHI,29.3,31.7,29.05,30.25,85259,
2010-02-05 12:02:00,SANGHI,29.15,30.15,27.8,29.0,56939,
2010-02-06 12:02:00,SANGHI,29.0,29.35,28.6,28.85,2911,
2010-02-08 12:02:00,SANGHI,28.7,29.0,28.15,28.5,24988,
2010-02-09 12:02:00,SANGHI,28.5,29.0,28.35,28.75,20070,
2010-02-10 12:02:00,SANGHI,28.7,29.5,28.6,28.75,9835,
2010-02-11 12:02:00,SANGHI,28.65,29.15,28.65,29.0,15980,
2010-02-15 12:02:00,SANGHI,28.55,29.1,28.55,28.75,24134,
2010-02-16 12:02:00,SANGHI,28.8,29.0,28.55,28.85,24322,
2010-02-17 12:02:00,SANGHI,28.7,29.3,28.7,28.85,12559,
2010-02-18 12:02:00,SANGHI,29.2,29.2,28.6,28.85,17780,
2010-02-19 12:02:00,SANGHI,28.7,29.0,28.4,28.65,24244,
2010-02-22 12:02:00,SANGHI,28.7,28.9,28.25,28.65,14439,
2010-02-23 12:02:00,SANGHI,28.05,28.9,28.05,28.35,29357,
2010-02-24 12:02:00,SANGHI,27.8,28.55,27.8,28.45,26286,
2010-02-25 12:02:00,SANGHI,28.35,28.65,28.0,28.5,17102,
2010-02-26 12:02:00,SANGHI,28.5,28.65,28.05,28.45,18547,
2010-03-02 12:03:00,SANGHI,28.4,28.8,28.35,28.45,17478,
2010-03-03 12:03:00,SANGHI,28.7,28.95,28.4,28.95,21463,
2010-03-04 12:03:00,SANGHI,28.8,29.1,28.75,28.95,13135,
2010-03-05 12:03:00,SANGHI,28.75,30.75,28.75,30.2,55647,
2010-03-08 12:03:00,SANGHI,29.8,30.25,29.15,29.9,16851,
2010-03-09 12:03:00,SANGHI,29.55,30.0,29.1,29.2,9945,
2010-03-10 12:03:00,SANGHI,29.1,29.5,28.75,29.0,5374,
2010-03-11 12:03:00,SANGHI,28.55,29.1,28.4,29.0,9994,
2010-03-12 12:03:00,SANGHI,31.8,33.0,28.8,29.05,73952,
2010-03-15 12:03:00,SANGHI,28.85,29.4,28.7,28.9,13308,
2010-03-16 12:03:00,SANGHI,29.0,29.9,28.5,28.95,3501,
2010-03-17 12:03:00,SANGHI,28.8,29.4,27.75,28.1,16719,
2010-03-18 12:03:00,SANGHI,28.1,28.45,27.55,27.65,17869,
2010-03-19 12:03:00,SANGHI,30.3,30.3,27.0,27.1,51548,
2010-03-22 12:03:00,SANGHI,26.55,27.4,26.0,26.35,24230,
2010-03-23 12:03:00,SANGHI,26.9,26.9,25.25,25.55,26321,
2010-03-25 12:03:00,SANGHI,25.0,25.15,24.8,24.9,15687,
2010-03-26 12:03:00,SANGHI,25.0,25.0,24.3,24.4,30666,
2010-03-29 12:03:00,SANGHI,24.4,24.6,23.85,24.15,149988,
2010-03-30 12:03:00,SANGHI,24.5,24.5,23.5,23.6,33505,
2010-03-31 12:03:00,SANGHI,23.55,23.9,22.8,23.1,71565,
2010-04-01 12:04:00,SANGHI,23.05,23.15,22.35,22.5,72004,
2010-04-05 12:04:00,SANGHI,23.45,23.45,22.1,22.25,191499,
2010-04-06 12:04:00,SANGHI,22.25,24.0,22.1,23.55,170331,
2010-04-07 12:04:00,SANGHI,23.55,24.1,22.7,23.05,121779,
2010-04-08 12:04:00,SANGHI,23.4,23.75,23.0,23.15,87112,
2010-04-09 12:04:00,SANGHI,23.6,24.8,23.4,24.15,126546,
2010-04-12 12:04:00,SANGHI,24.3,25.9,24.3,25.1,160926,
2010-04-13 12:04:00,SANGHI,25.2,25.85,24.75,25.1,84343,
2010-04-16 12:04:00,SANGHI,24.6,25.05,24.2,24.9,27585,
2010-04-19 12:04:00,SANGHI,24.4,24.5,23.65,24.25,48834,
2010-04-20 12:04:00,SANGHI,24.5,25.5,24.25,25.05,42052,
2010-04-21 12:04:00,SANGHI,25.4,25.5,24.45,25.0,23998,
2010-04-22 12:04:00,SANGHI,24.55,25.05,24.4,24.65,12714,
2010-04-23 12:04:00,SANGHI,25.0,25.1,24.5,24.8,30987,
2010-04-26 12:04:00,SANGHI,25.2,25.2,24.75,24.9,15205,
2010-04-27 12:04:00,SANGHI,25.0,27.3,25.0,26.25,270256,
2010-04-28 12:04:00,SANGHI,26.25,26.6,25.1,25.2,88517,
2010-04-29 12:04:00,SANGHI,25.75,25.8,25.3,25.5,37914,
2010-04-30 12:04:00,SANGHI,25.5,26.35,25.5,25.6,48759,
2010-05-03 12:05:00,SANGHI,25.85,25.85,24.75,25.15,25490,
2010-05-04 12:05:00,SANGHI,25.0,25.45,24.2,24.6,39869,
2010-05-05 12:05:00,SANGHI,24.05,24.85,23.75,24.65,24439,
2010-05-06 12:05:00,SANGHI,24.5,24.7,24.2,24.5,18608,
2010-05-07 12:05:00,SANGHI,24.0,24.6,23.5,23.8,27037,
2010-05-10 12:05:00,SANGHI,26.95,26.95,23.9,24.4,8549,
2010-05-11 12:05:00,SANGHI,24.2,24.45,23.75,23.95,7947,
2010-05-12 12:05:00,SANGHI,24.5,24.5,23.75,24.35,27511,
2010-05-13 12:05:00,SANGHI,24.2,24.45,24.1,24.3,24573,
2010-05-14 12:05:00,SANGHI,23.95,24.35,23.55,23.9,9951,
2010-05-17 12:05:00,SANGHI,23.55,23.75,22.65,23.35,22972,
2010-05-18 12:05:00,SANGHI,23.5,23.8,23.4,23.4,6101,
2010-05-19 12:05:00,SANGHI,23.2,23.5,22.6,22.85,7478,
2010-05-20 12:05:00,SANGHI,23.0,23.45,22.7,23.15,32362,
2010-05-24 12:05:00,SANGHI,23.5,24.5,23.0,23.8,24683,
2010-05-25 12:05:00,SANGHI,23.95,23.95,22.75,23.1,21265,
2010-05-26 12:05:00,SANGHI,23.0,23.3,22.75,22.95,11208,
2010-05-27 12:05:00,SANGHI,23.5,23.5,22.8,22.9,5033,
2010-05-28 12:05:00,SANGHI,23.2,23.25,22.9,23.0,5802,
2010-05-31 12:05:00,SANGHI,23.2,23.3,22.85,22.9,6505,
2010-06-01 12:06:00,SANGHI,22.85,23.25,22.85,23.0,4238,
2010-06-02 12:06:00,SANGHI,22.6,23.0,22.6,22.75,1604,
2010-06-03 12:06:00,SANGHI,22.6,23.15,22.6,22.9,3917,
2010-06-04 12:06:00,SANGHI,23.1,23.3,22.8,23.0,8362,
2010-06-07 12:06:00,SANGHI,23.0,23.0,22.6,22.95,3172,
2010-06-08 12:06:00,SANGHI,22.95,23.5,22.7,22.85,18847,
2010-06-09 12:06:00,SANGHI,22.75,23.0,22.45,22.55,6872,
2010-06-10 12:06:00,SANGHI,22.65,22.85,22.6,22.65,2084,
2010-06-11 12:06:00,SANGHI,22.7,22.7,22.05,22.25,58870,
2010-06-14 12:06:00,SANGHI,22.8,22.85,22.0,22.3,23209,
2010-06-15 12:06:00,SANGHI,22.3,22.5,22.1,22.35,42941,
2010-06-16 12:06:00,SANGHI,23.2,23.2,22.2,22.25,57228,
2010-06-17 12:06:00,SANGHI,22.4,23.5,22.4,22.6,53424,
2010-06-18 12:06:00,SANGHI,23.1,23.1,22.35,22.5,31289,
2010-06-21 12:06:00,SANGHI,22.85,23.0,22.6,22.65,15533,
2010-06-22 12:06:00,SANGHI,22.45,22.8,22.45,22.6,8183,
2010-06-23 12:06:00,SANGHI,22.6,22.65,22.3,22.55,10589,
2010-06-24 12:06:00,SANGHI,22.5,24.5,22.4,23.3,96646,
2010-06-25 12:06:00,SANGHI,23.45,23.75,22.85,23.0,9210,
2010-06-28 12:06:00,SANGHI,23.35,23.45,22.75,23.35,7534,
2010-06-30 12:06:00,SANGHI,22.55,23.45,22.55,23.15,4674,
2010-07-01 12:07:00,SANGHI,22.8,23.25,22.8,22.85,8322,
2010-07-02 12:07:00,SANGHI,22.85,23.25,22.85,23.0,3230,
2010-07-05 12:07:00,SANGHI,23.0,25.0,22.9,24.0,46644,
2010-07-06 12:07:00,SANGHI,24.0,24.6,23.6,23.9,14455,
2010-07-07 12:07:00,SANGHI,24.8,24.8,23.8,24.0,6206,
2010-07-08 12:07:00,SANGHI,24.0,24.1,23.55,23.55,8556,
2010-07-09 12:07:00,SANGHI,23.5,24.3,23.5,23.8,21031,
2010-07-12 12:07:00,SANGHI,23.75,24.15,23.7,23.75,9510,
2010-07-13 12:07:00,SANGHI,23.75,24.1,23.6,23.95,9191,
2010-07-14 12:07:00,SANGHI,24.4,24.4,23.75,24.0,10430,
2010-07-15 12:07:00,SANGHI,23.65,23.8,23.65,23.7,5997,
2010-07-16 12:07:00,SANGHI,23.5,23.9,23.5,23.65,2604,
2010-07-19 12:07:00,SANGHI,23.6,24.0,23.6,23.75,5034,
2010-07-20 12:07:00,SANGHI,23.55,23.9,23.55,23.7,6383,
2010-07-21 12:07:00,SANGHI,23.55,24.9,23.55,24.65,26281,
2010-07-22 12:07:00,SANGHI,24.85,25.5,24.45,24.8,35054,
2010-07-23 12:07:00,SANGHI,24.7,25.2,24.3,24.9,24485,
2010-07-26 12:07:00,SANGHI,24.55,25.15,24.3,24.85,18684,
2010-07-27 12:07:00,SANGHI,24.5,24.85,23.75,24.1,48084,
2010-07-29 12:07:00,SANGHI,25.1,25.1,24.35,24.9,14487,
2010-07-30 12:07:00,SANGHI,24.5,25.0,24.4,24.75,20107,
2010-08-02 12:08:00,SANGHI,24.5,26.5,24.2,25.2,91883,
