datetime,stock_code,open,high,low,close,volume,open_interest
2021-11-18 12:11:00,SAPFOO,270.0,276.01,232.0,242.31,8596126,
2021-11-22 12:11:00,SAPFOO,245.0,251.6,209.13,234.41,3373458,
2021-11-23 12:11:00,SAPFOO,233.0,238.8,225.61,229.79,578700,
2021-11-24 12:11:00,SAPFOO,230.74,243.54,228.68,231.99,1024040,
2021-11-25 12:11:00,SAPFOO,234.4,245.4,233.37,238.76,602130,
2021-11-26 12:11:00,SAPFOO,236.8,236.8,221.33,222.71,436050,
2021-11-29 12:11:00,SAPFOO,221.0,221.3,196.0,198.49,710570,
2021-11-30 12:11:00,SAPFOO,200.0,207.54,194.89,204.07,832706,
2021-12-01 12:12:00,SAPFOO,209.56,209.8,200.02,206.81,241286,
2021-12-02 12:12:00,SAPFOO,210.0,215.8,203.77,213.16,261773,
2021-12-03 12:12:00,SAPFOO,213.2,218.7,210.23,214.32,204894,
2021-12-06 12:12:00,SAPFOO,214.8,219.85,208.83,212.07,210562,
2021-12-07 12:12:00,SAPFOO,212.8,230.8,211.0,224.88,526591,
2021-12-08 12:12:00,SAPFOO,226.0,234.6,224.91,231.19,392204,
2021-12-09 12:12:00,SAPFOO,233.0,244.39,231.04,236.29,438312,
2021-12-10 12:12:00,SAPFOO,236.2,242.93,232.77,241.53,227727,
2021-12-13 12:12:00,SAPFOO,242.56,243.8,239.16,241.86,216130,
2021-12-14 12:12:00,SAPFOO,237.6,247.78,237.6,245.82,330890,
2021-12-15 12:12:00,SAPFOO,244.06,246.82,235.22,237.6,289627,
2021-12-16 12:12:00,SAPFOO,231.0,243.7,231.0,241.63,441033,
2021-12-17 12:12:00,SAPFOO,239.2,252.99,238.41,244.72,570590,
2021-12-20 12:12:00,SAPFOO,238.2,242.63,234.96,239.31,204284,
2021-12-21 12:12:00,SAPFOO,238.6,242.33,236.68,238.85,268471,
2021-12-22 12:12:00,SAPFOO,239.8,245.24,239.03,244.33,161180,
2021-12-23 12:12:00,SAPFOO,244.8,245.4,236.1,238.87,48996,
2021-12-24 12:12:00,SAPFOO,239.97,242.4,236.6,238.68,82756,
2021-12-27 12:12:00,SAPFOO,237.59,240.02,225.56,239.81,78518,
2021-12-28 12:12:00,SAPFOO,240.01,243.8,239.03,240.71,166404,
2021-12-29 12:12:00,SAPFOO,240.2,249.2,239.2,240.87,116824,
2021-12-30 12:12:00,SAPFOO,241.0,241.91,238.05,239.98,42373,
2021-12-31 12:12:00,SAPFOO,240.2,245.4,240.2,243.83,62387,
