datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,SAREIN,7.15,7.4,7.1,7.23,8235,
2010-01-05 12:01:00,SAREIN,7.33,7.6,7.11,7.59,16701,
2010-01-06 12:01:00,SAREIN,7.6,7.94,7.41,7.81,12979,
2010-01-07 12:01:00,SAREIN,7.56,7.93,7.56,7.74,6718,
2010-01-08 12:01:00,SAREIN,7.36,7.9,7.36,7.61,7596,
2010-01-11 12:01:00,SAREIN,7.42,7.67,7.38,7.42,8434,
2010-01-12 12:01:00,SAREIN,7.4,7.63,7.35,7.5,4823,
2010-01-13 12:01:00,SAREIN,7.5,7.75,7.44,7.59,7483,
2010-01-14 12:01:00,SAREIN,7.55,7.7,7.41,7.52,3771,
2010-01-15 12:01:00,SAREIN,7.63,7.89,7.51,7.7,6408,
2010-01-18 12:01:00,SAREIN,7.65,8.08,7.61,7.8,23991,
2010-01-19 12:01:00,SAREIN,8.0,8.0,7.59,7.67,5795,
2010-01-20 12:01:00,SAREIN,7.6,7.87,7.6,7.71,4186,
2010-01-21 12:01:00,SAREIN,7.66,7.79,7.33,7.33,11960,
2010-01-22 12:01:00,SAREIN,7.35,7.48,7.04,7.12,10293,
2010-01-25 12:01:00,SAREIN,7.1,7.48,7.07,7.07,2957,
2010-01-27 12:01:00,SAREIN,7.02,7.17,6.85,6.88,3468,
2010-01-28 12:01:00,SAREIN,6.8,6.95,6.7,6.73,4482,
2010-01-29 12:01:00,SAREIN,6.6,6.89,6.54,6.84,3354,
2010-02-01 12:02:00,SAREIN,6.94,7.18,6.81,7.16,1670,
2010-02-02 12:02:00,SAREIN,7.15,7.16,6.86,6.89,2490,
2010-02-04 12:02:00,SAREIN,7.35,7.53,6.96,7.02,8545,
2010-02-05 12:02:00,SAREIN,6.96,6.96,6.76,6.8,3291,
2010-02-06 12:02:00,SAREIN,6.98,6.99,6.74,6.93,51137,
2010-02-08 12:02:00,SAREIN,6.95,7.28,6.84,6.87,78864,
2010-02-09 12:02:00,SAREIN,6.81,6.98,6.81,6.97,385,
2010-02-10 12:02:00,SAREIN,6.9,7.1,6.8,6.92,1930,
2010-02-11 12:02:00,SAREIN,6.9,7.04,6.9,6.95,300,
2010-02-15 12:02:00,SAREIN,6.9,7.05,6.9,6.9,2916,
2010-02-16 12:02:00,SAREIN,6.93,7.0,6.93,6.98,4071,
2010-02-17 12:02:00,SAREIN,6.91,7.1,6.9,7.01,611,
2010-02-18 12:02:00,SAREIN,7.16,7.17,6.95,6.98,1112,
2010-02-19 12:02:00,SAREIN,6.8,7.05,6.8,6.96,2325,
2010-02-22 12:02:00,SAREIN,6.96,7.0,6.72,6.78,3829,
2010-02-23 12:02:00,SAREIN,6.71,6.8,6.7,6.76,3484,
2010-02-24 12:02:00,SAREIN,6.7,6.8,6.58,6.67,3205,
2010-02-25 12:02:00,SAREIN,6.56,6.7,6.5,6.61,6769,
2010-02-26 12:02:00,SAREIN,6.65,6.85,6.6,6.76,4569,
2010-03-02 12:03:00,SAREIN,6.8,6.95,6.8,6.92,6112,
2010-03-03 12:03:00,SAREIN,6.85,7.05,6.82,6.92,6242,
2010-03-04 12:03:00,SAREIN,6.85,7.14,6.82,6.96,8867,
2010-03-05 12:03:00,SAREIN,7.05,7.1,6.91,6.96,7858,
2010-03-08 12:03:00,SAREIN,7.03,7.57,7.01,7.31,27769,
2010-03-09 12:03:00,SAREIN,7.3,7.5,7.12,7.22,14712,
2010-03-10 12:03:00,SAREIN,7.2,7.2,7.04,7.11,10631,
2010-03-11 12:03:00,SAREIN,7.05,7.15,6.96,6.97,2220,
2010-03-12 12:03:00,SAREIN,7.01,7.14,6.91,6.94,2082,
2010-03-15 12:03:00,SAREIN,7.0,7.5,6.78,7.33,62314,
2010-03-16 12:03:00,SAREIN,7.54,7.7,7.38,7.42,61547,
2010-03-17 12:03:00,SAREIN,7.42,7.47,6.96,7.02,32226,
2010-03-18 12:03:00,SAREIN,7.04,7.1,6.82,6.93,17289,
2010-03-19 12:03:00,SAREIN,7.24,7.24,6.83,6.92,9371,
2010-03-22 12:03:00,SAREIN,6.81,7.38,6.75,7.1,10789,
2010-03-23 12:03:00,SAREIN,7.15,7.2,6.98,7.04,3562,
2010-03-25 12:03:00,SAREIN,7.01,7.12,6.83,6.94,6744,
