datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,SARENE,20.96,24.68,20.7,24.32,341514,
2010-01-05 12:01:00,SARENE,24.49,24.87,23.12,23.26,83667,
2010-01-06 12:01:00,SARENE,23.5,24.5,23.27,23.74,38838,
2010-01-07 12:01:00,SARENE,24.0,24.2,23.1,23.34,17173,
2010-01-08 12:01:00,SARENE,22.92,23.85,22.92,23.29,11253,
2010-01-11 12:01:00,SARENE,23.6,23.8,22.8,22.95,20958,
2010-01-12 12:01:00,SARENE,22.73,23.4,21.4,22.1,67394,
2010-01-13 12:01:00,SARENE,22.2,22.9,22.15,22.49,14964,
2010-01-14 12:01:00,SARENE,22.88,23.8,22.46,23.48,24212,
2010-01-15 12:01:00,SARENE,23.89,24.3,23.11,23.83,29517,
2010-01-18 12:01:00,SARENE,23.99,23.99,23.01,23.09,9144,
2010-01-19 12:01:00,SARENE,23.1,23.3,22.5,22.6,4516,
2010-01-20 12:01:00,SARENE,23.27,23.27,21.71,22.02,10993,
2010-01-21 12:01:00,SARENE,22.2,23.45,21.0,21.57,16788,
2010-01-22 12:01:00,SARENE,21.49,22.58,20.41,22.37,15764,
2010-01-25 12:01:00,SARENE,22.0,22.67,21.51,22.04,8600,
2010-01-27 12:01:00,SARENE,21.9,23.09,20.6,20.84,34371,
2010-01-28 12:01:00,SARENE,22.0,22.0,19.05,19.45,21541,
2010-01-29 12:01:00,SARENE,19.1,20.5,18.6,20.28,21733,
2010-02-01 12:02:00,SARENE,20.2,21.5,19.8,20.55,11336,
2010-02-02 12:02:00,SARENE,20.55,21.9,20.55,20.91,17623,
2010-02-04 12:02:00,SARENE,21.89,22.2,20.9,21.43,24678,
2010-02-05 12:02:00,SARENE,20.04,20.4,19.6,19.89,25625,
2010-02-06 12:02:00,SARENE,20.7,20.7,20.11,20.27,771,
2010-02-08 12:02:00,SARENE,20.58,20.69,19.63,20.46,5306,
2010-02-09 12:02:00,SARENE,20.3,20.66,19.7,20.27,2676,
2010-02-10 12:02:00,SARENE,20.6,20.6,20.15,20.2,3813,
2010-02-11 12:02:00,SARENE,20.78,20.78,18.34,20.11,7810,
2010-02-15 12:02:00,SARENE,20.21,20.4,19.65,19.69,1658,
2010-02-16 12:02:00,SARENE,20.0,20.01,19.3,19.74,5630,
2010-02-17 12:02:00,SARENE,20.3,20.5,19.91,20.04,4175,
2010-02-18 12:02:00,SARENE,20.59,21.19,17.7,20.23,16128,
2010-02-19 12:02:00,SARENE,19.3,20.2,19.3,19.9,2287,
2010-02-22 12:02:00,SARENE,20.0,20.35,19.45,19.9,6066,
2010-02-23 12:02:00,SARENE,19.62,19.8,19.5,19.55,2182,
2010-02-24 12:02:00,SARENE,19.01,19.61,19.01,19.56,1573,
2010-02-25 12:02:00,SARENE,19.98,20.4,19.62,19.7,6825,
2010-02-26 12:02:00,SARENE,19.61,20.5,19.0,19.78,3700,
2010-03-02 12:03:00,SARENE,19.7,20.2,19.7,19.96,3476,
2010-03-03 12:03:00,SARENE,20.35,20.75,20.35,20.54,9263,
2010-03-04 12:03:00,SARENE,21.16,21.49,20.6,20.86,20421,
2010-03-05 12:03:00,SARENE,20.9,21.88,20.9,21.08,22220,
2010-03-08 12:03:00,SARENE,21.66,22.37,21.4,21.96,26457,
2010-03-09 12:03:00,SARENE,21.61,22.2,21.6,21.88,13600,
2010-03-10 12:03:00,SARENE,21.9,22.0,21.0,21.12,9194,
2010-03-11 12:03:00,SARENE,21.0,21.45,20.75,21.17,7430,
2010-03-12 12:03:00,SARENE,21.4,21.4,20.75,21.02,2313,
2010-03-15 12:03:00,SARENE,24.7,24.7,20.4,20.51,8101,
2010-03-16 12:03:00,SARENE,20.9,21.18,20.22,20.7,2175,
2010-03-17 12:03:00,SARENE,21.0,21.0,19.92,19.98,18851,
2010-03-18 12:03:00,SARENE,19.81,20.6,19.49,19.56,18102,
2010-03-19 12:03:00,SARENE,19.62,19.62,19.01,19.17,28347,
2010-03-22 12:03:00,SARENE,18.7,18.98,18.6,18.64,16816,
2010-03-23 12:03:00,SARENE,18.72,18.89,18.13,18.21,18505,
2010-03-25 12:03:00,SARENE,18.21,19.56,18.13,19.12,44031,
2010-03-26 12:03:00,SARENE,19.13,19.9,18.6,18.73,84254,
2010-03-29 12:03:00,SARENE,19.0,19.5,18.91,19.03,14856,
2010-03-30 12:03:00,SARENE,19.3,19.4,18.91,18.94,8722,
2010-03-31 12:03:00,SARENE,19.08,19.3,18.84,19.0,9742,
2010-04-01 12:04:00,SARENE,19.39,21.63,19.2,21.25,356095,
2010-04-05 12:04:00,SARENE,21.8,24.57,21.53,22.97,778509,
2010-04-06 12:04:00,SARENE,23.34,23.44,22.13,22.32,307903,
2010-04-07 12:04:00,SARENE,22.3,23.52,22.3,22.78,142312,
2010-04-08 12:04:00,SARENE,22.2,23.4,22.2,22.53,94870,
2010-04-09 12:04:00,SARENE,22.55,23.18,22.3,22.62,122139,
2010-04-12 12:04:00,SARENE,24.0,24.0,22.6,22.7,113722,
2010-04-13 12:04:00,SARENE,23.04,23.43,22.63,22.7,91271,
2010-04-16 12:04:00,SARENE,25.85,26.98,25.25,26.28,444807,
2010-04-19 12:04:00,SARENE,25.5,27.24,24.85,26.6,532540,
2010-04-20 12:04:00,SARENE,26.89,31.38,26.72,30.74,2975474,
2010-04-21 12:04:00,SARENE,30.0,31.7,29.23,30.58,1271108,
2010-04-22 12:04:00,SARENE,30.58,30.7,29.51,30.17,361588,
2010-04-23 12:04:00,SARENE,30.3,32.68,29.3,32.32,1043095,
2010-04-26 12:04:00,SARENE,32.55,33.68,31.8,32.82,640820,
2010-04-27 12:04:00,SARENE,32.61,34.05,31.58,33.12,478647,
2010-04-28 12:04:00,SARENE,32.44,33.19,29.81,29.99,324439,
2010-04-29 12:04:00,SARENE,30.1,31.68,29.52,30.49,292001,
2010-04-30 12:04:00,SARENE,31.45,31.8,30.6,31.05,153770,
2010-05-03 12:05:00,SARENE,30.01,31.75,30.01,30.34,115079,
2010-05-04 12:05:00,SARENE,30.5,31.2,29.29,29.59,127008,
2010-05-05 12:05:00,SARENE,29.0,29.4,26.9,28.38,189393,
2010-05-06 12:05:00,SARENE,28.89,29.1,27.12,27.43,96876,
2010-05-07 12:05:00,SARENE,24.75,27.4,24.0,25.15,239457,
2010-05-10 12:05:00,SARENE,26.0,29.77,25.98,29.28,592610,
2010-05-11 12:05:00,SARENE,29.49,30.49,28.1,28.48,579762,
2010-05-12 12:05:00,SARENE,28.8,29.48,26.91,27.88,242233,
2010-05-13 12:05:00,SARENE,28.5,29.38,27.9,28.35,284290,
2010-05-14 12:05:00,SARENE,27.91,28.7,27.0,27.29,123096,
2010-05-17 12:05:00,SARENE,25.5,27.9,25.5,27.09,141089,
2010-05-18 12:05:00,SARENE,27.1,28.39,26.62,27.2,119408,
2010-05-19 12:05:00,SARENE,26.5,27.19,26.0,26.05,81123,
2010-05-20 12:05:00,SARENE,26.2,27.08,25.23,25.53,118733,
2010-05-24 12:05:00,SARENE,25.78,26.79,25.33,25.55,93413,
2010-05-25 12:05:00,SARENE,25.0,25.2,23.1,23.45,109029,
2010-05-26 12:05:00,SARENE,23.9,25.13,23.8,24.59,109681,
2010-05-27 12:05:00,SARENE,24.14,25.65,23.5,24.76,164319,
2010-05-28 12:05:00,SARENE,25.29,25.89,25.04,25.22,93142,
2010-05-31 12:05:00,SARENE,25.25,25.9,24.9,25.1,62588,
2010-06-01 12:06:00,SARENE,25.01,25.72,23.9,24.16,59687,
2010-06-02 12:06:00,SARENE,24.5,25.45,23.53,24.98,50985,
2010-06-03 12:06:00,SARENE,25.4,26.65,25.4,25.67,138575,
2010-06-04 12:06:00,SARENE,25.74,26.28,25.52,25.7,74118,
2010-06-07 12:06:00,SARENE,24.9,25.25,24.21,24.89,54527,
2010-06-08 12:06:00,SARENE,25.09,25.3,24.22,24.35,22262,
2010-06-09 12:06:00,SARENE,24.67,24.8,23.4,23.55,92886,
2010-06-10 12:06:00,SARENE,23.89,24.44,23.7,24.07,85874,
2010-06-11 12:06:00,SARENE,24.25,24.5,23.42,23.52,46982,
2010-06-14 12:06:00,SARENE,24.0,24.85,23.68,24.48,113154,
2010-06-15 12:06:00,SARENE,24.57,24.8,24.11,24.36,27422,
2010-06-16 12:06:00,SARENE,24.4,25.6,24.4,24.74,105460,
2010-06-17 12:06:00,SARENE,24.52,28.87,24.52,28.0,1034874,
2010-06-18 12:06:00,SARENE,27.69,27.69,26.52,26.69,209257,
2010-06-21 12:06:00,SARENE,27.0,28.1,26.72,27.23,202860,
2010-06-22 12:06:00,SARENE,27.2,27.25,26.41,26.51,51434,
2010-06-23 12:06:00,SARENE,26.22,27.48,26.0,26.87,100522,
2010-06-24 12:06:00,SARENE,27.03,27.8,26.8,26.97,78206,
2010-06-25 12:06:00,SARENE,26.9,27.38,26.43,26.64,30385,
2010-06-28 12:06:00,SARENE,26.6,28.39,26.6,27.66,117092,
2010-06-30 12:06:00,SARENE,26.2,27.58,25.53,26.92,199389,
2010-07-01 12:07:00,SARENE,26.81,27.5,26.56,26.8,37203,
2010-07-02 12:07:00,SARENE,26.98,27.67,26.52,26.72,61211,
