datetime,stock_code,open,high,low,close,volume,open_interest
2023-08-16 12:08:00,SBFFIN,82.0,95.45,82.0,92.2,204417099,
2023-08-17 12:08:00,SBFFIN,92.3,93.5,86.65,89.9,32761572,
2023-08-18 12:08:00,SBFFIN,89.05,90.15,87.2,88.25,8974679,
2023-08-21 12:08:00,SBFFIN,88.3,88.8,83.75,86.05,8201753,
2023-08-22 12:08:00,SBFFIN,86.05,92.75,86.0,90.35,13550199,
2023-08-23 12:08:00,SBFFIN,91.25,91.45,87.45,87.8,3752822,
2023-08-24 12:08:00,SBFFIN,88.2,89.4,87.1,88.25,2377996,
2023-08-25 12:08:00,SBFFIN,87.8,89.7,87.5,88.3,2086417,
2023-08-28 12:08:00,SBFFIN,88.75,89.3,86.7,86.95,1479523,
2023-08-29 12:08:00,SBFFIN,87.0,87.6,85.75,86.1,1096395,
2023-08-30 12:08:00,SBFFIN,90.35,92.9,88.2,89.15,7037224,
2023-08-31 12:08:00,SBFFIN,89.0,89.8,87.6,88.0,2099547,
2023-09-01 12:09:00,SBFFIN,88.0,88.25,86.0,86.85,1525341,
2023-09-04 12:09:00,SBFFIN,87.05,88.0,86.0,86.4,1568536,
2023-09-05 12:09:00,SBFFIN,86.5,87.5,85.0,87.0,3178507,
2023-09-06 12:09:00,SBFFIN,86.0,87.75,86.0,87.0,1599178,
2023-09-07 12:09:00,SBFFIN,86.6,91.35,86.5,89.35,4912902,
2023-09-08 12:09:00,SBFFIN,89.0,90.4,88.6,88.9,1343283,
2023-09-11 12:09:00,SBFFIN,89.0,89.35,86.65,86.8,1852263,
2023-09-12 12:09:00,SBFFIN,87.0,88.4,84.6,85.2,2199598,
2023-09-13 12:09:00,SBFFIN,85.3,86.35,84.0,84.3,3609195,
2023-09-14 12:09:00,SBFFIN,84.85,88.35,84.4,86.5,2825809,
2023-09-15 12:09:00,SBFFIN,86.8,87.9,85.25,85.9,1064692,
2023-09-18 12:09:00,SBFFIN,86.0,86.9,85.15,85.65,998469,
2023-09-20 12:09:00,SBFFIN,85.7,87.85,85.4,86.55,1612749,
2023-09-21 12:09:00,SBFFIN,86.75,86.75,84.5,84.95,1064560,
2023-09-22 12:09:00,SBFFIN,85.0,86.3,84.55,85.2,950727,
2023-09-25 12:09:00,SBFFIN,85.6,86.55,83.5,83.7,818441,
2023-09-26 12:09:00,SBFFIN,84.1,84.25,82.1,83.2,1400116,
2023-09-27 12:09:00,SBFFIN,83.2,83.9,82.6,83.05,880742,
2023-09-28 12:09:00,SBFFIN,83.15,83.7,82.6,82.95,501046,
2023-09-29 12:09:00,SBFFIN,83.3,83.65,82.85,83.25,469621,
2023-10-03 12:10:00,SBFFIN,83.45,84.1,82.55,82.8,563440,
2023-10-04 12:10:00,SBFFIN,82.8,83.0,80.85,81.7,752546,
2023-10-05 12:10:00,SBFFIN,81.8,87.65,81.5,84.15,3733476,
2023-10-06 12:10:00,SBFFIN,85.2,88.35,84.55,86.85,2313482,
2023-10-09 12:10:00,SBFFIN,85.7,85.7,82.1,83.0,1342030,
2023-10-10 12:10:00,SBFFIN,83.25,85.45,82.9,84.3,758730,
2023-10-11 12:10:00,SBFFIN,86.25,87.0,84.25,84.6,1065420,
2023-10-12 12:10:00,SBFFIN,84.9,85.4,82.95,83.4,657488,
2023-10-13 12:10:00,SBFFIN,83.3,84.85,83.05,84.25,888946,
2023-10-16 12:10:00,SBFFIN,84.5,84.95,84.0,84.15,443780,
2023-10-17 12:10:00,SBFFIN,84.5,84.85,83.15,83.3,484027,
2023-10-18 12:10:00,SBFFIN,83.1,83.55,82.55,82.8,797034,
2023-10-19 12:10:00,SBFFIN,82.5,83.05,82.5,82.9,283511,
2023-10-20 12:10:00,SBFFIN,83.7,85.25,82.25,84.5,1264994,
2023-10-23 12:10:00,SBFFIN,84.5,85.7,80.6,82.3,1941107,
2023-10-25 12:10:00,SBFFIN,82.4,84.45,82.2,83.25,1315806,
2023-10-26 12:10:00,SBFFIN,83.0,83.0,80.2,82.2,982529,
2023-10-27 12:10:00,SBFFIN,83.0,87.7,82.5,84.55,4764278,
2023-10-30 12:10:00,SBFFIN,85.3,85.3,83.2,83.55,717795,
2023-10-31 12:10:00,SBFFIN,83.95,85.4,82.5,82.65,1194042,
2023-11-01 12:11:00,SBFFIN,82.8,83.5,82.0,82.35,525993,
2023-11-02 12:11:00,SBFFIN,82.9,83.15,81.6,81.85,503434,
2023-11-03 12:11:00,SBFFIN,84.45,84.45,81.8,81.85,611103,
2023-11-06 12:11:00,SBFFIN,82.6,84.8,81.6,82.65,1548093,
2023-11-07 12:11:00,SBFFIN,83.15,83.25,82.25,82.7,1258443,
2023-11-08 12:11:00,SBFFIN,83.2,83.65,82.5,83.1,1211422,
2023-11-09 12:11:00,SBFFIN,83.55,86.7,83.0,84.8,2400168,
2023-11-10 12:11:00,SBFFIN,84.45,85.1,83.4,83.75,885183,
2023-11-12 12:11:00,SBFFIN,84.7,88.9,84.6,87.6,3994650,
2023-11-13 12:11:00,SBFFIN,88.75,96.9,87.9,91.85,22561679,
2023-11-15 12:11:00,SBFFIN,94.0,94.7,91.0,91.25,5595068,
2023-11-16 12:11:00,SBFFIN,91.5,93.7,89.8,90.6,4290130,
2023-11-17 12:11:00,SBFFIN,89.0,92.25,87.3,91.4,6558213,
2023-11-20 12:11:00,SBFFIN,92.5,92.5,88.7,90.85,4912148,
2023-11-21 12:11:00,SBFFIN,91.5,94.0,90.55,90.85,4750053,
2023-11-22 12:11:00,SBFFIN,91.3,91.6,89.25,90.55,1482050,
2023-11-23 12:11:00,SBFFIN,90.55,90.9,87.7,87.9,2205791,
2023-11-24 12:11:00,SBFFIN,88.6,88.8,87.4,87.75,1266553,
2023-11-28 12:11:00,SBFFIN,87.75,88.45,85.8,86.2,1637971,
