datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,SEINVE,0.45,0.47,0.44,0.47,6010,
2010-01-05 12:01:00,SEINVE,0.47,0.47,0.45,0.45,28017,
2010-01-06 12:01:00,SEINVE,0.45,0.45,0.42,0.42,33997,
2010-01-07 12:01:00,SEINVE,0.42,0.43,0.42,0.42,27864,
2010-01-08 12:01:00,SEINVE,0.42,0.44,0.42,0.43,8407,
2010-01-11 12:01:00,SEINVE,0.45,0.46,0.45,0.46,2761,
2010-01-12 12:01:00,SEINVE,0.46,0.47,0.46,0.46,2046,
2010-01-13 12:01:00,SEINVE,0.46,0.46,0.45,0.45,680,
2010-01-14 12:01:00,SEINVE,0.46,0.46,0.45,0.45,506,
2010-01-15 12:01:00,SEINVE,0.45,0.46,0.45,0.46,628,
2010-01-18 12:01:00,SEINVE,0.44,0.46,0.44,0.46,18645,
2010-01-19 12:01:00,SEINVE,0.44,0.45,0.43,0.43,27370,
2010-01-20 12:01:00,SEINVE,0.46,0.46,0.42,0.43,1412,
2010-01-21 12:01:00,SEINVE,0.42,0.42,0.41,0.41,622,
2010-01-22 12:01:00,SEINVE,0.39,0.46,0.39,0.45,50693,
2010-01-25 12:01:00,SEINVE,0.46,0.46,0.43,0.43,922,
2010-01-27 12:01:00,SEINVE,0.41,0.46,0.4,0.44,48061,
2010-01-28 12:01:00,SEINVE,0.45,0.45,0.42,0.43,1375,
2010-01-29 12:01:00,SEINVE,0.43,0.45,0.41,0.44,1135,
2010-02-01 12:02:00,SEINVE,0.44,0.46,0.44,0.46,776,
2010-02-02 12:02:00,SEINVE,0.46,0.49,0.45,0.45,532,
2010-02-04 12:02:00,SEINVE,0.46,0.46,0.44,0.45,45855,
2010-02-05 12:02:00,SEINVE,0.45,0.45,0.44,0.44,980,
2010-02-06 12:02:00,SEINVE,0.45,0.46,0.44,0.46,257,
2010-02-08 12:02:00,SEINVE,0.43,0.46,0.43,0.44,470,
2010-02-09 12:02:00,SEINVE,0.46,0.46,0.44,0.44,229,
2010-02-10 12:02:00,SEINVE,0.45,0.46,0.43,0.44,1304,
2010-02-11 12:02:00,SEINVE,0.45,0.45,0.45,0.45,44,
2010-02-15 12:02:00,SEINVE,0.45,0.45,0.43,0.44,405,
2010-02-16 12:02:00,SEINVE,0.44,0.45,0.43,0.45,27360,
2010-02-17 12:02:00,SEINVE,0.41,0.45,0.41,0.43,2315,
