datetime,stock_code,open,high,low,close,volume,open_interest
2015-09-03 12:09:00,SHAMOT,199.79,205.99,184.0,191.04,5809,
2015-09-04 12:09:00,SHAMOT,189.0,189.01,180.0,185.0,2673,
2015-09-07 12:09:00,SHAMOT,185.0,185.0,178.0,178.0,2571,
2015-09-09 12:09:00,SHAMOT,156.07,182.0,156.07,174.67,170,
2015-09-10 12:09:00,SHAMOT,164.02,179.79,164.02,166.08,38,
2015-09-11 12:09:00,SHAMOT,179.59,179.59,165.0,166.01,32,
2015-09-14 12:09:00,SHAMOT,179.79,184.0,167.0,167.0,147,
2015-09-15 12:09:00,SHAMOT,176.79,183.0,176.79,183.0,13,
2015-09-21 12:09:00,SHAMOT,181.6,195.0,178.2,180.4,141,
2015-09-22 12:09:00,SHAMOT,178.2,180.0,175.0,175.0,215,
2015-09-23 12:09:00,SHAMOT,191.0,191.0,191.0,191.0,1,
2015-09-28 12:09:00,SHAMOT,190.0,190.0,190.0,190.0,1,
2015-09-29 12:09:00,SHAMOT,180.0,180.0,172.2,172.32,14523,
2015-09-30 12:09:00,SHAMOT,181.0,181.3,172.4,181.0,343,
2015-10-01 12:10:00,SHAMOT,179.56,182.01,179.56,180.0,40,
2015-10-05 12:10:00,SHAMOT,184.19,184.19,181.0,181.0,3,
2015-10-06 12:10:00,SHAMOT,180.6,183.8,179.8,179.8,55,
2015-10-07 12:10:00,SHAMOT,180.0,183.79,178.2,178.2,122,
2015-10-08 12:10:00,SHAMOT,176.0,176.0,174.2,174.43,390,
2015-10-09 12:10:00,SHAMOT,180.0,180.0,180.0,180.0,10,
2015-10-12 12:10:00,SHAMOT,210.0,210.0,171.6,171.61,37,
2015-10-13 12:10:00,SHAMOT,175.0,175.0,175.0,175.0,2,
2015-10-14 12:10:00,SHAMOT,189.99,189.99,172.89,172.9,15,
2015-10-15 12:10:00,SHAMOT,171.01,187.19,171.01,172.0,33,
2015-10-16 12:10:00,SHAMOT,172.0,179.0,170.0,177.22,29,
2015-10-19 12:10:00,SHAMOT,179.0,179.8,177.4,177.51,30,
2015-10-20 12:10:00,SHAMOT,169.25,174.36,151.1,165.88,1747,
2015-10-21 12:10:00,SHAMOT,162.1,171.72,162.1,165.67,61,
2015-10-23 12:10:00,SHAMOT,173.0,173.0,157.8,171.18,104,
2015-10-26 12:10:00,SHAMOT,170.0,171.0,168.0,168.0,178,
2015-10-27 12:10:00,SHAMOT,168.0,170.0,165.2,170.0,206,
2015-10-28 12:10:00,SHAMOT,170.0,170.0,168.0,168.0,53,
2015-10-29 12:10:00,SHAMOT,170.0,170.0,170.0,170.0,145,
2015-10-30 12:10:00,SHAMOT,161.44,168.99,161.44,162.84,39,
2015-11-03 12:11:00,SHAMOT,169.59,169.6,169.2,169.2,11,
2015-11-04 12:11:00,SHAMOT,169.99,188.0,165.01,179.75,2086,
2015-11-05 12:11:00,SHAMOT,179.82,190.0,179.81,188.92,627,
2015-11-06 12:11:00,SHAMOT,182.4,193.0,179.05,179.68,768,
2015-11-09 12:11:00,SHAMOT,167.2,180.0,167.2,179.82,162,
2015-11-10 12:11:00,SHAMOT,184.0,184.0,179.0,180.95,229,
2015-11-11 12:11:00,SHAMOT,187.8,188.0,181.0,181.88,106,
2015-11-13 12:11:00,SHAMOT,182.99,186.0,173.3,174.22,67,
2015-11-16 12:11:00,SHAMOT,185.0,188.0,173.0,184.55,487,
2015-11-17 12:11:00,SHAMOT,177.0,188.0,177.0,182.0,101,
2015-11-19 12:11:00,SHAMOT,185.0,185.0,176.0,179.0,166,
2015-11-20 12:11:00,SHAMOT,187.99,194.0,182.0,193.0,230,
2015-11-23 12:11:00,SHAMOT,193.06,209.4,187.0,204.68,1006,
2015-11-24 12:11:00,SHAMOT,217.8,217.8,198.54,202.96,744,
2015-11-26 12:11:00,SHAMOT,207.8,209.99,204.0,206.16,387,
2015-11-27 12:11:00,SHAMOT,206.02,206.02,197.92,198.8,143,
2015-11-30 12:11:00,SHAMOT,199.99,204.0,176.5,200.17,3011,
2015-12-01 12:12:00,SHAMOT,204.0,207.4,193.0,196.23,661,
2015-12-02 12:12:00,SHAMOT,193.01,197.2,190.04,191.24,646,
2015-12-03 12:12:00,SHAMOT,194.0,197.52,182.7,187.38,1827,
2015-12-04 12:12:00,SHAMOT,213.6,218.77,204.0,207.54,17834,
2015-12-07 12:12:00,SHAMOT,207.4,209.6,202.0,203.78,2345,
2015-12-08 12:12:00,SHAMOT,210.0,210.0,195.62,196.94,1320,
2015-12-09 12:12:00,SHAMOT,200.0,200.0,186.02,186.9,996,
2015-12-10 12:12:00,SHAMOT,185.2,189.0,184.0,187.7,2658,
2015-12-11 12:12:00,SHAMOT,188.0,188.79,186.0,186.0,2350,
2015-12-14 12:12:00,SHAMOT,193.99,194.0,182.0,186.64,2744,
2015-12-15 12:12:00,SHAMOT,186.0,190.19,184.01,187.68,2362,
2015-12-16 12:12:00,SHAMOT,187.01,188.0,185.01,185.28,2309,
2015-12-17 12:12:00,SHAMOT,185.0,188.89,185.0,186.18,2517,
2015-12-18 12:12:00,SHAMOT,186.01,189.8,186.0,187.14,2141,
2015-12-21 12:12:00,SHAMOT,187.2,197.0,185.2,196.88,2467,
2015-12-22 12:12:00,SHAMOT,196.4,199.95,195.0,196.68,2594,
2015-12-23 12:12:00,SHAMOT,196.8,199.8,196.29,197.21,2699,
2015-12-24 12:12:00,SHAMOT,197.0,197.2,192.04,192.1,2374,
2015-12-28 12:12:00,SHAMOT,192.99,199.0,192.39,196.33,2213,
2015-12-29 12:12:00,SHAMOT,196.2,204.0,193.01,198.0,2247,
2015-12-30 12:12:00,SHAMOT,198.21,200.2,198.0,198.0,2262,
2015-12-31 12:12:00,SHAMOT,200.0,200.4,196.21,197.98,2240,
2016-01-01 12:01:00,SHAMOT,198.4,203.8,195.41,199.23,2188,
2016-01-04 12:01:00,SHAMOT,206.0,206.0,197.0,200.0,2890,
2016-01-05 12:01:00,SHAMOT,200.0,200.21,198.0,199.02,2395,
2016-01-06 12:01:00,SHAMOT,199.2,203.79,195.09,197.82,2592,
2016-01-07 12:01:00,SHAMOT,197.82,198.0,194.0,194.4,2284,
2016-01-08 12:01:00,SHAMOT,194.4,199.0,194.0,198.37,2469,
2016-01-11 12:01:00,SHAMOT,198.4,199.0,193.03,193.03,2087,
2016-01-12 12:01:00,SHAMOT,194.0,196.3,183.98,194.29,2189,
2016-01-13 12:01:00,SHAMOT,195.1,197.0,182.65,188.06,2489,
2016-01-14 12:01:00,SHAMOT,183.0,187.31,178.21,179.3,2773,
2016-01-15 12:01:00,SHAMOT,181.0,186.98,175.0,175.99,2457,
2016-01-18 12:01:00,SHAMOT,172.0,173.2,160.03,163.77,2755,
2016-01-19 12:01:00,SHAMOT,165.0,167.8,162.25,166.0,2196,
2016-01-20 12:01:00,SHAMOT,166.1,166.19,160.42,165.8,2125,
2016-01-21 12:01:00,SHAMOT,166.1,168.01,166.1,168.0,2053,
2016-01-22 12:01:00,SHAMOT,169.0,175.09,165.1,166.14,2078,
2016-01-25 12:01:00,SHAMOT,170.0,170.19,167.01,167.04,2093,
2016-01-27 12:01:00,SHAMOT,168.01,175.0,166.05,171.0,2081,
2016-01-28 12:01:00,SHAMOT,172.0,172.9,170.0,171.1,2107,
2016-01-29 12:01:00,SHAMOT,172.1,175.6,172.1,175.6,2118,
2016-02-01 12:02:00,SHAMOT,178.0,178.2,174.1,175.4,2029,
2016-02-02 12:02:00,SHAMOT,175.6,198.79,168.0,169.04,3458,
2016-02-03 12:02:00,SHAMOT,169.6,169.6,164.44,167.07,2316,
2016-02-04 12:02:00,SHAMOT,168.0,169.02,163.8,166.0,2095,
2016-02-05 12:02:00,SHAMOT,166.1,167.7,165.0,165.96,2247,
2016-02-08 12:02:00,SHAMOT,167.1,186.8,167.1,169.57,2828,
2016-02-09 12:02:00,SHAMOT,184.0,189.8,168.02,170.17,7214,
2016-02-10 12:02:00,SHAMOT,172.09,172.1,163.0,165.62,2836,
2016-02-11 12:02:00,SHAMOT,166.1,167.0,157.34,158.41,2319,
2016-02-12 12:02:00,SHAMOT,158.0,159.8,148.01,155.06,2420,
2016-02-15 12:02:00,SHAMOT,157.2,162.1,157.2,160.4,2557,
2016-02-16 12:02:00,SHAMOT,159.01,160.4,158.0,158.16,2111,
2016-02-17 12:02:00,SHAMOT,158.0,158.1,150.26,152.17,2279,
2016-02-18 12:02:00,SHAMOT,152.1,155.2,150.21,152.61,2229,
2016-02-19 12:02:00,SHAMOT,152.0,160.0,151.0,159.97,2339,
2016-02-22 12:02:00,SHAMOT,160.0,160.0,152.0,153.35,2097,
2016-02-23 12:02:00,SHAMOT,153.6,154.01,150.23,154.0,2085,
2016-02-24 12:02:00,SHAMOT,152.0,155.0,146.92,147.97,2395,
2016-02-25 12:02:00,SHAMOT,150.0,153.2,147.2,147.8,2078,
2016-02-26 12:02:00,SHAMOT,147.99,154.84,147.7,151.25,2078,
2016-02-29 12:02:00,SHAMOT,151.2,152.0,146.72,150.4,2358,
2016-03-01 12:03:00,SHAMOT,150.4,161.2,149.99,155.8,2148,
2016-03-02 12:03:00,SHAMOT,161.0,166.96,155.2,165.72,2273,
2016-03-03 12:03:00,SHAMOT,165.8,166.0,161.4,165.9,2094,
2016-03-04 12:03:00,SHAMOT,165.81,166.7,161.7,161.7,2171,
2016-03-08 12:03:00,SHAMOT,161.6,164.99,161.52,161.62,2056,
2016-03-09 12:03:00,SHAMOT,161.8,167.1,161.0,161.4,12813,
2016-03-10 12:03:00,SHAMOT,162.0,162.0,162.0,162.0,10,
2016-03-14 12:03:00,SHAMOT,156.83,157.3,156.8,157.3,11,
2016-03-15 12:03:00,SHAMOT,155.0,158.0,154.21,154.97,5938,
2016-03-16 12:03:00,SHAMOT,153.0,158.0,152.81,158.0,4017,
2016-03-17 12:03:00,SHAMOT,154.0,166.0,153.26,154.97,6249,
2016-03-18 12:03:00,SHAMOT,158.4,158.4,151.2,151.58,205,
2016-03-21 12:03:00,SHAMOT,157.2,160.0,154.4,154.44,163,
2016-03-22 12:03:00,SHAMOT,157.0,167.2,157.0,160.6,43,
2016-03-23 12:03:00,SHAMOT,155.8,159.8,154.18,159.57,78,
2016-03-28 12:03:00,SHAMOT,163.8,163.8,154.78,155.2,127,
2016-03-29 12:03:00,SHAMOT,155.0,156.4,154.6,154.6,303,
2016-03-30 12:03:00,SHAMOT,156.0,162.8,156.0,160.65,132,
2016-03-31 12:03:00,SHAMOT,156.7,156.7,156.61,156.61,9,
2016-04-01 12:04:00,SHAMOT,161.2,163.66,160.0,160.0,17,
2016-04-04 12:04:00,SHAMOT,162.9,164.72,159.0,159.0,278,
2016-04-05 12:04:00,SHAMOT,163.0,165.0,160.6,160.6,159,
2016-04-06 12:04:00,SHAMOT,164.8,173.6,164.8,170.5,321,
2016-04-08 12:04:00,SHAMOT,166.0,169.6,163.6,168.49,210,
2016-04-11 12:04:00,SHAMOT,164.0,173.0,164.0,171.2,212,
2016-04-12 12:04:00,SHAMOT,170.0,183.8,170.0,177.23,420,
2016-04-13 12:04:00,SHAMOT,171.92,178.19,171.63,173.53,361,
2016-04-18 12:04:00,SHAMOT,179.0,179.0,169.6,171.88,163,
2016-04-20 12:04:00,SHAMOT,173.4,174.0,173.2,174.0,141,
