datetime,stock_code,open,high,low,close,volume,open_interest
2020-09-21 12:09:00,SHARIN,24.31,26.24,23.78,24.24,81349,
2020-09-22 12:09:00,SHARIN,24.24,24.29,21.62,22.42,14468,
2020-09-23 12:09:00,SHARIN,22.94,23.22,21.57,22.33,4966,
2020-09-24 12:09:00,SHARIN,22.94,22.94,21.86,22.39,6047,
2020-09-25 12:09:00,SHARIN,23.14,23.53,21.98,23.27,31355,
2020-09-28 12:09:00,SHARIN,23.24,23.72,22.6,23.08,13502,
2020-09-29 12:09:00,SHARIN,23.09,23.2,22.65,22.75,17805,
2020-09-30 12:09:00,SHARIN,22.8,23.13,22.51,23.08,27115,
2020-10-01 12:10:00,SHARIN,23.14,23.24,22.55,22.59,11245,
2020-10-05 12:10:00,SHARIN,22.75,23.14,22.57,22.72,18058,
2020-10-06 12:10:00,SHARIN,22.55,24.02,21.82,23.61,26637,
2020-10-07 12:10:00,SHARIN,23.05,23.73,23.04,23.24,30699,
2020-10-08 12:10:00,SHARIN,23.04,23.26,22.94,23.13,13631,
2020-10-09 12:10:00,SHARIN,22.86,23.13,22.5,22.78,12649,
2020-10-12 12:10:00,SHARIN,23.04,23.04,22.55,22.69,13369,
2020-10-13 12:10:00,SHARIN,22.98,22.98,22.55,22.67,19238,
2020-10-14 12:10:00,SHARIN,22.26,22.99,21.88,22.16,6605,
2020-10-15 12:10:00,SHARIN,21.79,22.94,21.78,22.25,8113,
2020-10-16 12:10:00,SHARIN,22.35,22.7,22.17,22.55,14234,
2020-10-19 12:10:00,SHARIN,22.55,22.65,22.08,22.25,16974,
2020-10-20 12:10:00,SHARIN,22.3,22.71,22.0,22.27,13182,
2020-10-21 12:10:00,SHARIN,22.16,22.56,22.16,22.35,15539,
2020-10-22 12:10:00,SHARIN,22.0,22.59,22.0,22.48,12139,
2020-10-23 12:10:00,SHARIN,22.55,24.25,22.04,22.75,8724,
2020-10-26 12:10:00,SHARIN,22.82,23.02,20.82,22.52,20340,
2020-10-27 12:10:00,SHARIN,22.82,23.04,22.48,22.77,18699,
2020-10-28 12:10:00,SHARIN,22.75,23.21,22.62,22.83,14130,
2020-10-29 12:10:00,SHARIN,22.65,22.87,22.37,22.57,14587,
2020-10-30 12:10:00,SHARIN,22.47,23.33,22.16,22.23,27976,
2020-11-02 12:11:00,SHARIN,22.24,22.56,22.24,22.4,15115,
2020-11-03 12:11:00,SHARIN,22.35,22.53,21.97,21.97,12290,
2020-11-04 12:11:00,SHARIN,22.16,22.29,22.16,22.16,12702,
2020-11-05 12:11:00,SHARIN,22.45,23.28,22.4,22.73,19356,
2020-11-06 12:11:00,SHARIN,22.56,22.79,21.78,22.28,17611,
2020-11-09 12:11:00,SHARIN,22.28,22.62,22.05,22.55,7159,
2020-11-10 12:11:00,SHARIN,22.75,22.9,22.16,22.45,21510,
2020-11-11 12:11:00,SHARIN,22.75,22.75,22.16,22.74,13339,
2020-11-12 12:11:00,SHARIN,23.12,23.12,22.17,22.39,3523,
2020-11-13 12:11:00,SHARIN,22.84,22.99,22.35,22.54,14116,
2020-11-14 12:11:00,SHARIN,23.12,23.33,22.35,22.69,10937,
2020-11-17 12:11:00,SHARIN,22.55,23.08,22.37,22.66,14295,
2020-11-18 12:11:00,SHARIN,22.94,23.04,22.41,22.7,16241,
2020-11-19 12:11:00,SHARIN,22.35,26.66,22.25,23.72,34958,
2020-11-20 12:11:00,SHARIN,24.51,25.18,23.92,24.02,19634,
2020-11-23 12:11:00,SHARIN,24.41,24.41,23.43,24.19,21263,
2020-11-24 12:11:00,SHARIN,23.34,24.29,23.33,23.43,15466,
2020-11-25 12:11:00,SHARIN,23.24,23.92,22.94,23.29,47888,
2020-11-26 12:11:00,SHARIN,23.28,23.91,23.08,23.23,11885,
2020-11-27 12:11:00,SHARIN,23.33,23.76,23.24,23.47,11583,
2020-12-01 12:12:00,SHARIN,23.63,24.51,23.24,24.11,16720,
2020-12-02 12:12:00,SHARIN,24.26,24.26,23.55,23.89,15477,
2020-12-03 12:12:00,SHARIN,24.12,24.73,23.75,24.46,21450,
2020-12-04 12:12:00,SHARIN,24.71,24.71,23.88,24.29,12324,
2020-12-07 12:12:00,SHARIN,25.86,28.43,24.5,27.04,45640,
2020-12-08 12:12:00,SHARIN,27.06,27.06,25.41,25.88,20030,
2020-12-09 12:12:00,SHARIN,25.98,28.42,23.92,27.49,31525,
2020-12-10 12:12:00,SHARIN,27.45,28.63,25.9,27.31,17629,
2020-12-11 12:12:00,SHARIN,28.21,28.24,25.41,27.43,18352,
2020-12-14 12:12:00,SHARIN,28.2,32.36,27.45,32.36,320183,
2020-12-15 12:12:00,SHARIN,33.53,38.27,33.16,36.28,464176,
2020-12-16 12:12:00,SHARIN,36.47,37.63,34.55,36.13,124421,
2020-12-17 12:12:00,SHARIN,36.08,36.57,35.1,35.3,24957,
2020-12-18 12:12:00,SHARIN,36.02,37.36,34.53,36.05,57284,
2020-12-21 12:12:00,SHARIN,35.2,36.84,35.12,35.24,24009,
2020-12-22 12:12:00,SHARIN,36.45,36.45,34.12,35.53,47760,
2020-12-23 12:12:00,SHARIN,35.2,36.46,35.2,35.63,17595,
2020-12-24 12:12:00,SHARIN,35.68,36.47,35.29,36.08,14499,
2020-12-28 12:12:00,SHARIN,36.37,36.65,35.11,36.09,297929,
2020-12-29 12:12:00,SHARIN,36.27,36.67,35.37,35.48,14408,
2020-12-30 12:12:00,SHARIN,35.69,36.45,35.31,36.21,14866,
2020-12-31 12:12:00,SHARIN,37.04,39.55,36.18,38.07,85088,
2021-01-01 12:01:00,SHARIN,38.63,39.8,37.7,38.7,21894,
2021-01-04 12:01:00,SHARIN,39.59,40.21,38.04,39.33,40092,
2021-01-05 12:01:00,SHARIN,38.64,41.18,38.05,40.73,30579,
2021-01-06 12:01:00,SHARIN,41.18,42.75,41.17,42.15,45268,
2021-01-07 12:01:00,SHARIN,43.2,43.31,41.25,42.09,29489,
2021-01-08 12:01:00,SHARIN,42.09,43.28,41.96,42.75,32888,
2021-01-11 12:01:00,SHARIN,43.53,43.53,41.56,42.02,25307,
2021-01-12 12:01:00,SHARIN,41.05,42.73,40.59,41.92,38717,
2021-01-13 12:01:00,SHARIN,42.53,42.75,40.39,41.12,31447,
2021-01-14 12:01:00,SHARIN,40.89,41.85,40.02,41.31,37208,
2021-01-15 12:01:00,SHARIN,41.42,41.55,38.75,39.63,20349,
2021-01-18 12:01:00,SHARIN,41.18,41.18,37.65,38.66,24054,
2021-01-19 12:01:00,SHARIN,39.89,39.98,37.9,38.5,31530,
2021-01-20 12:01:00,SHARIN,38.46,39.24,38.46,38.62,7689,
2021-01-21 12:01:00,SHARIN,39.13,40.0,38.69,39.25,22559,
2021-01-22 12:01:00,SHARIN,39.15,39.55,38.06,38.32,13095,
2021-01-25 12:01:00,SHARIN,38.5,39.21,36.34,36.96,6344,
2021-01-27 12:01:00,SHARIN,37.4,37.65,36.23,37.25,4322,
2021-01-28 12:01:00,SHARIN,37.19,37.45,36.32,36.71,2984,
2021-01-29 12:01:00,SHARIN,37.11,37.83,36.49,36.73,2993,
2021-02-01 12:02:00,SHARIN,37.54,40.12,36.73,40.1,109955,
2021-02-02 12:02:00,SHARIN,40.92,41.25,39.3,39.9,34850,
2021-02-03 12:02:00,SHARIN,40.78,40.78,39.32,39.7,15300,
2021-02-04 12:02:00,SHARIN,39.7,40.78,39.6,40.19,11911,
2021-02-05 12:02:00,SHARIN,41.3,41.78,39.72,40.48,21637,
2021-02-08 12:02:00,SHARIN,41.96,43.15,41.95,42.33,125252,
2021-02-09 12:02:00,SHARIN,42.16,44.07,42.06,43.79,98496,
2021-02-10 12:02:00,SHARIN,43.86,43.86,42.56,43.12,11845,
2021-02-11 12:02:00,SHARIN,42.75,45.31,42.75,44.78,52574,
2021-02-12 12:02:00,SHARIN,45.1,45.29,43.98,44.23,9999,
2021-02-15 12:02:00,SHARIN,45.27,47.06,44.41,46.69,25802,
2021-02-16 12:02:00,SHARIN,47.22,49.61,46.66,49.34,24172,
2021-02-17 12:02:00,SHARIN,49.22,49.78,48.43,48.78,18851,
2021-02-18 12:02:00,SHARIN,49.75,49.86,48.02,48.27,15758,
2021-02-19 12:02:00,SHARIN,47.25,49.17,46.6,48.67,12152,
2021-02-22 12:02:00,SHARIN,49.61,49.61,46.12,47.03,11837,
2021-02-23 12:02:00,SHARIN,47.03,48.57,46.86,47.04,4635,
2021-02-24 12:02:00,SHARIN,48.49,49.76,46.99,48.38,3403,
2021-02-25 12:02:00,SHARIN,48.82,49.56,47.47,47.63,12272,
2021-02-26 12:02:00,SHARIN,48.76,48.76,46.49,47.39,14492,
2021-03-01 12:03:00,SHARIN,48.8,48.8,47.65,48.25,6523,
2021-03-02 12:03:00,SHARIN,49.4,49.4,47.75,48.03,5045,
2021-03-03 12:03:00,SHARIN,48.82,54.06,48.18,52.58,41137,
2021-03-04 12:03:00,SHARIN,53.49,54.31,51.77,54.09,21977,
2021-03-05 12:03:00,SHARIN,54.71,55.47,52.2,52.81,21359,
2021-03-08 12:03:00,SHARIN,53.71,53.9,52.55,52.87,14250,
2021-03-09 12:03:00,SHARIN,53.33,59.02,52.75,56.26,93032,
2021-03-10 12:03:00,SHARIN,58.61,58.61,55.1,55.55,17634,
2021-03-12 12:03:00,SHARIN,57.23,57.23,54.33,56.05,17632,
2021-03-15 12:03:00,SHARIN,57.59,57.59,55.12,55.79,12952,
2021-03-16 12:03:00,SHARIN,56.45,56.45,55.29,55.41,3114,
2021-03-17 12:03:00,SHARIN,54.87,55.88,53.64,54.03,7423,
2021-03-18 12:03:00,SHARIN,55.69,55.69,50.49,51.27,70891,
2021-03-19 12:03:00,SHARIN,51.47,52.54,49.8,51.94,8786,
2021-03-22 12:03:00,SHARIN,52.65,53.73,52.03,53.55,4469,
2021-03-23 12:03:00,SHARIN,55.0,55.32,52.99,54.06,4916,
2021-03-24 12:03:00,SHARIN,55.66,55.66,52.79,53.77,7988,
2021-03-25 12:03:00,SHARIN,53.74,54.5,52.41,52.99,7977,
2021-03-26 12:03:00,SHARIN,52.99,54.3,51.18,53.67,8309,
2021-03-30 12:03:00,SHARIN,54.65,54.9,53.33,53.92,5424,
2021-03-31 12:03:00,SHARIN,53.25,54.48,53.06,54.3,2897,
2021-04-01 12:04:00,SHARIN,56.27,57.25,53.23,55.74,7981,
2021-04-05 12:04:00,SHARIN,55.75,55.75,54.76,55.66,9993,
2021-04-06 12:04:00,SHARIN,58.61,61.57,55.69,60.6,43482,
2021-04-07 12:04:00,SHARIN,61.55,64.51,60.79,61.21,56352,
2021-04-08 12:04:00,SHARIN,62.35,63.14,61.78,62.81,16842,
2021-04-09 12:04:00,SHARIN,63.14,64.47,63.14,63.81,10516,
2021-04-12 12:04:00,SHARIN,63.73,65.25,61.36,61.86,18652,
2021-04-13 12:04:00,SHARIN,64.22,64.5,61.23,61.78,5763,
2021-04-15 12:04:00,SHARIN,62.55,66.47,62.55,65.46,37861,
2021-04-16 12:04:00,SHARIN,65.46,67.45,65.46,66.29,38281,
2021-04-19 12:04:00,SHARIN,66.06,66.06,63.5,64.15,35672,
2021-04-20 12:04:00,SHARIN,65.1,65.87,63.91,64.25,27156,
2021-04-22 12:04:00,SHARIN,64.88,65.28,63.55,63.76,17828,
2021-04-23 12:04:00,SHARIN,63.57,65.26,63.15,63.71,63122,
2021-04-26 12:04:00,SHARIN,64.31,64.7,64.01,64.17,37668,
2021-04-27 12:04:00,SHARIN,65.46,66.08,63.55,64.4,58689,
2021-04-28 12:04:00,SHARIN,65.27,65.84,63.54,64.82,318376,
2021-04-29 12:04:00,SHARIN,66.46,72.94,65.49,71.42,158837,
2021-04-30 12:04:00,SHARIN,72.16,74.76,71.67,73.08,93282,
2021-05-03 12:05:00,SHARIN,72.35,80.68,69.56,78.36,208096,
2021-05-04 12:05:00,SHARIN,81.95,82.13,77.25,77.53,91786,
2021-05-05 12:05:00,SHARIN,78.24,81.18,77.46,78.98,144857,
2021-05-06 12:05:00,SHARIN,80.38,80.38,76.51,77.19,85132,
2021-05-07 12:05:00,SHARIN,77.45,78.99,76.33,77.17,21116,
2021-05-10 12:05:00,SHARIN,80.0,81.15,77.75,77.99,56768,
2021-05-11 12:05:00,SHARIN,78.63,79.18,77.29,77.52,43124,
2021-05-12 12:05:00,SHARIN,78.97,81.12,76.77,80.35,36110,
2021-05-14 12:05:00,SHARIN,81.57,89.96,81.18,88.12,191292,
2021-05-17 12:05:00,SHARIN,90.58,90.58,86.08,87.11,53728,
2021-05-18 12:05:00,SHARIN,87.84,90.53,87.44,89.19,46762,
2021-05-19 12:05:00,SHARIN,89.02,97.45,88.05,95.17,103516,
2021-05-20 12:05:00,SHARIN,96.66,99.05,90.39,92.83,101831,
2021-05-21 12:05:00,SHARIN,94.47,94.65,89.22,92.7,47897,
2021-05-24 12:05:00,SHARIN,94.0,94.89,92.94,94.33,30455,
2021-05-25 12:05:00,SHARIN,97.8,97.8,94.31,95.92,48074,
2021-05-26 12:05:00,SHARIN,98.82,102.74,97.33,100.66,302889,
2021-05-27 12:05:00,SHARIN,103.14,106.17,101.67,102.36,95339,
2021-05-28 12:05:00,SHARIN,103.41,104.28,99.8,101.09,56826,
2021-05-31 12:05:00,SHARIN,101.76,101.86,97.25,98.19,41996,
2021-06-01 12:06:00,SHARIN,97.45,99.8,92.01,94.96,70089,
2021-06-02 12:06:00,SHARIN,95.1,96.67,93.11,95.05,39157,
2021-06-03 12:06:00,SHARIN,96.43,96.43,92.67,95.1,27710,
2021-06-04 12:06:00,SHARIN,95.1,96.42,92.94,94.88,29623,
2021-06-07 12:06:00,SHARIN,94.9,96.44,92.87,94.83,44734,
2021-06-08 12:06:00,SHARIN,94.83,95.83,93.33,93.9,18533,
2021-06-09 12:06:00,SHARIN,95.86,95.86,92.18,93.01,34680,
2021-06-10 12:06:00,SHARIN,93.93,93.93,90.02,92.92,32336,
2021-06-11 12:06:00,SHARIN,93.73,93.88,92.35,93.38,20412,
2021-06-14 12:06:00,SHARIN,94.31,98.45,92.35,93.23,25368,
2021-06-15 12:06:00,SHARIN,93.33,94.68,91.96,92.62,20049,
2021-06-16 12:06:00,SHARIN,93.96,93.96,90.2,90.98,28278,
2021-06-17 12:06:00,SHARIN,90.98,90.98,89.02,89.2,18678,
2021-06-18 12:06:00,SHARIN,89.12,90.98,84.52,90.42,50641,
2021-06-21 12:06:00,SHARIN,90.42,92.43,89.03,90.8,40964,
2021-06-22 12:06:00,SHARIN,91.37,91.37,88.07,88.97,22122,
2021-06-23 12:06:00,SHARIN,88.24,90.38,87.45,88.39,15719,
2021-06-24 12:06:00,SHARIN,87.12,90.63,87.12,89.13,19630,
2021-06-25 12:06:00,SHARIN,90.58,91.96,86.69,91.06,60918,
2021-06-28 12:06:00,SHARIN,92.55,93.31,89.31,89.87,17500,
2021-06-29 12:06:00,SHARIN,91.76,96.83,90.01,94.74,245913,
2021-06-30 12:06:00,SHARIN,95.69,100.98,92.16,92.84,338292,
2021-07-01 12:07:00,SHARIN,94.51,100.78,92.29,97.77,195581,
2021-07-02 12:07:00,SHARIN,99.11,101.16,96.88,98.97,60248,
2021-07-05 12:07:00,SHARIN,100.75,100.75,97.84,98.81,44526,
2021-07-06 12:07:00,SHARIN,99.09,99.09,95.3,96.02,51344,
2021-07-07 12:07:00,SHARIN,97.65,99.84,95.49,96.16,120772,
2021-07-08 12:07:00,SHARIN,95.32,97.56,94.9,95.55,23701,
2021-07-09 12:07:00,SHARIN,95.29,96.75,94.3,94.82,29547,
2021-07-12 12:07:00,SHARIN,96.44,96.6,92.96,93.46,92279,
2021-07-13 12:07:00,SHARIN,96.57,96.57,93.65,94.27,21752,
2021-07-14 12:07:00,SHARIN,96.56,97.25,95.06,96.16,51144,
2021-07-15 12:07:00,SHARIN,97.45,99.61,95.3,98.53,64215,
2021-07-16 12:07:00,SHARIN,99.78,110.33,98.46,108.26,509610,
2021-07-19 12:07:00,SHARIN,109.22,109.82,102.16,104.83,240468,
2021-07-20 12:07:00,SHARIN,105.1,109.02,101.22,104.37,125836,
2021-07-22 12:07:00,SHARIN,106.41,108.04,103.33,107.07,77635,
2021-07-23 12:07:00,SHARIN,109.74,109.74,105.71,108.12,89762,
2021-07-26 12:07:00,SHARIN,108.63,113.53,108.44,112.84,167677,
2021-07-27 12:07:00,SHARIN,112.95,115.54,112.55,112.9,69159,
2021-07-28 12:07:00,SHARIN,112.77,114.38,109.62,112.77,70462,
2021-07-29 12:07:00,SHARIN,112.75,112.76,103.46,110.42,251633,
2021-07-30 12:07:00,SHARIN,108.22,110.29,106.75,107.94,69854,
2021-08-02 12:08:00,SHARIN,109.61,113.53,109.18,110.49,85738,
2021-08-03 12:08:00,SHARIN,111.57,111.96,107.63,108.95,63874,
2021-08-04 12:08:00,SHARIN,109.02,113.28,109.02,111.76,129710,
2021-08-05 12:08:00,SHARIN,113.14,113.14,109.64,111.09,82874,
2021-08-06 12:08:00,SHARIN,112.7,112.7,110.59,111.2,28740,
2021-08-09 12:08:00,SHARIN,112.75,119.7,112.24,114.15,83067,
2021-08-10 12:08:00,SHARIN,115.82,115.82,109.71,111.04,64774,
2021-08-11 12:08:00,SHARIN,111.18,111.97,103.97,108.03,68044,
2021-08-12 12:08:00,SHARIN,108.63,112.16,107.49,109.98,61600,
2021-08-13 12:08:00,SHARIN,110.0,113.5,106.67,107.11,87090,
2021-08-16 12:08:00,SHARIN,108.63,111.57,105.99,106.65,122449,
2021-08-17 12:08:00,SHARIN,107.63,108.49,102.49,103.86,68719,
2021-08-18 12:08:00,SHARIN,104.71,108.35,104.05,106.42,36137,
2021-08-20 12:08:00,SHARIN,105.69,107.39,102.98,103.8,22353,
2021-08-23 12:08:00,SHARIN,97.06,106.44,97.06,105.58,87402,
2021-08-24 12:08:00,SHARIN,103.83,107.48,103.83,105.66,30554,
2021-08-25 12:08:00,SHARIN,106.67,107.25,105.02,105.77,36390,
2021-08-26 12:08:00,SHARIN,106.24,106.24,103.94,104.18,16164,
2021-08-27 12:08:00,SHARIN,104.71,105.49,101.79,102.55,23396,
2021-08-30 12:08:00,SHARIN,103.24,104.04,101.59,102.12,18787,
2021-08-31 12:08:00,SHARIN,102.35,110.2,102.35,107.25,44631,
2021-09-01 12:09:00,SHARIN,107.84,107.84,104.71,105.55,11888,
