datetime,stock_code,open,high,low,close,volume,open_interest
2016-12-09 12:12:00,SHEFOA,430.0,516.0,425.05,516.0,4839221,
2016-12-12 12:12:00,SHEFOA,561.0,582.0,477.0,503.53,2806329,
2016-12-13 12:12:00,SHEFOA,494.0,506.5,484.7,499.08,790335,
2016-12-14 12:12:00,SHEFOA,497.0,526.0,473.6,480.83,1912964,
2016-12-15 12:12:00,SHEFOA,469.5,484.98,465.53,479.68,657598,
2016-12-16 12:12:00,SHEFOA,480.0,489.0,476.3,479.68,241941,
2016-12-19 12:12:00,SHEFOA,481.85,481.85,463.35,465.35,193491,
2016-12-20 12:12:00,SHEFOA,465.0,471.5,463.1,465.23,102020,
2016-12-21 12:12:00,SHEFOA,467.5,467.5,461.5,462.83,70668,
2016-12-22 12:12:00,SHEFOA,462.5,478.0,457.48,473.25,190884,
2016-12-23 12:12:00,SHEFOA,478.5,478.5,465.0,470.68,290979,
2016-12-26 12:12:00,SHEFOA,470.45,470.45,456.3,458.0,44257,
2016-12-27 12:12:00,SHEFOA,455.0,469.5,455.0,466.48,42610,
2016-12-28 12:12:00,SHEFOA,467.5,474.0,465.78,467.13,28817,
2016-12-29 12:12:00,SHEFOA,469.88,472.25,462.5,468.2,18725,
2016-12-30 12:12:00,SHEFOA,469.48,475.0,464.95,467.73,23976,
2017-01-02 12:01:00,SHEFOA,465.0,476.43,465.0,474.9,35565,
2017-01-03 12:01:00,SHEFOA,472.5,475.0,470.0,470.63,11622,
2017-01-04 12:01:00,SHEFOA,470.53,474.0,465.75,467.93,8249,
2017-01-05 12:01:00,SHEFOA,470.43,472.5,460.5,464.4,9468,
2017-01-06 12:01:00,SHEFOA,467.45,494.5,467.43,483.0,335531,
2017-01-09 12:01:00,SHEFOA,485.0,485.0,472.5,475.35,130539,
2017-01-10 12:01:00,SHEFOA,474.98,485.0,471.0,483.4,29984,
2017-01-11 12:01:00,SHEFOA,484.43,490.5,476.53,488.53,26325,
2017-01-12 12:01:00,SHEFOA,485.5,499.45,483.0,496.18,26445,
