datetime,stock_code,open,high,low,close,volume,open_interest
2021-06-24 12:06:00,SHIBIM,87.67,88.43,77.07,80.27,123284,
2021-06-25 12:06:00,SHIBIM,82.23,86.53,76.87,82.7,63377,
2021-06-28 12:06:00,SHIBIM,85.13,93.27,83.43,91.17,148434,
2021-06-29 12:06:00,SHIBIM,93.87,93.87,83.7,86.8,134436,
2021-06-30 12:06:00,SHIBIM,82.2,88.83,80.67,81.23,129957,
2021-07-01 12:07:00,SHIBIM,81.33,83.33,76.73,77.5,64773,
2021-07-02 12:07:00,SHIBIM,76.8,83.33,76.73,80.03,53697,
2021-07-05 12:07:00,SHIBIM,79.1,82.9,79.1,81.93,22381,
2021-07-06 12:07:00,SHIBIM,82.6,84.0,79.93,80.7,44688,
2021-07-07 12:07:00,SHIBIM,81.87,83.07,80.0,80.53,25084,
2021-07-08 12:07:00,SHIBIM,80.63,82.2,77.73,79.33,27267,
2021-07-09 12:07:00,SHIBIM,79.97,81.33,78.67,79.87,18413,
2021-07-12 12:07:00,SHIBIM,80.07,82.0,79.33,81.2,20873,
2021-07-13 12:07:00,SHIBIM,81.97,82.0,79.33,79.87,17857,
2021-07-14 12:07:00,SHIBIM,81.67,81.67,79.47,80.47,19046,
2021-07-15 12:07:00,SHIBIM,80.67,81.2,78.8,79.17,9996,
2021-07-16 12:07:00,SHIBIM,79.93,85.67,79.17,85.03,54930,
2021-07-19 12:07:00,SHIBIM,85.27,88.63,83.13,87.77,67102,
2021-07-20 12:07:00,SHIBIM,88.27,88.77,82.8,87.97,62100,
2021-07-22 12:07:00,SHIBIM,93.33,93.33,88.67,89.67,154166,
2021-07-23 12:07:00,SHIBIM,90.67,93.33,88.23,89.47,28675,
2021-07-26 12:07:00,SHIBIM,89.47,89.93,87.3,88.37,45127,
2021-07-27 12:07:00,SHIBIM,90.0,90.0,85.73,86.23,27984,
2021-07-28 12:07:00,SHIBIM,86.5,86.87,82.67,86.17,36382,
2021-07-29 12:07:00,SHIBIM,86.67,89.3,78.4,83.2,56909,
2021-07-30 12:07:00,SHIBIM,85.6,89.33,85.6,88.67,36392,
2021-08-02 12:08:00,SHIBIM,89.5,97.2,88.7,95.63,165707,
2021-08-03 12:08:00,SHIBIM,99.27,107.97,95.7,105.3,434982,
2021-08-04 12:08:00,SHIBIM,109.33,122.6,100.03,119.5,647803,
2021-08-05 12:08:00,SHIBIM,121.67,129.0,112.27,122.77,404566,
2021-08-06 12:08:00,SHIBIM,122.77,126.83,117.33,119.27,86283,
2021-08-09 12:08:00,SHIBIM,122.53,123.33,115.0,115.7,44114,
2021-08-10 12:08:00,SHIBIM,119.0,119.13,104.13,108.7,115241,
2021-08-11 12:08:00,SHIBIM,106.8,113.33,98.67,111.17,145331,
