datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,SHIME,65.33,66.27,63.7,64.02,605,
2010-01-05 12:01:00,SHIME,66.62,66.62,65.67,65.83,3507,
2010-01-06 12:01:00,SHIME,66.17,67.33,66.0,66.07,1538,
2010-01-07 12:01:00,SHIME,63.33,68.32,63.33,68.18,1495,
2010-01-08 12:01:00,SHIME,68.0,71.33,68.0,69.93,3460,
2010-01-11 12:01:00,SHIME,72.53,72.67,67.0,70.83,3679,
2010-01-12 12:01:00,SHIME,73.33,73.33,66.68,67.83,11084,
2010-01-13 12:01:00,SHIME,67.77,74.62,66.67,74.62,878078,
2010-01-14 12:01:00,SHIME,79.5,82.08,77.33,82.08,232837,
2010-01-15 12:01:00,SHIME,83.93,89.83,75.67,85.98,224591,
2010-01-18 12:01:00,SHIME,88.0,89.9,83.03,84.23,78237,
2010-01-19 12:01:00,SHIME,85.32,86.33,81.08,83.03,30856,
2010-01-20 12:01:00,SHIME,83.08,90.27,83.08,85.67,76831,
2010-01-21 12:01:00,SHIME,86.67,89.33,81.73,83.97,80577,
2010-01-22 12:01:00,SHIME,82.67,85.18,81.35,84.83,25309,
2010-01-25 12:01:00,SHIME,87.33,88.33,83.33,84.12,25359,
2010-01-27 12:01:00,SHIME,84.7,85.63,75.72,75.85,58023,
2010-01-28 12:01:00,SHIME,82.65,82.65,76.05,76.87,51359,
2010-01-29 12:01:00,SHIME,78.67,81.57,75.77,80.65,20774,
2010-02-01 12:02:00,SHIME,81.33,81.65,78.42,79.4,10111,
2010-02-02 12:02:00,SHIME,78.73,82.75,77.35,78.08,7405,
2010-02-04 12:02:00,SHIME,76.33,79.67,76.33,77.38,3183,
2010-02-05 12:02:00,SHIME,77.5,78.13,73.33,75.3,18251,
2010-02-06 12:02:00,SHIME,77.3,78.67,75.02,76.85,422,
2010-02-08 12:02:00,SHIME,75.67,77.3,75.07,75.47,5411,
2010-02-09 12:02:00,SHIME,74.73,77.25,74.7,75.87,4177,
2010-02-10 12:02:00,SHIME,75.67,79.3,75.67,77.03,4601,
2010-02-11 12:02:00,SHIME,79.33,79.33,75.73,76.57,8582,
2010-02-15 12:02:00,SHIME,74.6,77.63,74.58,76.25,9885,
2010-02-16 12:02:00,SHIME,74.83,80.0,74.83,78.57,5378,
2010-02-17 12:02:00,SHIME,77.88,86.13,77.88,79.48,11004,
2010-02-18 12:02:00,SHIME,78.42,81.0,78.42,79.8,1949,
2010-02-19 12:02:00,SHIME,78.37,79.35,76.8,77.25,1418,
2010-02-22 12:02:00,SHIME,77.77,80.32,76.12,76.55,5707,
2010-02-23 12:02:00,SHIME,75.1,77.83,75.1,76.87,7544,
2010-02-24 12:02:00,SHIME,77.58,77.58,75.03,75.55,5023,
2010-02-25 12:02:00,SHIME,74.67,77.67,74.67,75.95,2621,
2010-02-26 12:02:00,SHIME,76.0,77.67,75.35,76.32,3008,
2010-03-02 12:03:00,SHIME,76.87,82.23,76.87,81.45,7331,
2010-03-03 12:03:00,SHIME,81.7,85.0,78.83,80.65,11647,
2010-03-04 12:03:00,SHIME,80.98,81.17,78.67,79.95,4003,
2010-03-05 12:03:00,SHIME,81.67,81.67,79.33,79.82,4283,
2010-03-08 12:03:00,SHIME,81.2,81.5,79.33,80.38,7327,
2010-03-09 12:03:00,SHIME,79.83,82.83,79.83,82.4,5401,
2010-03-10 12:03:00,SHIME,82.97,90.67,82.33,88.58,49367,
2010-03-11 12:03:00,SHIME,88.03,94.0,83.75,84.67,35496,
2010-03-12 12:03:00,SHIME,85.43,89.47,83.37,84.22,35057,
2010-03-15 12:03:00,SHIME,80.0,86.63,80.0,84.38,4648,
2010-03-16 12:03:00,SHIME,84.63,86.0,82.33,85.12,6059,
2010-03-17 12:03:00,SHIME,86.65,86.65,85.03,85.43,5893,
2010-03-18 12:03:00,SHIME,84.78,85.83,84.33,85.02,14015,
2010-03-19 12:03:00,SHIME,85.07,86.65,84.5,86.18,5604,
2010-03-22 12:03:00,SHIME,86.33,96.0,84.57,90.98,146646,
