datetime,stock_code,open,high,low,close,volume,open_interest
2016-06-09 12:06:00,SHRPIS,192.5,192.5,192.5,192.5,5,
2016-06-10 12:06:00,SHRPIS,202.13,202.13,202.13,202.13,4,
2016-06-13 12:06:00,SHRPIS,212.23,212.23,212.23,212.23,16,
2016-06-14 12:06:00,SHRPIS,222.83,222.83,222.83,222.83,9,
2016-06-15 12:06:00,SHRPIS,233.95,233.95,233.95,233.95,9,
2016-06-20 12:06:00,SHRPIS,269.63,269.63,269.63,269.63,13,
2016-06-21 12:06:00,SHRPIS,283.1,283.1,283.1,283.1,17,
2016-06-22 12:06:00,SHRPIS,297.25,297.25,297.25,297.25,33,
2016-06-23 12:06:00,SHRPIS,312.1,312.1,312.1,312.1,9,
2016-06-24 12:06:00,SHRPIS,327.7,327.7,327.7,327.7,27,
2016-06-27 12:06:00,SHRPIS,344.08,344.08,344.08,344.08,62,
2016-06-28 12:06:00,SHRPIS,361.28,361.28,361.28,361.28,29,
2016-06-29 12:06:00,SHRPIS,379.33,379.33,379.33,379.33,175,
2016-06-30 12:06:00,SHRPIS,398.28,398.28,398.28,398.28,21,
2016-07-01 12:07:00,SHRPIS,418.18,418.18,418.18,418.18,116,
2016-07-04 12:07:00,SHRPIS,439.08,439.08,439.08,439.08,9,
2016-07-05 12:07:00,SHRPIS,461.03,461.03,461.03,461.03,10,
2016-07-07 12:07:00,SHRPIS,484.08,484.08,484.08,484.08,8,
2016-07-11 12:07:00,SHRPIS,533.68,533.68,533.68,533.68,9,
2016-07-12 12:07:00,SHRPIS,560.35,560.35,560.35,560.35,501,
2016-07-13 12:07:00,SHRPIS,588.35,588.35,533.13,588.35,1213,
2016-07-15 12:07:00,SHRPIS,648.63,648.63,640.0,648.63,799,
2016-07-18 12:07:00,SHRPIS,681.05,681.05,666.03,681.05,589,
2016-07-19 12:07:00,SHRPIS,715.1,715.1,715.1,715.1,537,
2016-07-20 12:07:00,SHRPIS,750.85,750.85,750.85,750.85,739,
2016-07-22 12:07:00,SHRPIS,827.78,827.78,827.78,827.78,1039,
2016-07-25 12:07:00,SHRPIS,869.15,869.15,800.0,869.15,1977,
2016-07-27 12:07:00,SHRPIS,958.1,958.23,958.1,958.23,262,
2016-07-28 12:07:00,SHRPIS,1006.13,1006.13,1006.13,1006.13,102,
2016-07-29 12:07:00,SHRPIS,1056.43,1056.43,1056.43,1056.43,1041,
2016-08-01 12:08:00,SHRPIS,1109.23,1109.23,1109.0,1109.23,2511,
2016-08-02 12:08:00,SHRPIS,1164.68,1164.68,1164.68,1164.68,681,
2016-08-03 12:08:00,SHRPIS,1222.9,1222.9,1222.9,1222.9,740,
2016-08-04 12:08:00,SHRPIS,1284.03,1284.03,1284.03,1284.03,510,
2016-08-05 12:08:00,SHRPIS,1348.23,1348.23,1348.23,1348.23,983,
2016-08-08 12:08:00,SHRPIS,1415.63,1415.63,1415.63,1415.63,1270,
2016-08-09 12:08:00,SHRPIS,1486.4,1486.4,1344.85,1344.85,2421,
2016-08-10 12:08:00,SHRPIS,1277.63,1277.63,1277.63,1277.63,101,
2016-08-11 12:08:00,SHRPIS,1213.75,1213.75,1213.75,1213.75,5,
2016-08-12 12:08:00,SHRPIS,1153.08,1153.08,1153.08,1153.08,250,
2016-08-16 12:08:00,SHRPIS,1095.43,1095.43,1095.43,1095.43,44,
2016-08-17 12:08:00,SHRPIS,1040.68,1040.68,1040.68,1040.68,24,
2016-08-18 12:08:00,SHRPIS,988.65,988.65,988.65,988.65,57,
2016-08-19 12:08:00,SHRPIS,939.23,1038.0,939.23,939.23,2071,
2016-08-22 12:08:00,SHRPIS,986.0,986.0,892.28,892.28,194,
