datetime,stock_code,open,high,low,close,volume,open_interest
2019-12-26 12:12:00,SOMHOM,176.78,176.78,169.44,169.44,16803,
2019-12-27 12:12:00,SOMHOM,162.48,162.48,162.48,162.48,149,
2019-12-30 12:12:00,SOMHOM,155.87,161.14,155.87,155.87,44795,
2019-12-31 12:12:00,SOMHOM,149.6,156.91,149.6,152.63,438334,
2020-01-01 12:01:00,SOMHOM,148.26,152.58,146.49,146.49,73981,
2020-01-02 12:01:00,SOMHOM,141.17,152.28,141.17,152.28,52668,
2020-01-03 12:01:00,SOMHOM,155.18,158.37,152.58,158.37,35430,
2020-01-06 12:01:00,SOMHOM,161.23,164.77,155.22,162.7,62900,
2020-01-07 12:01:00,SOMHOM,167.28,169.01,156.65,167.06,44719,
2020-01-08 12:01:00,SOMHOM,164.25,173.89,161.4,169.61,29670,
2020-01-09 12:01:00,SOMHOM,176.87,184.39,175.06,181.62,73801,
2020-01-10 12:01:00,SOMHOM,181.62,194.94,181.62,192.51,87613,
2020-01-13 12:01:00,SOMHOM,189.75,200.81,185.43,186.08,39773,
2020-01-14 12:01:00,SOMHOM,185.95,186.25,176.87,179.81,36384,
2020-01-15 12:01:00,SOMHOM,177.0,185.34,171.6,179.03,36730,
2020-01-16 12:01:00,SOMHOM,176.18,188.02,176.18,184.3,26071,
2020-01-17 12:01:00,SOMHOM,184.56,184.56,177.65,179.33,42447,
2020-01-20 12:01:00,SOMHOM,176.01,181.88,174.62,177.26,12950,
2020-01-21 12:01:00,SOMHOM,177.22,180.24,172.46,178.3,38369,
2020-01-22 12:01:00,SOMHOM,180.24,180.24,174.19,176.48,31681,
2020-01-23 12:01:00,SOMHOM,179.38,179.38,172.64,174.84,54795,
2020-01-24 12:01:00,SOMHOM,172.55,177.22,172.55,175.57,26477,
2020-01-27 12:01:00,SOMHOM,172.98,175.19,171.64,173.67,9898,
2020-01-28 12:01:00,SOMHOM,176.74,176.74,165.55,169.83,32500,
2020-01-29 12:01:00,SOMHOM,168.18,173.33,165.29,170.6,32096,
2020-01-30 12:01:00,SOMHOM,174.45,174.49,164.21,169.39,25302,
2020-01-31 12:01:00,SOMHOM,171.69,171.69,164.68,166.8,41657,
2020-02-01 12:02:00,SOMHOM,164.08,165.85,140.66,155.39,45003,
2020-02-03 12:02:00,SOMHOM,152.63,162.83,150.86,155.26,63280,
2020-02-04 12:02:00,SOMHOM,157.68,170.3,156.43,166.33,62921,
2020-02-05 12:02:00,SOMHOM,163.0,167.97,158.63,162.7,27179,
2020-02-06 12:02:00,SOMHOM,163.26,165.55,158.63,163.34,18702,
2020-02-07 12:02:00,SOMHOM,166.37,166.37,157.6,159.5,52849,
2020-02-10 12:02:00,SOMHOM,161.96,171.51,158.63,166.37,36107,
2020-02-11 12:02:00,SOMHOM,172.33,172.33,162.96,166.41,31967,
2020-02-12 12:02:00,SOMHOM,168.1,171.38,158.63,161.23,39431,
2020-02-13 12:02:00,SOMHOM,164.17,167.19,153.88,162.74,63961,
2020-02-14 12:02:00,SOMHOM,162.13,165.98,159.5,162.09,95727,
2020-02-17 12:02:00,SOMHOM,160.41,162.18,156.21,159.24,45889,
2020-02-18 12:02:00,SOMHOM,158.59,159.07,149.99,153.75,45097,
2020-02-19 12:02:00,SOMHOM,156.04,156.08,148.65,151.63,28758,
2020-02-20 12:02:00,SOMHOM,150.86,152.89,148.13,150.77,22516,
2020-02-24 12:02:00,SOMHOM,150.03,152.58,145.76,150.9,22568,
2020-02-25 12:02:00,SOMHOM,149.26,150.86,147.4,149.21,15058,
2020-02-26 12:02:00,SOMHOM,149.86,149.86,145.63,147.83,26992,
2020-02-27 12:02:00,SOMHOM,146.97,150.86,143.94,147.53,29085,
2020-02-28 12:02:00,SOMHOM,143.94,148.48,141.35,144.68,24039,
2020-03-02 12:03:00,SOMHOM,144.68,147.48,141.56,142.82,69024,
2020-03-03 12:03:00,SOMHOM,142.82,143.94,135.3,140.27,126846,
2020-03-04 12:03:00,SOMHOM,140.22,140.22,133.57,135.21,73662,
2020-03-05 12:03:00,SOMHOM,136.16,136.16,131.02,134.0,28556,
2020-03-06 12:03:00,SOMHOM,133.57,133.57,128.47,132.36,21426,
2020-03-09 12:03:00,SOMHOM,129.29,129.29,113.95,124.02,64333,
2020-03-11 12:03:00,SOMHOM,123.15,123.24,118.88,119.83,28587,
2020-03-12 12:03:00,SOMHOM,106.13,116.24,105.91,112.35,168586,
2020-03-13 12:03:00,SOMHOM,108.5,111.44,96.84,108.03,304043,
2020-03-16 12:03:00,SOMHOM,101.59,103.32,95.54,100.51,37312,
2020-03-17 12:03:00,SOMHOM,94.8,107.64,94.8,101.85,47698,
2020-03-18 12:03:00,SOMHOM,101.59,102.28,95.54,96.1,30527,
2020-03-19 12:03:00,SOMHOM,95.54,95.54,89.49,91.26,77478,
2020-03-20 12:03:00,SOMHOM,88.62,95.54,85.12,93.25,188974,
2020-03-23 12:03:00,SOMHOM,88.58,88.58,86.94,86.94,2354,
2020-03-24 12:03:00,SOMHOM,81.75,84.99,81.24,81.24,223291,
2020-03-25 12:03:00,SOMHOM,76.14,86.33,76.14,85.43,126764,
2020-03-26 12:03:00,SOMHOM,90.96,90.96,81.28,90.09,158023,
2020-03-27 12:03:00,SOMHOM,90.96,96.1,90.35,92.86,29004,
2020-03-30 12:03:00,SOMHOM,95.37,95.37,86.59,87.54,36247,
2020-03-31 12:03:00,SOMHOM,89.45,89.49,83.7,88.58,67469,
2020-04-01 12:04:00,SOMHOM,86.16,88.5,82.75,82.75,104788,
2020-04-03 12:04:00,SOMHOM,82.32,82.32,77.48,78.86,127222,
2020-04-07 12:04:00,SOMHOM,83.35,83.74,77.82,83.74,42071,
2020-04-08 12:04:00,SOMHOM,87.24,89.1,79.68,89.1,19037,
2020-04-09 12:04:00,SOMHOM,93.72,95.02,88.8,95.02,34944,
2020-04-13 12:04:00,SOMHOM,93.81,99.04,92.43,97.83,28362,
2020-04-15 12:04:00,SOMHOM,97.27,100.73,94.68,96.58,48775,
2020-04-16 12:04:00,SOMHOM,99.82,99.82,94.76,98.74,16516,
2020-04-17 12:04:00,SOMHOM,99.82,102.15,95.63,99.3,37086,
2020-04-20 12:04:00,SOMHOM,99.0,102.76,96.84,102.41,50453,
2020-04-21 12:04:00,SOMHOM,101.59,101.59,98.82,98.82,26634,
2020-04-22 12:04:00,SOMHOM,96.4,98.91,95.41,97.44,26325,
2020-04-23 12:04:00,SOMHOM,97.44,99.0,96.4,97.22,21341,
2020-04-24 12:04:00,SOMHOM,94.68,96.01,93.9,93.98,9768,
2020-04-27 12:04:00,SOMHOM,92.95,95.54,91.48,93.25,15550,
2020-04-28 12:04:00,SOMHOM,90.18,94.68,90.18,92.95,16523,
2020-04-29 12:04:00,SOMHOM,93.81,93.81,91.22,92.95,16368,
2020-04-30 12:04:00,SOMHOM,92.95,95.58,92.21,94.42,26560,
2020-05-04 12:05:00,SOMHOM,91.3,94.68,91.22,92.3,14767,
2020-05-05 12:05:00,SOMHOM,94.16,94.16,89.32,89.83,23222,
2020-05-06 12:05:00,SOMHOM,89.49,89.49,86.98,87.63,21697,
2020-05-07 12:05:00,SOMHOM,89.27,89.49,85.25,86.38,11907,
2020-05-08 12:05:00,SOMHOM,88.84,88.84,87.11,87.46,9862,
2020-05-11 12:05:00,SOMHOM,89.19,90.31,84.69,85.04,15428,
2020-05-12 12:05:00,SOMHOM,87.72,87.72,82.88,85.6,10821,
2020-05-13 12:05:00,SOMHOM,86.9,88.37,86.03,88.37,15156,
2020-05-14 12:05:00,SOMHOM,89.49,90.96,86.51,86.98,11553,
2020-05-15 12:05:00,SOMHOM,89.36,89.4,86.08,89.01,11740,
2020-05-18 12:05:00,SOMHOM,89.49,89.49,86.25,87.29,8786,
2020-05-19 12:05:00,SOMHOM,88.11,88.11,86.16,87.29,12105,
2020-05-20 12:05:00,SOMHOM,88.62,89.92,86.38,89.45,13310,
2020-05-21 12:05:00,SOMHOM,92.08,92.08,87.8,89.14,12512,
2020-05-22 12:05:00,SOMHOM,89.23,91.17,86.2,86.51,15727,
2020-05-26 12:05:00,SOMHOM,84.43,86.98,84.43,86.25,33266,
2020-05-27 12:05:00,SOMHOM,87.59,87.59,84.78,85.64,41936,
2020-05-28 12:05:00,SOMHOM,87.54,88.41,86.29,86.85,59121,
2020-05-29 12:05:00,SOMHOM,86.9,87.8,86.85,87.29,51709,
2020-06-01 12:06:00,SOMHOM,88.62,90.14,87.8,90.09,206070,
2020-06-02 12:06:00,SOMHOM,90.01,93.08,90.01,93.08,163590,
2020-06-03 12:06:00,SOMHOM,96.23,96.23,94.68,96.06,194991,
2020-06-04 12:06:00,SOMHOM,99.0,99.0,94.68,95.63,158676,
2020-06-05 12:06:00,SOMHOM,94.16,102.19,93.21,102.19,35301,
2020-06-08 12:06:00,SOMHOM,109.37,109.41,98.13,108.33,162970,
2020-06-09 12:06:00,SOMHOM,114.55,114.55,104.48,109.76,88207,
2020-06-10 12:06:00,SOMHOM,109.89,112.0,104.23,106.91,73598,
2020-06-11 12:06:00,SOMHOM,105.05,105.91,99.34,103.06,45747,
2020-06-12 12:06:00,SOMHOM,100.55,105.95,97.66,104.53,46383,
2020-06-15 12:06:00,SOMHOM,103.32,106.78,101.81,105.48,38280,
2020-06-16 12:06:00,SOMHOM,111.01,111.01,104.18,104.79,13485,
2020-06-17 12:06:00,SOMHOM,104.7,107.29,103.75,105.18,35132,
2020-06-18 12:06:00,SOMHOM,103.45,112.7,103.45,112.7,58840,
2020-06-19 12:06:00,SOMHOM,115.42,120.6,109.63,112.44,35551,
2020-06-22 12:06:00,SOMHOM,112.44,120.6,108.85,111.7,59267,
2020-06-23 12:06:00,SOMHOM,116.28,116.28,110.45,111.53,102559,
2020-06-24 12:06:00,SOMHOM,111.1,111.96,106.17,108.16,183032,
2020-06-25 12:06:00,SOMHOM,105.91,107.99,103.32,103.88,35539,
2020-06-26 12:06:00,SOMHOM,104.31,104.96,100.98,102.63,28232,
2020-06-29 12:06:00,SOMHOM,103.06,103.06,97.48,99.43,26259,
2020-06-30 12:06:00,SOMHOM,101.46,101.46,97.18,97.35,26183,
2020-07-01 12:07:00,SOMHOM,100.47,100.47,97.27,97.48,21670,
2020-07-02 12:07:00,SOMHOM,100.64,100.64,96.71,98.74,29022,
2020-07-03 12:07:00,SOMHOM,98.74,101.24,98.13,100.21,25665,
2020-07-06 12:07:00,SOMHOM,98.13,104.05,98.13,100.94,45473,
2020-07-07 12:07:00,SOMHOM,101.42,102.58,98.65,98.95,34318,
2020-07-08 12:07:00,SOMHOM,100.73,101.5,97.7,98.09,31724,
2020-07-09 12:07:00,SOMHOM,99.0,99.0,97.01,97.14,81608,
2020-07-10 12:07:00,SOMHOM,100.64,100.64,96.06,96.32,28053,
2020-07-13 12:07:00,SOMHOM,96.32,97.96,95.89,96.4,97645,
2020-07-14 12:07:00,SOMHOM,97.22,97.22,95.58,96.4,144466,
2020-07-15 12:07:00,SOMHOM,96.4,96.88,95.28,96.23,29602,
2020-07-16 12:07:00,SOMHOM,93.68,96.45,93.68,96.23,24344,
2020-07-17 12:07:00,SOMHOM,95.19,95.58,93.98,94.46,48121,
2020-07-20 12:07:00,SOMHOM,93.21,100.47,90.74,98.31,204919,
2020-07-21 12:07:00,SOMHOM,100.6,100.73,95.84,98.39,31162,
2020-07-22 12:07:00,SOMHOM,95.58,99.17,95.58,98.09,82969,
2020-07-23 12:07:00,SOMHOM,97.74,97.87,94.29,94.63,49223,
2020-07-24 12:07:00,SOMHOM,94.72,96.53,92.34,95.84,139467,
2020-07-27 12:07:00,SOMHOM,97.87,97.87,93.34,94.37,30680,
2020-07-28 12:07:00,SOMHOM,93.85,100.73,88.71,94.07,136385,
2020-07-29 12:07:00,SOMHOM,96.36,96.4,92.08,92.95,78262,
2020-07-30 12:07:00,SOMHOM,92.64,99.0,91.22,95.06,113755,
2020-07-31 12:07:00,SOMHOM,95.54,98.56,92.04,94.16,229060,
2020-08-03 12:08:00,SOMHOM,93.77,93.81,90.35,92.6,244035,
2020-08-04 12:08:00,SOMHOM,90.79,95.45,90.35,92.77,144605,
2020-08-05 12:08:00,SOMHOM,92.64,94.07,91.3,92.08,24703,
2020-08-06 12:08:00,SOMHOM,92.13,93.38,91.35,92.82,66038,
2020-08-07 12:08:00,SOMHOM,92.95,93.81,92.21,92.86,68864,
2020-08-10 12:08:00,SOMHOM,94.46,94.46,89.79,91.69,148098,
2020-08-11 12:08:00,SOMHOM,93.77,93.77,91.56,92.82,43356,
2020-08-12 12:08:00,SOMHOM,92.9,93.55,91.65,92.38,26366,
2020-08-13 12:08:00,SOMHOM,93.51,101.59,91.74,98.35,424602,
2020-08-14 12:08:00,SOMHOM,100.73,101.46,94.07,96.75,104197,
2020-08-17 12:08:00,SOMHOM,97.48,99.82,96.79,98.56,58050,
2020-08-18 12:08:00,SOMHOM,99.86,102.45,97.27,98.61,85119,
2020-08-19 12:08:00,SOMHOM,98.69,101.16,98.13,100.25,243470,
2020-08-20 12:08:00,SOMHOM,100.73,105.82,98.61,99.13,310452,
2020-08-21 12:08:00,SOMHOM,100.29,107.64,98.74,105.95,976716,
2020-08-24 12:08:00,SOMHOM,109.71,113.17,104.66,106.26,1360021,
2020-08-25 12:08:00,SOMHOM,106.91,108.68,103.32,105.78,276760,
2020-08-26 12:08:00,SOMHOM,105.35,110.28,104.48,108.94,384177,
2020-08-27 12:08:00,SOMHOM,110.23,113.26,108.81,109.93,420945,
2020-08-28 12:08:00,SOMHOM,109.93,111.53,105.05,109.02,432145,
2020-08-31 12:08:00,SOMHOM,110.92,110.92,100.77,104.87,261251,
2020-09-01 12:09:00,SOMHOM,106.43,106.47,102.71,105.91,67439,
2020-09-02 12:09:00,SOMHOM,106.78,107.51,103.92,105.22,53503,
2020-09-03 12:09:00,SOMHOM,105.78,106.26,104.18,105.05,114550,
2020-09-04 12:09:00,SOMHOM,102.02,105.65,102.02,102.76,65182,
2020-09-07 12:09:00,SOMHOM,102.89,105.48,102.63,104.74,43648,
2020-09-08 12:09:00,SOMHOM,105.82,105.82,100.47,101.03,75380,
2020-09-09 12:09:00,SOMHOM,100.73,101.16,96.66,98.78,176380,
2020-09-10 12:09:00,SOMHOM,99.04,100.9,98.31,99.52,66104,
2020-09-11 12:09:00,SOMHOM,99.69,100.6,98.13,98.82,40398,
2020-09-14 12:09:00,SOMHOM,101.59,103.32,98.91,100.81,310628,
2020-09-15 12:09:00,SOMHOM,101.16,103.15,100.85,101.76,170332,
2020-09-16 12:09:00,SOMHOM,102.67,106.13,101.29,104.66,288681,
2020-09-17 12:09:00,SOMHOM,105.05,110.23,102.63,104.74,419831,
2020-09-18 12:09:00,SOMHOM,105.87,108.07,104.96,106.26,154587,
2020-09-21 12:09:00,SOMHOM,105.91,106.52,102.02,103.62,117310,
2020-09-22 12:09:00,SOMHOM,103.62,105.05,99.47,102.32,139322,
2020-09-23 12:09:00,SOMHOM,105.39,105.39,101.68,103.23,57788,
