datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,SOUBAN,12.44,12.67,12.36,12.44,540113,
2010-01-05 12:01:00,SOUBAN,12.56,12.64,12.3,12.37,207966,
2010-01-06 12:01:00,SOUBAN,12.44,12.56,12.18,12.24,208303,
2010-01-07 12:01:00,SOUBAN,12.36,12.36,12.0,12.08,265416,
2010-01-08 12:01:00,SOUBAN,12.21,12.25,11.94,12.1,238745,
2010-01-11 12:01:00,SOUBAN,12.2,12.34,12.12,12.2,292584,
2010-01-12 12:01:00,SOUBAN,12.26,12.26,12.0,12.11,181098,
2010-01-13 12:01:00,SOUBAN,12.2,12.28,12.08,12.19,240835,
2010-01-14 12:01:00,SOUBAN,12.3,12.44,12.05,12.11,810359,
2010-01-15 12:01:00,SOUBAN,12.19,12.4,11.93,12.03,432997,
2010-01-18 12:01:00,SOUBAN,12.03,12.28,12.02,12.16,318991,
2010-01-19 12:01:00,SOUBAN,12.2,12.28,12.04,12.14,487498,
2010-01-20 12:01:00,SOUBAN,12.43,14.02,12.08,12.43,565343,
2010-01-21 12:01:00,SOUBAN,12.43,12.52,12.09,12.15,265194,
2010-01-22 12:01:00,SOUBAN,11.65,12.0,10.84,11.92,156916,
2010-01-25 12:01:00,SOUBAN,12.11,12.68,11.63,11.68,158222,
2010-01-27 12:01:00,SOUBAN,11.72,11.9,11.05,11.2,141769,
2010-01-28 12:01:00,SOUBAN,11.39,11.47,11.06,11.2,128828,
2010-01-29 12:01:00,SOUBAN,11.2,11.6,10.89,11.48,162615,
2010-02-01 12:02:00,SOUBAN,11.4,11.76,11.36,11.67,635632,
2010-02-02 12:02:00,SOUBAN,11.73,11.88,11.42,11.48,127642,
2010-02-04 12:02:00,SOUBAN,11.56,11.62,11.26,11.36,49428,
2010-02-05 12:02:00,SOUBAN,11.36,11.36,10.91,11.13,216017,
2010-02-06 12:02:00,SOUBAN,11.32,11.32,11.1,11.15,16312,
2010-02-08 12:02:00,SOUBAN,11.09,11.6,11.04,11.43,107493,
2010-02-09 12:02:00,SOUBAN,11.44,11.55,11.36,11.43,62122,
2010-02-10 12:02:00,SOUBAN,11.54,11.76,11.4,11.64,1305625,
2010-02-11 12:02:00,SOUBAN,11.8,11.88,11.5,11.62,81089,
2010-02-15 12:02:00,SOUBAN,11.52,11.72,11.41,11.48,65131,
2010-02-16 12:02:00,SOUBAN,11.56,11.67,11.4,11.64,85144,
2010-02-17 12:02:00,SOUBAN,11.71,11.96,11.71,11.89,295932,
2010-02-18 12:02:00,SOUBAN,12.0,12.04,11.8,11.86,93381,
2010-02-19 12:02:00,SOUBAN,11.69,11.86,11.64,11.65,871087,
2010-02-22 12:02:00,SOUBAN,11.66,11.8,11.59,11.64,389441,
2010-02-23 12:02:00,SOUBAN,11.68,11.7,11.52,11.64,49267,
2010-02-24 12:02:00,SOUBAN,11.64,11.72,11.5,11.61,39966,
2010-02-25 12:02:00,SOUBAN,11.6,11.75,11.54,11.62,44499,
2010-02-26 12:02:00,SOUBAN,11.64,12.18,11.56,12.02,190413,
2010-03-02 12:03:00,SOUBAN,12.11,12.34,12.08,12.12,84133,
2010-03-03 12:03:00,SOUBAN,12.25,12.3,12.05,12.19,109426,
2010-03-04 12:03:00,SOUBAN,12.36,12.48,12.19,12.33,323981,
2010-03-05 12:03:00,SOUBAN,12.44,12.51,12.26,12.36,117765,
2010-03-08 12:03:00,SOUBAN,12.52,12.64,12.36,12.4,171776,
2010-03-09 12:03:00,SOUBAN,12.5,12.56,12.26,12.31,115370,
