datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,SRF,41.7,42.74,40.96,42.4,505229,
2010-01-05 12:01:00,SRF,42.78,44.39,42.61,42.9,1036392,
2010-01-06 12:01:00,SRF,43.0,43.98,42.44,42.74,395416,
2010-01-07 12:01:00,SRF,42.96,43.58,42.32,42.56,385001,
2010-01-08 12:01:00,SRF,42.76,43.5,42.5,42.67,325293,
2010-01-11 12:01:00,SRF,43.2,43.54,42.7,42.81,389435,
2010-01-12 12:01:00,SRF,43.0,43.16,41.02,41.4,237417,
2010-01-13 12:01:00,SRF,41.4,42.36,40.67,41.37,284274,
2010-01-14 12:01:00,SRF,42.1,42.4,41.45,41.56,155038,
2010-01-15 12:01:00,SRF,41.7,42.16,41.2,41.38,147476,
2010-01-18 12:01:00,SRF,41.3,44.16,41.12,43.54,1296869,
2010-01-19 12:01:00,SRF,43.6,44.99,40.04,40.4,1774327,
2010-01-20 12:01:00,SRF,40.6,41.0,39.24,40.13,726493,
2010-01-21 12:01:00,SRF,39.78,40.68,39.38,40.3,537361,
2010-01-22 12:01:00,SRF,36.23,39.9,36.23,39.0,354175,
2010-01-25 12:01:00,SRF,39.0,40.0,38.4,38.76,243404,
2010-01-27 12:01:00,SRF,38.6,39.16,36.7,37.01,213193,
2010-01-28 12:01:00,SRF,37.2,38.67,37.09,37.66,382146,
2010-01-29 12:01:00,SRF,37.6,39.0,36.31,38.74,315911,
2010-02-01 12:02:00,SRF,38.02,39.33,38.0,38.11,240267,
2010-02-02 12:02:00,SRF,38.55,38.91,37.4,37.72,143824,
2010-02-04 12:02:00,SRF,37.62,38.39,36.91,37.12,140630,
2010-02-05 12:02:00,SRF,36.4,36.99,36.0,36.47,258906,
2010-02-06 12:02:00,SRF,36.44,36.89,36.33,36.75,26140,
2010-02-08 12:02:00,SRF,36.8,37.0,36.3,36.53,81505,
2010-02-09 12:02:00,SRF,36.8,37.5,36.13,36.81,117565,
2010-02-10 12:02:00,SRF,37.1,37.56,36.45,36.7,116078,
2010-02-11 12:02:00,SRF,36.8,37.25,36.61,36.98,55439,
2010-02-15 12:02:00,SRF,36.05,37.14,34.0,36.7,45544,
2010-02-16 12:02:00,SRF,36.71,37.18,36.6,36.85,44606,
2010-02-17 12:02:00,SRF,37.0,37.59,36.81,37.15,126227,
