datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,STESW,9.8,10.39,9.8,10.39,10546,
2010-01-05 12:01:00,STESW,10.5,10.89,10.5,10.71,12871,
2010-01-06 12:01:00,STESW,10.45,11.24,10.33,11.24,25958,
2010-01-07 12:01:00,STESW,11.81,11.81,11.81,11.81,14226,
2010-01-08 12:01:00,STESW,12.5,12.5,10.9,11.33,27043,
2010-01-11 12:01:00,STESW,11.4,11.9,11.21,11.29,7157,
2010-01-12 12:01:00,STESW,11.23,11.8,11.23,11.26,4457,
2010-01-13 12:01:00,STESW,11.25,11.5,10.9,11.38,3922,
2010-01-14 12:01:00,STESW,11.22,11.89,11.22,11.58,7295,
2010-01-15 12:01:00,STESW,11.58,11.89,11.58,11.75,8061,
2010-01-18 12:01:00,STESW,11.68,11.7,11.5,11.56,1601,
2010-01-19 12:01:00,STESW,11.56,11.75,11.56,11.66,1872,
2010-01-20 12:01:00,STESW,11.61,11.61,11.41,11.53,1366,
2010-01-21 12:01:00,STESW,11.25,11.5,11.21,11.26,2554,
2010-01-22 12:01:00,STESW,10.71,11.2,10.7,11.15,3220,
2010-01-25 12:01:00,STESW,11.2,11.4,11.01,11.05,3999,
2010-01-27 12:01:00,STESW,10.5,11.1,10.5,10.9,3043,
2010-01-28 12:01:00,STESW,11.0,11.0,10.9,10.9,251,
2010-01-29 12:01:00,STESW,10.2,10.79,10.17,10.79,1712,
2010-02-01 12:02:00,STESW,10.92,11.45,10.35,10.5,16191,
2010-02-02 12:02:00,STESW,10.53,10.7,10.3,10.41,6333,
2010-02-04 12:02:00,STESW,11.09,11.15,10.5,10.9,657,
2010-02-05 12:02:00,STESW,10.11,10.65,9.9,10.14,6016,
2010-02-06 12:02:00,STESW,10.89,10.89,10.89,10.89,1,
2010-02-08 12:02:00,STESW,10.2,10.88,10.2,10.35,1207,
2010-02-09 12:02:00,STESW,10.35,10.35,10.35,10.35,1,
2010-02-10 12:02:00,STESW,11.2,11.2,10.21,10.31,2709,
2010-02-11 12:02:00,STESW,10.7,10.7,10.3,10.32,785,
2010-02-15 12:02:00,STESW,10.33,10.33,10.33,10.33,325,
2010-02-17 12:02:00,STESW,10.4,10.54,10.23,10.24,1110,
2010-02-18 12:02:00,STESW,10.2,10.5,10.2,10.29,1153,
2010-02-19 12:02:00,STESW,10.1,10.4,9.72,9.8,7556,
2010-02-22 12:02:00,STESW,10.29,10.29,9.75,9.92,1467,
2010-02-23 12:02:00,STESW,9.8,10.7,9.77,9.89,54365,
2010-02-24 12:02:00,STESW,9.95,10.03,9.8,9.85,3058,
2010-02-25 12:02:00,STESW,10.2,10.2,9.71,9.93,2892,
2010-02-26 12:02:00,STESW,9.8,10.05,9.8,9.98,1340,
2010-03-02 12:03:00,STESW,10.1,10.78,9.85,10.45,6118,
2010-03-03 12:03:00,STESW,10.51,10.95,10.22,10.34,4891,
2010-03-04 12:03:00,STESW,10.23,10.7,10.23,10.42,2061,
2010-03-05 12:03:00,STESW,9.7,10.65,9.7,10.58,1599,
2010-03-08 12:03:00,STESW,10.79,10.79,10.61,10.63,1784,
2010-03-09 12:03:00,STESW,10.8,11.8,10.8,11.34,21320,
2010-03-10 12:03:00,STESW,10.4,11.5,10.4,11.2,2094,
2010-03-11 12:03:00,STESW,10.3,11.39,10.3,11.0,624,
2010-03-12 12:03:00,STESW,10.3,11.2,10.3,10.74,1510,
2010-03-15 12:03:00,STESW,12.8,12.8,10.3,10.49,1177,
2010-03-16 12:03:00,STESW,11.08,11.08,10.41,10.6,1371,
2010-03-17 12:03:00,STESW,10.36,11.78,10.36,11.13,112494,
2010-03-18 12:03:00,STESW,11.25,11.62,10.91,11.18,23182,
2010-03-19 12:03:00,STESW,11.35,11.35,10.62,10.83,3626,
2010-03-22 12:03:00,STESW,10.75,11.45,10.53,10.98,29686,
2010-03-23 12:03:00,STESW,11.29,11.29,10.75,10.83,4913,
2010-03-25 12:03:00,STESW,11.15,11.15,10.9,11.0,2205,
2010-03-26 12:03:00,STESW,11.1,12.0,10.9,11.38,53999,
2010-03-29 12:03:00,STESW,11.76,11.76,11.2,11.41,3523,
2010-03-30 12:03:00,STESW,11.55,12.44,11.52,11.98,20985,
2010-03-31 12:03:00,STESW,12.1,12.59,11.74,11.83,6256,
2010-04-01 12:04:00,STESW,11.58,12.8,11.58,12.63,20308,
