datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,SUDCHE,34.9,35.0,34.8,34.91,815,
2010-01-05 12:01:00,SUDCHE,34.4,34.9,34.3,34.53,844,
2010-01-06 12:01:00,SUDCHE,34.5,34.5,34.5,34.5,20,
2010-01-07 12:01:00,SUDCHE,34.8,35.79,34.7,34.89,1788,
2010-01-08 12:01:00,SUDCHE,35.2,35.2,34.81,34.81,252,
2010-01-11 12:01:00,SUDCHE,35.2,35.7,34.8,35.7,1699,
2010-01-12 12:01:00,SUDCHE,36.1,36.1,34.6,35.48,323,
2010-01-13 12:01:00,SUDCHE,33.9,35.3,33.9,35.3,138,
2010-01-14 12:01:00,SUDCHE,35.0,35.0,35.0,35.0,348,
2010-01-15 12:01:00,SUDCHE,34.8,35.39,34.8,35.16,225,
2010-01-18 12:01:00,SUDCHE,35.6,36.8,34.8,36.43,2166,
2010-01-19 12:01:00,SUDCHE,35.61,37.5,35.61,36.83,1016,
2010-01-20 12:01:00,SUDCHE,37.0,37.0,36.35,36.56,870,
2010-01-21 12:01:00,SUDCHE,36.2,37.0,35.1,36.72,3107,
2010-01-22 12:01:00,SUDCHE,36.0,37.5,36.0,37.0,673,
2010-01-25 12:01:00,SUDCHE,37.51,37.51,36.0,36.94,980,
2010-01-27 12:01:00,SUDCHE,36.4,36.41,36.0,36.0,490,
2010-01-28 12:01:00,SUDCHE,35.0,35.4,35.0,35.24,922,
2010-01-29 12:01:00,SUDCHE,31.99,36.2,31.99,36.2,2424,
2010-02-01 12:02:00,SUDCHE,36.2,38.5,36.2,38.1,1181,
2010-02-02 12:02:00,SUDCHE,38.81,38.81,37.0,38.24,1826,
2010-02-04 12:02:00,SUDCHE,36.6,37.74,36.2,36.2,427,
2010-02-05 12:02:00,SUDCHE,35.01,36.5,34.5,36.42,10018,
2010-02-06 12:02:00,SUDCHE,36.6,36.6,36.21,36.21,52,
2010-02-08 12:02:00,SUDCHE,36.5,36.5,36.3,36.31,160,
2010-02-09 12:02:00,SUDCHE,36.5,36.6,36.2,36.47,220,
2010-02-10 12:02:00,SUDCHE,36.2,36.71,35.5,36.71,759,
2010-02-11 12:02:00,SUDCHE,36.01,36.02,36.01,36.01,100,
2010-02-15 12:02:00,SUDCHE,36.0,36.1,35.5,35.5,240,
2010-02-16 12:02:00,SUDCHE,36.3,36.5,35.61,36.0,824,
2010-02-17 12:02:00,SUDCHE,36.3,37.0,36.3,36.92,352,
2010-02-18 12:02:00,SUDCHE,36.3,36.3,36.0,36.0,96,
2010-02-19 12:02:00,SUDCHE,36.0,36.0,35.9,35.91,511,
2010-02-22 12:02:00,SUDCHE,36.3,36.3,36.0,36.0,1025,
2010-02-23 12:02:00,SUDCHE,36.01,37.2,36.01,37.2,2419,
2010-02-24 12:02:00,SUDCHE,36.5,37.0,36.35,36.51,1028,
2010-02-25 12:02:00,SUDCHE,36.6,37.0,36.5,36.98,910,
2010-02-26 12:02:00,SUDCHE,39.5,39.5,36.3,36.5,769,
2010-03-02 12:03:00,SUDCHE,37.0,37.0,36.8,36.8,51,
2010-03-03 12:03:00,SUDCHE,36.8,37.1,36.61,37.0,486,
2010-03-04 12:03:00,SUDCHE,37.5,37.6,37.5,37.5,1491,
2010-03-05 12:03:00,SUDCHE,37.5,37.51,37.5,37.5,67,
2010-03-08 12:03:00,SUDCHE,37.79,37.79,37.5,37.7,186,
2010-03-09 12:03:00,SUDCHE,37.7,37.7,36.6,37.7,2224,
2010-03-10 12:03:00,SUDCHE,37.7,37.9,37.1,37.55,2415,
2010-03-11 12:03:00,SUDCHE,36.51,37.66,36.51,37.64,216,
2010-03-12 12:03:00,SUDCHE,37.6,38.0,37.6,37.99,20,
2010-03-15 12:03:00,SUDCHE,37.42,38.14,37.42,38.14,1725,
2010-03-16 12:03:00,SUDCHE,37.5,38.3,37.5,38.16,131,
2010-03-17 12:03:00,SUDCHE,37.8,37.8,37.4,37.8,150,
2010-03-18 12:03:00,SUDCHE,37.8,38.49,37.4,37.63,851,
2010-03-19 12:03:00,SUDCHE,37.4,37.78,36.8,37.01,505,
2010-03-22 12:03:00,SUDCHE,37.15,37.16,36.0,36.4,169,
2010-03-23 12:03:00,SUDCHE,37.3,38.29,37.0,38.04,536,
2010-03-25 12:03:00,SUDCHE,38.2,38.2,37.9,38.03,774,
2010-03-26 12:03:00,SUDCHE,38.1,38.1,38.0,38.0,799,
2010-03-29 12:03:00,SUDCHE,37.61,38.5,37.61,38.3,620,
2010-03-30 12:03:00,SUDCHE,38.4,39.0,37.6,38.97,683,
2010-03-31 12:03:00,SUDCHE,38.3,39.25,38.0,39.25,622,
2010-04-01 12:04:00,SUDCHE,39.19,39.5,38.1,39.01,672,
2010-04-05 12:04:00,SUDCHE,40.0,41.0,39.6,41.0,3797,
2010-04-06 12:04:00,SUDCHE,41.0,42.1,41.0,41.0,7893,
2010-04-07 12:04:00,SUDCHE,41.5,41.9,40.9,41.55,6737,
2010-04-08 12:04:00,SUDCHE,41.9,41.9,41.0,41.0,359,
2010-04-09 12:04:00,SUDCHE,41.9,42.1,41.11,41.4,750,
2010-04-12 12:04:00,SUDCHE,41.0,41.6,41.0,41.0,4059,
2010-04-13 12:04:00,SUDCHE,41.49,41.49,41.49,41.49,20,
2010-04-16 12:04:00,SUDCHE,41.0,43.0,41.0,43.0,984,
