datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,SUNADV,89.69,91.42,89.21,90.22,213119,
2010-01-05 12:01:00,SUNADV,90.84,94.3,90.65,92.23,630074,
2010-01-06 12:01:00,SUNADV,93.53,94.15,91.71,92.43,380640,
2010-01-07 12:01:00,SUNADV,92.67,93.15,91.08,91.42,163126,
2010-01-08 12:01:00,SUNADV,91.42,94.01,91.32,91.76,283463,
2010-01-11 12:01:00,SUNADV,90.65,94.39,90.65,93.29,363171,
2010-01-12 12:01:00,SUNADV,94.49,96.31,92.57,92.76,815109,
2010-01-13 12:01:00,SUNADV,92.71,94.06,91.85,92.81,286774,
2010-01-14 12:01:00,SUNADV,93.43,95.06,92.67,93.19,255165,
2010-01-15 12:01:00,SUNADV,93.82,94.49,92.67,93.34,227250,
2010-01-18 12:01:00,SUNADV,93.53,100.24,92.71,97.51,2840892,
2010-01-19 12:01:00,SUNADV,97.36,97.36,92.76,93.15,570092,
2010-01-20 12:01:00,SUNADV,93.53,96.21,91.28,91.85,835819,
2010-01-21 12:01:00,SUNADV,92.09,93.39,89.5,89.93,426869,
2010-01-22 12:01:00,SUNADV,88.54,90.99,86.82,89.5,265613,
2010-01-25 12:01:00,SUNADV,88.78,90.22,87.78,88.4,152850,
2010-01-27 12:01:00,SUNADV,88.16,90.08,82.65,83.37,339193,
2010-01-28 12:01:00,SUNADV,85.28,86.53,82.46,82.94,221651,
2010-01-29 12:01:00,SUNADV,82.22,85.28,80.49,84.52,216695,
2010-02-01 12:02:00,SUNADV,84.18,87.68,83.22,87.11,260252,
2010-02-02 12:02:00,SUNADV,88.21,90.56,85.67,86.34,256306,
2010-02-04 12:02:00,SUNADV,87.2,88.64,85.43,86.24,211577,
2010-02-05 12:02:00,SUNADV,83.46,84.8,81.59,82.36,202363,
2010-02-06 12:02:00,SUNADV,83.65,86.67,83.22,86.15,133275,
2010-02-08 12:02:00,SUNADV,87.73,88.5,85.43,86.05,391066,
2010-02-09 12:02:00,SUNADV,85.86,87.63,85.48,86.29,178720,
2010-02-10 12:02:00,SUNADV,86.82,90.89,85.67,90.32,888971,
2010-02-11 12:02:00,SUNADV,92.28,93.34,89.93,92.23,678373,
2010-02-15 12:02:00,SUNADV,93.53,94.49,90.75,93.19,520204,
2010-02-16 12:02:00,SUNADV,93.91,96.4,93.34,95.83,1109204,
2010-02-17 12:02:00,SUNADV,97.36,97.75,92.57,94.25,1343974,
2010-02-18 12:02:00,SUNADV,93.53,94.68,92.86,93.96,306290,
2010-02-19 12:02:00,SUNADV,93.24,93.39,91.18,92.67,290863,
2010-02-22 12:02:00,SUNADV,93.91,95.25,89.93,92.67,487868,
2010-02-23 12:02:00,SUNADV,93.05,95.97,92.09,94.82,1000077,
2010-02-24 12:02:00,SUNADV,94.49,97.27,92.95,96.55,911206,
2010-02-25 12:02:00,SUNADV,96.64,97.36,91.13,92.47,521261,
2010-02-26 12:02:00,SUNADV,92.09,93.1,90.46,91.47,515117,
2010-03-02 12:03:00,SUNADV,92.33,94.25,90.7,92.95,1043450,
2010-03-03 12:03:00,SUNADV,93.53,94.87,92.67,94.25,653074,
2010-03-04 12:03:00,SUNADV,94.97,95.25,93.62,93.86,369807,
2010-03-05 12:03:00,SUNADV,94.25,95.25,93.15,93.48,394760,
2010-03-08 12:03:00,SUNADV,94.82,95.21,93.05,94.39,415876,
2010-03-09 12:03:00,SUNADV,94.06,95.16,93.1,94.15,315593,
2010-03-10 12:03:00,SUNADV,93.82,94.87,93.62,94.01,199477,
2010-03-11 12:03:00,SUNADV,93.53,94.15,93.1,93.77,130596,
2010-03-12 12:03:00,SUNADV,93.91,94.39,91.61,92.33,108961,
2010-03-15 12:03:00,SUNADV,91.61,92.43,90.75,91.23,102566,
2010-03-16 12:03:00,SUNADV,90.89,91.61,90.46,90.99,144119,
2010-03-17 12:03:00,SUNADV,91.56,92.67,90.94,91.18,177006,
2010-03-18 12:03:00,SUNADV,91.52,94.78,90.89,93.58,666578,
2010-03-19 12:03:00,SUNADV,93.58,96.31,92.0,95.64,635617,
2010-03-22 12:03:00,SUNADV,95.93,106.95,94.78,100.86,7613448,
2010-03-23 12:03:00,SUNADV,101.82,107.86,101.2,104.03,6949663,
2010-03-25 12:03:00,SUNADV,104.99,110.11,104.6,105.9,4769137,
2010-03-26 12:03:00,SUNADV,106.28,107.33,100.38,101.82,1839861,
2010-03-29 12:03:00,SUNADV,102.88,105.27,100.43,100.91,1217140,
2010-03-30 12:03:00,SUNADV,101.77,103.36,100.77,101.73,808536,
2010-03-31 12:03:00,SUNADV,102.54,107.48,102.54,105.61,3958765,
2010-04-01 12:04:00,SUNADV,106.28,107.67,105.66,106.9,1039290,
2010-04-05 12:04:00,SUNADV,107.53,107.91,104.65,105.85,797729,
2010-04-06 12:04:00,SUNADV,105.51,106.04,96.64,104.17,998541,
2010-04-07 12:04:00,SUNADV,104.55,105.94,102.64,103.26,689249,
2010-04-08 12:04:00,SUNADV,103.6,104.7,102.2,102.88,362225,
2010-04-09 12:04:00,SUNADV,103.45,106.38,103.16,104.31,894117,
2010-04-12 12:04:00,SUNADV,104.89,105.51,102.68,103.36,315129,
2010-04-13 12:04:00,SUNADV,103.88,104.07,102.44,102.68,358987,
2010-04-16 12:04:00,SUNADV,100.29,101.53,98.9,99.76,338184,
2010-04-19 12:04:00,SUNADV,98.61,99.28,96.64,97.99,286831,
2010-04-20 12:04:00,SUNADV,98.75,100.96,97.84,100.1,431489,
2010-04-21 12:04:00,SUNADV,100.91,102.16,99.9,100.24,248460,
2010-04-22 12:04:00,SUNADV,100.53,101.68,98.51,99.38,226348,
2010-04-23 12:04:00,SUNADV,98.61,104.55,98.42,103.98,789654,
2010-04-26 12:04:00,SUNADV,105.03,105.7,100.96,101.58,291169,
2010-04-27 12:04:00,SUNADV,100.81,103.6,100.24,102.73,260550,
2010-04-28 12:04:00,SUNADV,101.29,101.97,99.28,99.57,194748,
2010-04-29 12:04:00,SUNADV,99.76,100.67,98.51,99.38,171187,
2010-04-30 12:04:00,SUNADV,100.0,100.72,98.8,99.19,195639,
2010-05-03 12:05:00,SUNADV,98.42,99.57,97.27,97.51,165477,
2010-05-04 12:05:00,SUNADV,98.18,100.24,97.84,98.56,366491,
2010-05-05 12:05:00,SUNADV,97.36,97.36,95.49,96.45,191602,
2010-05-06 12:05:00,SUNADV,97.27,97.36,94.01,94.68,260746,
2010-05-07 12:05:00,SUNADV,93.53,94.3,90.46,91.9,363426,
2010-05-10 12:05:00,SUNADV,92.57,97.27,92.57,96.74,191749,
2010-05-11 12:05:00,SUNADV,97.36,97.36,93.19,93.72,133647,
2010-05-12 12:05:00,SUNADV,93.53,94.97,92.57,93.15,117793,
2010-05-13 12:05:00,SUNADV,94.01,95.83,93.15,93.67,115220,
2010-05-14 12:05:00,SUNADV,93.05,103.98,93.05,102.16,2064844,
2010-05-17 12:05:00,SUNADV,97.89,100.72,97.89,99.14,359784,
2010-05-18 12:05:00,SUNADV,98.56,105.7,98.42,104.99,2029254,
2010-05-19 12:05:00,SUNADV,102.25,109.54,100.53,101.44,2622025,
2010-05-20 12:05:00,SUNADV,103.12,111.22,103.12,109.54,3585756,
2010-05-24 12:05:00,SUNADV,101.68,101.68,95.35,96.26,1046975,
2010-05-25 12:05:00,SUNADV,93.77,97.94,92.38,92.86,1070168,
2010-05-26 12:05:00,SUNADV,93.91,95.45,91.47,92.95,611749,
2010-05-27 12:05:00,SUNADV,93.05,95.78,92.81,93.82,383778,
2010-05-28 12:05:00,SUNADV,94.97,95.93,94.1,94.58,431873,
2010-05-31 12:05:00,SUNADV,94.58,95.3,93.34,94.3,207004,
2010-06-01 12:06:00,SUNADV,94.1,97.08,92.57,93.29,484778,
2010-06-02 12:06:00,SUNADV,94.39,97.84,92.57,96.02,1002709,
2010-06-03 12:06:00,SUNADV,96.98,97.36,94.2,94.49,317373,
2010-06-04 12:06:00,SUNADV,94.68,95.35,93.62,94.01,220121,
2010-06-07 12:06:00,SUNADV,89.93,93.82,89.93,91.8,345966,
2010-06-08 12:06:00,SUNADV,92.19,94.15,90.75,91.52,313772,
2010-06-09 12:06:00,SUNADV,91.9,93.39,91.04,91.37,339428,
2010-06-10 12:06:00,SUNADV,92.09,92.57,91.18,92.23,179042,
2010-06-11 12:06:00,SUNADV,93.05,94.2,91.76,92.62,291962,
2010-06-14 12:06:00,SUNADV,93.29,93.96,91.61,92.52,246570,
2010-06-15 12:06:00,SUNADV,92.57,94.2,92.57,93.0,196446,
2010-06-16 12:06:00,SUNADV,93.62,95.11,93.1,93.72,403479,
2010-06-17 12:06:00,SUNADV,93.53,96.79,93.53,95.25,593520,
2010-06-18 12:06:00,SUNADV,96.07,96.07,93.0,93.34,156728,
2010-06-21 12:06:00,SUNADV,93.62,94.82,93.58,94.01,138379,
2010-06-22 12:06:00,SUNADV,94.49,95.3,92.67,93.05,288266,
2010-06-23 12:06:00,SUNADV,91.71,93.82,91.71,92.57,248824,
2010-06-24 12:06:00,SUNADV,93.29,93.86,91.66,91.9,284996,
2010-06-25 12:06:00,SUNADV,92.47,95.78,91.61,93.29,920372,
2010-06-28 12:06:00,SUNADV,94.01,99.76,93.86,99.19,1522475,
2010-06-30 12:06:00,SUNADV,95.21,98.8,94.73,97.12,395556,
2010-07-01 12:07:00,SUNADV,96.5,98.18,95.64,96.79,379185,
2010-07-02 12:07:00,SUNADV,99.47,101.05,97.94,99.71,918731,
2010-07-05 12:07:00,SUNADV,98.9,99.71,97.8,98.37,169157,
2010-07-06 12:07:00,SUNADV,99.04,101.87,97.7,100.86,1112002,
2010-07-07 12:07:00,SUNADV,101.49,102.44,98.9,101.01,711329,
2010-07-08 12:07:00,SUNADV,102.92,103.4,100.48,100.77,585820,
2010-07-09 12:07:00,SUNADV,101.2,101.68,99.38,99.71,190748,
2010-07-12 12:07:00,SUNADV,99.76,105.61,99.57,104.99,2287455,
2010-07-13 12:07:00,SUNADV,105.46,107.43,101.77,102.2,780067,
2010-07-14 12:07:00,SUNADV,103.12,103.6,101.39,102.2,545766,
2010-07-15 12:07:00,SUNADV,102.59,104.22,100.86,102.97,875934,
2010-07-16 12:07:00,SUNADV,103.83,104.55,100.48,101.01,475527,
2010-07-19 12:07:00,SUNADV,101.05,104.7,100.29,103.31,947657,
2010-07-20 12:07:00,SUNADV,104.51,104.51,100.34,102.06,514760,
2010-07-21 12:07:00,SUNADV,102.16,103.55,101.44,103.02,440321,
2010-07-22 12:07:00,SUNADV,103.21,105.51,103.07,103.69,770859,
2010-07-23 12:07:00,SUNADV,103.69,104.46,100.34,100.91,352615,
2010-07-26 12:07:00,SUNADV,101.63,103.12,100.1,100.91,419755,
2010-07-27 12:07:00,SUNADV,101.63,101.63,99.28,99.62,186449,
2010-07-29 12:07:00,SUNADV,103.83,105.42,102.64,103.5,925213,
2010-07-30 12:07:00,SUNADV,103.6,105.75,101.97,104.65,781883,
2010-08-02 12:08:00,SUNADV,106.95,108.05,104.84,105.37,2377760,
2010-08-03 12:08:00,SUNADV,107.91,107.91,103.5,104.75,430330,
2010-08-04 12:08:00,SUNADV,104.75,105.22,102.64,104.65,275938,
2010-08-05 12:08:00,SUNADV,104.65,107.33,104.03,104.46,1439222,
2010-08-06 12:08:00,SUNADV,104.17,104.99,103.12,103.31,307824,
2010-08-09 12:08:00,SUNADV,104.07,104.79,102.68,103.69,366525,
2010-08-10 12:08:00,SUNADV,103.16,104.36,102.25,102.49,253268,
2010-08-11 12:08:00,SUNADV,102.35,103.36,101.73,102.78,209544,
2010-08-12 12:08:00,SUNADV,101.97,103.07,101.97,102.4,149300,
2010-08-13 12:08:00,SUNADV,102.25,104.36,101.2,101.53,470502,
2010-08-16 12:08:00,SUNADV,102.16,102.49,99.9,101.15,182909,
2010-08-17 12:08:00,SUNADV,102.64,102.97,100.34,100.72,335090,
2010-08-18 12:08:00,SUNADV,101.15,102.83,100.58,100.96,318763,
2010-08-19 12:08:00,SUNADV,101.2,104.31,101.05,102.88,1998727,
2010-08-20 12:08:00,SUNADV,103.12,104.89,101.29,104.07,758029,
2010-08-23 12:08:00,SUNADV,104.55,106.38,103.88,104.79,952997,
2010-08-24 12:08:00,SUNADV,105.9,107.86,104.55,105.08,891030,
2010-08-25 12:08:00,SUNADV,104.17,105.61,102.4,102.64,252300,
2010-08-26 12:08:00,SUNADV,102.4,103.6,101.53,101.77,180102,
2010-08-30 12:08:00,SUNADV,101.58,101.87,99.09,99.71,175679,
2010-08-31 12:08:00,SUNADV,99.47,99.9,98.42,99.47,163356,
2010-09-01 12:09:00,SUNADV,100.24,100.81,99.57,100.19,112504,
2010-09-02 12:09:00,SUNADV,100.53,101.39,100.29,100.48,106630,
2010-09-03 12:09:00,SUNADV,100.48,101.97,100.05,101.15,189042,
2010-09-06 12:09:00,SUNADV,101.2,101.92,100.38,100.62,104159,
2010-09-07 12:09:00,SUNADV,100.29,102.35,99.76,100.53,112729,
2010-09-08 12:09:00,SUNADV,101.2,102.4,100.48,100.96,187083,
2010-09-09 12:09:00,SUNADV,100.53,101.97,100.24,100.38,138122,
2010-09-13 12:09:00,SUNADV,100.53,101.63,100.1,100.38,102508,
2010-09-14 12:09:00,SUNADV,100.43,100.91,99.33,99.47,107711,
2010-09-15 12:09:00,SUNADV,99.33,101.34,99.33,99.76,228913,
2010-09-16 12:09:00,SUNADV,99.86,100.24,98.37,98.56,206977,
2010-09-17 12:09:00,SUNADV,98.8,99.71,98.32,98.95,125753,
2010-09-20 12:09:00,SUNADV,99.52,103.93,98.95,102.35,1001236,
2010-09-21 12:09:00,SUNADV,102.97,103.98,100.72,100.91,573081,
2010-09-22 12:09:00,SUNADV,101.87,102.01,99.42,99.95,292630,
2010-09-23 12:09:00,SUNADV,100.43,100.43,98.42,98.71,256029,
2010-09-24 12:09:00,SUNADV,98.32,99.71,98.32,98.8,190407,
2010-09-27 12:09:00,SUNADV,99.66,99.76,97.84,98.23,216441,
2010-09-28 12:09:00,SUNADV,98.61,98.8,97.6,97.89,111097,
2010-09-29 12:09:00,SUNADV,98.32,100.91,97.51,97.94,271141,
2010-09-30 12:09:00,SUNADV,97.94,99.86,97.56,98.61,203672,
2010-10-01 12:10:00,SUNADV,99.23,100.72,98.71,99.42,237612,
2010-10-06 12:10:00,SUNADV,100.91,102.54,100.38,101.15,315516,
2010-10-07 12:10:00,SUNADV,100.72,101.68,98.8,99.04,139367,
2010-10-08 12:10:00,SUNADV,99.04,100.14,98.51,98.71,73895,
2010-10-11 12:10:00,SUNADV,99.28,100.0,98.99,99.19,116664,
2010-10-12 12:10:00,SUNADV,98.32,99.76,97.75,98.03,198737,
2010-10-13 12:10:00,SUNADV,98.13,100.91,98.13,99.42,318531,
2010-10-14 12:10:00,SUNADV,101.2,103.88,99.9,100.34,834682,
2010-10-15 12:10:00,SUNADV,100.72,100.72,97.84,98.08,157069,
2010-10-18 12:10:00,SUNADV,98.51,99.19,98.03,98.9,109279,
2010-10-19 12:10:00,SUNADV,99.28,100.72,98.13,98.71,308777,
2010-10-20 12:10:00,SUNADV,97.99,99.86,97.99,99.28,139021,
