datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,SUNRE,292.0,306.93,267.65,274.5,50233,
2010-01-05 12:01:00,SUNRE,275.5,280.0,257.5,258.68,53901,
2010-01-06 12:01:00,SUNRE,261.98,268.0,254.5,260.23,53899,
2010-01-07 12:01:00,SUNRE,261.0,267.0,259.28,261.6,48939,
2010-01-08 12:01:00,SUNRE,264.95,271.38,259.18,263.9,48880,
2010-01-11 12:01:00,SUNRE,265.78,279.0,260.78,264.05,55064,
2010-01-12 12:01:00,SUNRE,265.0,267.4,258.2,259.98,45825,
2010-01-13 12:01:00,SUNRE,264.0,264.0,250.05,258.8,54885,
2010-01-14 12:01:00,SUNRE,264.9,264.9,255.0,255.6,59679,
2010-01-15 12:01:00,SUNRE,257.5,262.5,255.03,256.23,47748,
2010-01-18 12:01:00,SUNRE,257.0,271.7,256.0,267.5,61815,
2010-01-19 12:01:00,SUNRE,271.0,278.0,262.35,262.95,82754,
2010-01-20 12:01:00,SUNRE,269.5,273.4,262.5,264.85,55324,
2010-01-21 12:01:00,SUNRE,264.0,266.45,254.0,255.15,60021,
2010-01-22 12:01:00,SUNRE,255.0,259.0,250.23,255.53,57320,
2010-01-25 12:01:00,SUNRE,255.5,271.5,254.5,265.25,52695,
2010-01-27 12:01:00,SUNRE,269.5,269.5,245.15,254.7,53397,
2010-01-28 12:01:00,SUNRE,260.0,260.98,245.03,247.38,50289,
2010-01-29 12:01:00,SUNRE,246.5,256.23,245.35,252.98,51186,
2010-02-01 12:02:00,SUNRE,255.23,259.4,247.48,249.05,44726,
2010-02-02 12:02:00,SUNRE,250.75,254.43,240.03,242.98,67328,
2010-02-04 12:02:00,SUNRE,241.75,250.0,241.25,245.45,49664,
2010-02-05 12:02:00,SUNRE,242.5,246.18,240.5,241.45,42013,
2010-02-06 12:02:00,SUNRE,243.0,243.2,242.5,243.03,10510,
2010-02-08 12:02:00,SUNRE,242.5,246.43,242.0,243.35,43663,
2010-02-09 12:02:00,SUNRE,244.9,252.5,242.2,243.18,45172,
2010-02-10 12:02:00,SUNRE,242.55,246.25,242.0,243.43,41747,
2010-02-11 12:02:00,SUNRE,244.5,246.9,242.6,245.68,49898,
2010-02-15 12:02:00,SUNRE,249.75,252.23,245.0,246.35,51792,
2010-02-16 12:02:00,SUNRE,245.05,282.4,245.05,270.75,179158,
2010-02-17 12:02:00,SUNRE,270.5,273.0,267.7,271.48,62243,
2010-02-18 12:02:00,SUNRE,267.5,277.5,257.5,271.38,51282,
2010-02-19 12:02:00,SUNRE,272.5,277.43,270.0,273.85,52762,
