datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,SUPENG,10.5,10.84,10.5,10.84,4539,
2010-01-05 12:01:00,SUPENG,11.1,11.39,10.63,11.39,27027,
2010-01-06 12:01:00,SUPENG,11.5,11.9,11.35,11.8,20113,
2010-01-07 12:01:00,SUPENG,12.1,12.1,11.63,11.74,5234,
2010-01-08 12:01:00,SUPENG,11.8,11.98,11.6,11.89,5729,
2010-01-11 12:01:00,SUPENG,11.9,12.48,11.9,12.36,17099,
2010-01-12 12:01:00,SUPENG,12.5,12.87,11.74,11.88,10343,
2010-01-13 12:01:00,SUPENG,11.91,12.47,11.91,12.12,5571,
2010-01-14 12:01:00,SUPENG,12.05,12.73,12.05,12.73,15415,
2010-01-15 12:01:00,SUPENG,13.3,13.37,12.75,13.21,28393,
2010-01-18 12:01:00,SUPENG,13.87,13.87,13.87,13.87,6115,
2010-01-19 12:01:00,SUPENG,14.56,14.56,14.56,14.56,6663,
2010-01-20 12:01:00,SUPENG,15.29,15.29,14.0,14.29,79452,
2010-01-21 12:01:00,SUPENG,14.5,14.55,13.6,13.77,27275,
2010-01-22 12:01:00,SUPENG,13.6,14.38,13.09,14.23,13421,
2010-01-25 12:01:00,SUPENG,14.48,14.89,13.93,14.16,12426,
2010-01-27 12:01:00,SUPENG,14.5,14.5,13.45,13.5,12103,
2010-01-28 12:01:00,SUPENG,13.5,13.95,13.21,13.57,7560,
2010-01-29 12:01:00,SUPENG,13.3,14.24,12.9,14.08,12102,
2010-02-01 12:02:00,SUPENG,14.7,14.79,14.3,14.79,11232,
2010-02-02 12:02:00,SUPENG,15.53,15.53,15.3,15.51,76948,
2010-02-04 12:02:00,SUPENG,15.9,15.9,15.35,15.46,21360,
2010-02-05 12:02:00,SUPENG,15.3,15.48,14.81,15.37,13238,
2010-02-06 12:02:00,SUPENG,15.57,15.76,15.35,15.68,2359,
2010-02-08 12:02:00,SUPENG,16.1,16.1,15.3,15.37,6753,
2010-02-09 12:02:00,SUPENG,15.3,15.8,15.2,15.49,6113,
