datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,SUPPET,16.5,16.7,15.23,15.9,324681,
2010-01-05 12:01:00,SUPPET,16.5,16.7,15.55,16.53,316947,
2010-01-06 12:01:00,SUPPET,16.55,16.88,16.0,16.08,289437,
2010-01-07 12:01:00,SUPPET,16.08,16.5,15.9,16.43,204409,
2010-01-08 12:01:00,SUPPET,16.5,16.5,15.83,15.93,89963,
2010-01-11 12:01:00,SUPPET,16.2,16.43,15.7,15.8,101498,
2010-01-12 12:01:00,SUPPET,16.0,16.3,15.7,15.8,73362,
2010-01-13 12:01:00,SUPPET,15.55,15.95,15.3,15.8,57417,
2010-01-14 12:01:00,SUPPET,16.08,16.25,15.78,16.1,77802,
2010-01-15 12:01:00,SUPPET,16.0,16.25,15.8,15.93,50683,
2010-01-18 12:01:00,SUPPET,15.65,16.18,15.65,16.03,115403,
2010-01-19 12:01:00,SUPPET,16.25,16.25,15.85,15.9,80893,
2010-01-20 12:01:00,SUPPET,16.18,16.2,15.8,15.93,28736,
2010-01-21 12:01:00,SUPPET,16.2,16.45,15.5,15.58,114327,
2010-01-22 12:01:00,SUPPET,15.5,16.38,14.8,16.25,173817,
2010-01-25 12:01:00,SUPPET,16.5,16.73,15.75,15.9,69368,
2010-01-27 12:01:00,SUPPET,16.45,16.45,15.13,15.33,198000,
2010-01-28 12:01:00,SUPPET,15.93,15.95,15.03,15.23,132533,
2010-01-29 12:01:00,SUPPET,15.0,15.95,14.5,15.58,116151,
2010-02-01 12:02:00,SUPPET,16.28,16.38,15.48,16.38,102684,
2010-02-02 12:02:00,SUPPET,17.2,17.2,16.4,17.2,701651,
2010-02-04 12:02:00,SUPPET,17.25,17.9,16.88,17.03,183430,
2010-02-05 12:02:00,SUPPET,16.5,17.48,16.25,17.13,317644,
2010-02-06 12:02:00,SUPPET,17.35,18.0,17.15,18.0,115108,
2010-02-08 12:02:00,SUPPET,18.4,18.9,18.3,18.9,808843,
2010-02-09 12:02:00,SUPPET,18.88,19.7,18.75,18.98,383558,
2010-02-10 12:02:00,SUPPET,19.13,19.35,18.03,18.5,219676,
2010-02-11 12:02:00,SUPPET,18.68,19.43,18.5,19.43,188473,
2010-02-15 12:02:00,SUPPET,19.5,20.0,18.48,18.48,160174,
2010-02-16 12:02:00,SUPPET,18.55,18.55,18.0,18.13,78200,
2010-02-17 12:02:00,SUPPET,18.4,19.05,17.5,19.05,128598,
2010-02-18 12:02:00,SUPPET,19.95,20.03,19.0,19.35,596596,
2010-02-19 12:02:00,SUPPET,18.55,19.33,18.55,19.03,94321,
2010-02-22 12:02:00,SUPPET,19.5,19.5,18.93,19.0,91223,
2010-02-23 12:02:00,SUPPET,18.1,19.23,18.1,19.03,64960,
2010-02-24 12:02:00,SUPPET,18.98,19.18,18.98,19.08,44478,
2010-02-25 12:02:00,SUPPET,19.08,19.35,19.0,19.03,36807,
2010-02-26 12:02:00,SUPPET,19.03,19.45,19.0,19.08,35593,
2010-03-02 12:03:00,SUPPET,19.45,19.95,19.08,19.28,50501,
2010-03-03 12:03:00,SUPPET,19.5,19.5,19.0,19.13,41038,
2010-03-04 12:03:00,SUPPET,19.05,20.1,19.0,20.1,104305,
2010-03-05 12:03:00,SUPPET,21.13,21.13,20.25,20.33,151784,
2010-03-08 12:03:00,SUPPET,20.63,21.3,20.53,21.15,151831,
2010-03-09 12:03:00,SUPPET,21.05,21.3,20.55,20.75,91950,
2010-03-10 12:03:00,SUPPET,20.55,21.85,20.3,21.08,136943,
2010-03-11 12:03:00,SUPPET,21.1,21.2,20.25,20.53,72227,
2010-03-12 12:03:00,SUPPET,20.5,20.73,20.25,20.25,41947,
2010-03-15 12:03:00,SUPPET,20.25,20.63,19.53,19.58,37494,
2010-03-16 12:03:00,SUPPET,19.05,20.4,19.05,19.68,56977,
2010-03-17 12:03:00,SUPPET,19.08,20.45,19.08,19.73,29825,
2010-03-18 12:03:00,SUPPET,19.5,20.7,19.5,20.05,61353,
2010-03-19 12:03:00,SUPPET,19.1,20.68,19.1,19.68,33593,
2010-03-22 12:03:00,SUPPET,19.1,20.5,19.1,19.78,60456,
2010-03-23 12:03:00,SUPPET,19.6,20.3,19.55,19.63,68306,
2010-03-25 12:03:00,SUPPET,19.55,20.15,19.53,19.58,30904,
2010-03-26 12:03:00,SUPPET,19.13,19.88,19.03,19.2,155009,
2010-03-29 12:03:00,SUPPET,19.05,19.48,18.75,19.1,309514,
2010-03-30 12:03:00,SUPPET,19.13,19.6,19.13,19.4,29436,
