datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,SUZENE,74.87,74.87,73.01,73.53,20730202,
2010-01-05 12:01:00,SUZENE,73.94,76.28,73.94,75.63,35407302,
2010-01-06 12:01:00,SUZENE,76.2,76.84,75.11,76.32,29648747,
2010-01-07 12:01:00,SUZENE,76.6,76.6,74.26,75.23,20001071,
2010-01-08 12:01:00,SUZENE,75.35,77.13,75.35,75.83,23576280,
2010-01-11 12:01:00,SUZENE,76.6,77.85,76.16,77.49,27231662,
2010-01-12 12:01:00,SUZENE,77.77,78.02,74.66,75.35,23086377,
2010-01-13 12:01:00,SUZENE,75.11,76.44,73.45,76.08,25450726,
2010-01-14 12:01:00,SUZENE,76.72,76.84,74.46,74.62,17697684,
2010-01-15 12:01:00,SUZENE,75.03,75.51,72.44,72.93,23408868,
2010-01-18 12:01:00,SUZENE,73.65,74.66,72.6,73.78,16488391,
2010-01-19 12:01:00,SUZENE,74.06,74.14,70.99,71.39,16112511,
2010-01-20 12:01:00,SUZENE,72.0,72.36,70.02,70.58,14723355,
2010-01-21 12:01:00,SUZENE,70.1,70.5,67.48,67.84,25131185,
2010-01-22 12:01:00,SUZENE,66.38,66.75,64.04,65.09,30853187,
2010-01-25 12:01:00,SUZENE,65.58,65.58,61.94,62.39,25197594,
2010-01-27 12:01:00,SUZENE,61.54,63.88,59.12,60.08,35182648,
2010-01-28 12:01:00,SUZENE,61.94,62.71,59.76,61.05,29517713,
2010-01-29 12:01:00,SUZENE,60.61,63.8,59.16,63.36,28439965,
2010-02-01 12:02:00,SUZENE,63.56,65.25,62.47,64.41,32099103,
2010-02-02 12:02:00,SUZENE,65.17,65.86,62.02,62.47,30860370,
2010-02-04 12:02:00,SUZENE,63.52,63.52,59.8,60.13,20984377,
2010-02-05 12:02:00,SUZENE,57.98,59.6,56.73,58.63,27442552,
2010-02-06 12:02:00,SUZENE,58.71,60.93,58.71,60.13,3690868,
2010-02-08 12:02:00,SUZENE,60.73,61.94,58.87,61.54,23951216,
2010-02-09 12:02:00,SUZENE,61.46,61.82,60.0,60.53,15169432,
2010-02-10 12:02:00,SUZENE,61.7,62.14,59.44,59.84,17214219,
2010-02-11 12:02:00,SUZENE,60.73,61.05,60.08,60.53,11674558,
