datetime,stock_code,open,high,low,close,volume,open_interest
2012-05-29 12:05:00,SWAENE,72.48,74.8,71.0,71.78,323954,
2012-05-30 12:05:00,SWAENE,71.45,72.23,70.7,70.98,192986,
2012-05-31 12:05:00,SWAENE,70.0,70.85,68.53,70.38,164760,
2012-06-01 12:06:00,SWAENE,70.65,71.88,70.08,71.15,146963,
2012-06-04 12:06:00,SWAENE,70.53,71.5,66.08,68.1,158599,
2012-06-05 12:06:00,SWAENE,68.4,70.88,67.55,67.9,128369,
2012-06-06 12:06:00,SWAENE,68.5,70.1,65.9,67.2,182249,
2012-06-07 12:06:00,SWAENE,68.43,69.9,67.0,67.13,135597,
2012-06-08 12:06:00,SWAENE,67.0,68.45,66.4,66.98,128261,
2012-06-11 12:06:00,SWAENE,64.55,67.45,64.55,66.78,98926,
2012-06-12 12:06:00,SWAENE,64.55,67.2,64.55,66.03,129217,
2012-06-13 12:06:00,SWAENE,67.35,71.98,66.0,66.7,151222,
2012-06-14 12:06:00,SWAENE,66.08,66.83,64.55,65.5,106054,
2012-06-15 12:06:00,SWAENE,66.75,66.78,65.03,65.43,145242,
2012-06-18 12:06:00,SWAENE,64.15,66.7,64.15,64.78,103579,
2012-06-19 12:06:00,SWAENE,64.88,67.48,63.63,64.48,140925,
2012-06-20 12:06:00,SWAENE,65.45,65.45,63.8,64.28,143557,
2012-06-21 12:06:00,SWAENE,65.4,65.4,60.85,63.0,129574,
2012-06-22 12:06:00,SWAENE,63.95,64.93,63.0,64.15,249106,
2012-06-25 12:06:00,SWAENE,64.55,65.25,63.7,64.75,113568,
2012-06-26 12:06:00,SWAENE,64.75,64.75,63.05,63.8,129016,
2012-06-27 12:06:00,SWAENE,64.48,66.35,64.08,65.48,179297,
2012-06-28 12:06:00,SWAENE,64.55,68.4,64.55,66.55,169808,
2012-06-29 12:06:00,SWAENE,66.43,70.25,65.63,70.03,214355,
2012-07-02 12:07:00,SWAENE,70.55,70.95,67.1,70.05,140247,
2012-07-03 12:07:00,SWAENE,71.25,71.45,68.68,70.63,124521,
2012-07-04 12:07:00,SWAENE,69.8,71.2,68.58,69.75,102213,
2012-07-05 12:07:00,SWAENE,70.0,70.95,68.53,70.13,125486,
2012-07-06 12:07:00,SWAENE,71.4,71.98,69.0,70.93,161926,
2012-07-09 12:07:00,SWAENE,70.75,71.05,69.5,69.6,99680,
2012-07-10 12:07:00,SWAENE,69.75,71.35,69.0,69.9,104731,
2012-07-11 12:07:00,SWAENE,70.0,70.75,69.08,69.8,108418,
2012-07-12 12:07:00,SWAENE,68.75,69.95,68.5,69.33,99314,
2012-07-13 12:07:00,SWAENE,70.0,70.48,67.03,67.83,106651,
2012-07-16 12:07:00,SWAENE,70.0,70.0,66.55,69.25,177935,
2012-07-17 12:07:00,SWAENE,70.25,70.35,68.0,68.93,110028,
2012-07-18 12:07:00,SWAENE,68.38,70.0,68.38,69.2,139745,
2012-07-19 12:07:00,SWAENE,69.5,69.85,68.05,68.65,74122,
2012-07-20 12:07:00,SWAENE,69.0,71.45,68.1,70.68,152044,
2012-07-23 12:07:00,SWAENE,70.5,72.23,68.63,71.78,160934,
2012-07-24 12:07:00,SWAENE,71.25,71.78,70.05,70.75,75007,
2012-07-25 12:07:00,SWAENE,70.0,71.35,69.75,70.65,88179,
2012-07-26 12:07:00,SWAENE,70.0,71.1,66.6,68.33,121943,
2012-07-27 12:07:00,SWAENE,69.25,69.75,67.25,69.18,108706,
2012-07-30 12:07:00,SWAENE,69.18,69.7,68.0,68.28,103455,
2012-07-31 12:07:00,SWAENE,68.5,69.7,67.3,67.75,116470,
2012-08-01 12:08:00,SWAENE,68.35,69.55,63.5,69.03,120565,
2012-08-02 12:08:00,SWAENE,69.85,69.85,67.5,68.73,130979,
2012-08-03 12:08:00,SWAENE,69.13,69.25,67.08,68.23,110450,
2012-08-06 12:08:00,SWAENE,67.75,69.75,67.5,68.55,110465,
2012-08-07 12:08:00,SWAENE,68.5,69.35,67.25,68.45,138215,
2012-08-08 12:08:00,SWAENE,68.05,69.45,68.0,68.68,118259,
2012-08-09 12:08:00,SWAENE,68.93,69.1,67.9,68.6,137682,
2012-08-10 12:08:00,SWAENE,68.95,69.45,68.15,68.55,110932,
2012-08-13 12:08:00,SWAENE,68.03,69.43,67.33,68.18,107008,
2012-08-14 12:08:00,SWAENE,68.63,68.93,67.25,68.1,118284,
2012-08-16 12:08:00,SWAENE,67.98,68.25,66.6,67.25,119324,
2012-08-17 12:08:00,SWAENE,66.3,67.58,66.0,66.08,136009,
2012-08-21 12:08:00,SWAENE,66.98,67.43,65.0,66.68,134115,
2012-08-22 12:08:00,SWAENE,66.75,67.08,65.18,65.85,120104,
2012-08-23 12:08:00,SWAENE,66.48,66.9,65.05,66.35,130336,
2012-08-24 12:08:00,SWAENE,67.5,67.5,65.25,65.9,155174,
2012-08-27 12:08:00,SWAENE,67.5,67.95,65.25,65.95,136865,
2012-08-28 12:08:00,SWAENE,67.0,67.0,64.13,64.78,111065,
2012-08-29 12:08:00,SWAENE,65.48,65.75,63.95,64.28,117559,
2012-08-30 12:08:00,SWAENE,63.0,65.63,63.0,65.0,126773,
2012-08-31 12:08:00,SWAENE,65.5,66.05,63.78,65.85,154477,
2012-09-03 12:09:00,SWAENE,65.75,66.5,64.7,65.03,117959,
2012-09-04 12:09:00,SWAENE,65.85,65.98,64.1,65.1,128115,
2012-09-05 12:09:00,SWAENE,65.78,66.45,64.1,65.25,124604,
2012-09-06 12:09:00,SWAENE,66.4,66.4,64.33,65.78,134801,
2012-09-07 12:09:00,SWAENE,66.93,68.9,64.8,68.33,154233,
2012-09-08 12:09:00,SWAENE,69.5,71.8,69.05,71.15,54099,
2012-09-10 12:09:00,SWAENE,69.75,72.5,69.75,70.33,123638,
2012-09-11 12:09:00,SWAENE,71.0,71.9,69.6,70.13,156938,
2012-09-12 12:09:00,SWAENE,69.75,71.0,69.55,70.15,148786,
2012-09-13 12:09:00,SWAENE,70.13,71.25,69.15,69.93,110787,
2012-09-14 12:09:00,SWAENE,70.5,71.45,69.13,69.6,107303,
2012-09-17 12:09:00,SWAENE,70.63,70.9,68.7,69.28,118492,
2012-09-18 12:09:00,SWAENE,69.95,70.7,68.5,68.88,162300,
2012-09-20 12:09:00,SWAENE,69.53,70.48,64.98,66.8,147975,
2012-09-21 12:09:00,SWAENE,68.45,69.23,66.83,68.8,147404,
2012-09-24 12:09:00,SWAENE,68.5,69.85,67.0,68.93,118494,
2012-09-25 12:09:00,SWAENE,69.1,69.9,68.08,69.33,153401,
2012-09-26 12:09:00,SWAENE,69.08,69.85,68.1,69.1,156308,
2012-09-27 12:09:00,SWAENE,69.1,69.45,67.78,68.65,153558,
2012-09-28 12:09:00,SWAENE,69.0,69.75,67.5,67.98,150773,
2012-10-01 12:10:00,SWAENE,68.93,69.73,66.53,67.15,102188,
2012-10-03 12:10:00,SWAENE,67.85,67.85,66.0,66.83,188742,
2012-10-05 12:10:00,SWAENE,67.75,68.3,66.0,66.63,148222,
2012-10-08 12:10:00,SWAENE,67.5,68.45,64.05,64.85,176477,
2012-10-09 12:10:00,SWAENE,65.63,66.4,63.35,63.75,133047,
2012-10-10 12:10:00,SWAENE,64.5,65.1,62.55,63.68,174821,
2012-10-11 12:10:00,SWAENE,64.43,65.0,63.0,64.1,169485,
2012-10-12 12:10:00,SWAENE,65.0,66.23,63.05,63.3,144280,
2012-10-15 12:10:00,SWAENE,64.45,64.45,63.0,63.33,99630,
2012-10-16 12:10:00,SWAENE,63.88,65.0,62.9,63.38,105085,
2012-10-17 12:10:00,SWAENE,64.0,66.4,62.78,65.35,125762,
2012-10-18 12:10:00,SWAENE,64.68,69.85,64.5,68.33,148381,
2012-10-19 12:10:00,SWAENE,68.05,70.88,67.5,68.58,159188,
2012-10-22 12:10:00,SWAENE,69.23,69.25,67.5,67.9,109786,
2012-10-23 12:10:00,SWAENE,67.75,71.25,67.35,69.35,131014,
2012-10-25 12:10:00,SWAENE,69.9,69.9,67.05,67.53,141510,
2012-10-26 12:10:00,SWAENE,68.5,68.5,66.1,66.68,142307,
2012-10-29 12:10:00,SWAENE,65.5,70.0,65.5,69.4,189256,
2012-10-30 12:10:00,SWAENE,68.9,69.98,66.5,67.85,173661,
2012-10-31 12:10:00,SWAENE,68.48,69.5,67.65,68.03,162816,
2012-11-01 12:11:00,SWAENE,66.6,69.0,66.45,67.0,253701,
2012-11-02 12:11:00,SWAENE,70.0,70.0,66.1,67.08,216579,
2012-11-05 12:11:00,SWAENE,68.95,68.95,66.23,66.98,223051,
2012-11-06 12:11:00,SWAENE,67.88,68.5,66.7,67.95,223173,
2012-11-07 12:11:00,SWAENE,68.75,69.45,66.3,68.03,125980,
2012-11-08 12:11:00,SWAENE,68.25,69.73,67.5,68.73,141492,
2012-11-09 12:11:00,SWAENE,68.03,69.05,67.83,68.43,174042,
2012-11-12 12:11:00,SWAENE,68.5,68.9,65.95,66.8,252069,
2012-11-13 12:11:00,SWAENE,68.25,68.25,65.3,67.1,52421,
2012-11-15 12:11:00,SWAENE,66.5,67.4,66.0,66.45,152776,
2012-11-16 12:11:00,SWAENE,66.58,67.48,66.0,66.2,211171,
2012-11-19 12:11:00,SWAENE,66.3,67.95,65.13,66.83,174992,
2012-11-20 12:11:00,SWAENE,66.28,67.9,65.88,67.43,197783,
2012-11-21 12:11:00,SWAENE,67.38,68.65,66.18,68.25,204208,
2012-11-22 12:11:00,SWAENE,67.98,68.93,67.5,68.25,133484,
2012-11-23 12:11:00,SWAENE,67.63,68.4,66.13,67.2,127154,
2012-11-26 12:11:00,SWAENE,67.9,68.4,66.5,67.55,169225,
2012-11-27 12:11:00,SWAENE,67.5,68.0,65.8,66.5,132306,
2012-11-29 12:11:00,SWAENE,66.73,66.93,65.48,66.1,136397,
2012-11-30 12:11:00,SWAENE,66.1,66.88,64.83,66.38,134589,
2012-12-03 12:12:00,SWAENE,66.05,67.38,65.5,66.35,113900,
2012-12-04 12:12:00,SWAENE,66.65,66.95,65.05,66.38,117844,
2012-12-05 12:12:00,SWAENE,66.5,66.5,65.25,66.25,108972,
2012-12-06 12:12:00,SWAENE,67.2,67.43,65.5,65.95,130723,
2012-12-07 12:12:00,SWAENE,66.5,66.5,65.28,66.13,127558,
2012-12-10 12:12:00,SWAENE,66.48,67.3,65.28,66.38,116659,
2012-12-11 12:12:00,SWAENE,66.88,67.25,65.63,66.45,122665,
2012-12-12 12:12:00,SWAENE,65.55,67.0,65.55,66.4,112531,
2012-12-13 12:12:00,SWAENE,65.75,66.95,65.5,66.33,106301,
2012-12-14 12:12:00,SWAENE,66.38,67.33,65.83,66.53,118897,
2012-12-17 12:12:00,SWAENE,66.78,67.0,65.88,66.63,108618,
2012-12-18 12:12:00,SWAENE,66.25,67.0,65.93,66.33,112788,
2012-12-19 12:12:00,SWAENE,66.5,66.6,65.5,66.13,111793,
2012-12-20 12:12:00,SWAENE,65.75,66.8,65.65,66.0,126030,
2012-12-21 12:12:00,SWAENE,66.48,66.75,65.63,66.68,119251,
2012-12-24 12:12:00,SWAENE,66.5,67.15,65.9,66.5,116988,
2012-12-26 12:12:00,SWAENE,66.75,67.0,66.08,66.6,132604,
2012-12-27 12:12:00,SWAENE,66.7,68.83,65.88,68.1,122990,
2012-12-28 12:12:00,SWAENE,68.5,68.78,66.53,67.4,103793,
2012-12-31 12:12:00,SWAENE,66.0,67.73,66.0,67.03,121030,
2013-01-01 12:01:00,SWAENE,67.5,67.93,66.25,66.8,99773,
2013-01-02 12:01:00,SWAENE,66.53,67.93,65.9,66.25,121427,
2013-01-03 12:01:00,SWAENE,66.28,66.98,65.13,66.13,109272,
2013-01-04 12:01:00,SWAENE,66.5,66.5,64.9,65.28,115288,
2013-01-07 12:01:00,SWAENE,64.25,65.93,64.25,64.95,124076,
2013-01-08 12:01:00,SWAENE,65.43,66.33,64.6,65.78,106032,
2013-01-09 12:01:00,SWAENE,65.1,66.65,65.0,65.68,108440,
2013-01-10 12:01:00,SWAENE,65.0,67.4,65.0,66.38,127463,
2013-01-11 12:01:00,SWAENE,66.98,67.25,65.4,65.78,106964,
2013-01-14 12:01:00,SWAENE,66.7,66.7,64.13,64.38,197107,
2013-01-15 12:01:00,SWAENE,64.5,64.93,62.15,63.28,326867,
2013-01-16 12:01:00,SWAENE,63.98,64.88,62.45,63.28,307072,
2013-01-17 12:01:00,SWAENE,63.73,63.98,62.95,63.75,214813,
2013-01-18 12:01:00,SWAENE,63.5,63.53,62.5,62.7,99081,
2013-01-21 12:01:00,SWAENE,62.58,63.58,62.25,62.75,108148,
2013-01-22 12:01:00,SWAENE,67.0,67.0,61.98,62.93,93660,
2013-01-23 12:01:00,SWAENE,63.0,65.0,61.38,62.75,107904,
2013-01-24 12:01:00,SWAENE,64.75,68.5,62.3,64.05,125732,
2013-01-25 12:01:00,SWAENE,62.8,65.98,62.75,65.35,101536,
2013-01-28 12:01:00,SWAENE,65.0,66.9,64.1,65.4,112538,
2013-01-29 12:01:00,SWAENE,66.48,66.48,62.5,64.28,120088,
2013-01-30 12:01:00,SWAENE,64.95,64.95,62.78,63.78,104518,
2013-01-31 12:01:00,SWAENE,65.2,65.2,63.0,63.4,98879,
2013-02-01 12:02:00,SWAENE,63.0,64.28,62.25,63.43,108042,
2013-02-04 12:02:00,SWAENE,63.5,65.9,63.08,64.7,119567,
2013-02-05 12:02:00,SWAENE,65.0,67.5,63.5,67.0,116958,
2013-02-06 12:02:00,SWAENE,66.5,69.0,66.03,68.5,156073,
2013-02-07 12:02:00,SWAENE,67.5,69.0,66.3,67.7,128784,
2013-02-08 12:02:00,SWAENE,67.03,68.45,66.58,67.4,97457,
2013-02-11 12:02:00,SWAENE,68.0,68.45,63.38,66.95,97393,
2013-02-12 12:02:00,SWAENE,67.0,68.05,65.53,66.95,93176,
2013-02-13 12:02:00,SWAENE,66.73,67.5,65.05,66.05,92598,
2013-02-14 12:02:00,SWAENE,67.0,67.03,63.03,63.7,117310,
2013-02-15 12:02:00,SWAENE,62.58,64.7,61.5,63.85,103236,
2013-02-18 12:02:00,SWAENE,63.5,66.0,61.6,63.3,354086,
2013-02-19 12:02:00,SWAENE,64.0,64.63,58.2,61.35,134778,
2013-02-20 12:02:00,SWAENE,60.98,63.73,60.75,62.18,418206,
2013-02-21 12:02:00,SWAENE,62.5,63.23,59.05,60.35,310437,
2013-02-22 12:02:00,SWAENE,61.63,61.63,59.53,60.6,103104,
2013-02-25 12:02:00,SWAENE,61.0,61.7,57.48,60.45,103644,
2013-02-26 12:02:00,SWAENE,60.75,61.48,59.5,59.93,117708,
2013-02-27 12:02:00,SWAENE,61.25,62.5,58.93,60.0,140041,
2013-02-28 12:02:00,SWAENE,61.25,61.28,58.75,59.08,95163,
2013-03-01 12:03:00,SWAENE,58.83,61.45,58.83,59.38,88317,
2013-03-04 12:03:00,SWAENE,59.4,60.2,58.3,59.6,101379,
2013-03-05 12:03:00,SWAENE,59.73,60.18,58.55,59.3,96150,
2013-03-06 12:03:00,SWAENE,59.13,60.98,58.2,60.1,87841,
2013-03-07 12:03:00,SWAENE,60.25,61.4,58.1,59.9,86047,
2013-03-08 12:03:00,SWAENE,60.25,61.25,58.55,59.63,99687,
2013-03-11 12:03:00,SWAENE,60.0,61.8,55.7,59.65,97248,
2013-03-12 12:03:00,SWAENE,60.15,61.0,59.28,60.78,83840,
2013-03-13 12:03:00,SWAENE,60.8,60.85,58.5,59.35,84083,
2013-03-14 12:03:00,SWAENE,59.48,60.45,59.18,60.05,88312,
2013-03-15 12:03:00,SWAENE,60.1,63.0,59.28,59.93,105790,
2013-03-18 12:03:00,SWAENE,60.03,60.45,59.05,59.68,95407,
2013-03-19 12:03:00,SWAENE,60.0,60.0,59.03,59.4,84030,
2013-03-20 12:03:00,SWAENE,59.35,60.23,56.65,58.6,84516,
2013-03-21 12:03:00,SWAENE,59.68,59.98,58.23,59.08,86580,
2013-03-22 12:03:00,SWAENE,59.75,59.8,58.43,59.23,115560,
2013-03-25 12:03:00,SWAENE,59.2,59.9,58.75,59.8,86362,
2013-03-26 12:03:00,SWAENE,59.38,60.75,58.5,60.03,92305,
2013-03-28 12:03:00,SWAENE,60.38,64.2,59.6,62.43,100265,
2013-04-01 12:04:00,SWAENE,62.5,62.5,60.43,60.88,85706,
2013-04-02 12:04:00,SWAENE,61.0,62.45,60.1,61.85,80240,
2013-04-03 12:04:00,SWAENE,60.55,61.88,59.4,59.9,91551,
2013-04-04 12:04:00,SWAENE,60.63,61.53,59.0,60.83,91603,
2013-04-05 12:04:00,SWAENE,60.75,61.5,59.75,61.08,101026,
2013-04-08 12:04:00,SWAENE,60.18,61.15,60.0,60.98,90658,
2013-04-09 12:04:00,SWAENE,60.63,61.8,59.5,60.78,101474,
2013-04-10 12:04:00,SWAENE,60.98,61.03,59.5,60.03,89377,
