datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,TATGLO,94.03,94.99,93.47,94.44,95274,
2010-01-05 12:01:00,TATGLO,94.99,104.37,94.61,101.53,706155,
2010-01-06 12:01:00,TATGLO,102.41,103.99,99.73,103.07,296098,
2010-01-07 12:01:00,TATGLO,104.13,105.87,102.5,103.42,380780,
2010-01-08 12:01:00,TATGLO,103.85,106.52,103.28,103.92,294033,
2010-01-11 12:01:00,TATGLO,104.62,106.36,103.85,104.49,125235,
2010-01-12 12:01:00,TATGLO,105.1,105.1,101.56,102.17,103688,
2010-01-13 12:01:00,TATGLO,102.7,104.14,100.41,103.46,138127,
2010-01-14 12:01:00,TATGLO,104.42,104.72,102.7,103.11,150860,
2010-01-15 12:01:00,TATGLO,103.47,103.83,102.73,103.04,33756,
2010-01-18 12:01:00,TATGLO,102.75,103.56,101.93,102.31,31397,
2010-01-19 12:01:00,TATGLO,103.18,103.95,99.71,100.73,68329,
2010-01-20 12:01:00,TATGLO,101.25,101.73,98.52,99.48,66120,
2010-01-21 12:01:00,TATGLO,99.9,101.15,96.73,97.72,115259,
2010-01-22 12:01:00,TATGLO,96.92,98.05,95.0,97.0,169297,
2010-01-25 12:01:00,TATGLO,96.63,97.64,95.47,95.84,186311,
2010-01-27 12:01:00,TATGLO,95.96,97.88,91.33,93.08,137540,
2010-01-28 12:01:00,TATGLO,93.1,94.61,89.71,90.9,242472,
2010-01-29 12:01:00,TATGLO,89.21,92.39,87.0,91.16,178828,
2010-02-01 12:02:00,TATGLO,92.59,93.79,89.7,93.53,115699,
2010-02-02 12:02:00,TATGLO,95.38,95.38,91.42,92.06,87436,
2010-02-04 12:02:00,TATGLO,93.47,96.92,93.19,93.46,83730,
2010-02-05 12:02:00,TATGLO,92.1,94.49,89.87,92.49,103338,
2010-02-06 12:02:00,TATGLO,93.55,93.93,92.8,93.51,4850,
2010-02-08 12:02:00,TATGLO,93.55,94.03,91.39,93.52,31420,
2010-02-09 12:02:00,TATGLO,94.11,94.51,92.2,93.89,58194,
2010-02-10 12:02:00,TATGLO,94.46,94.46,92.59,92.96,32699,
2010-02-11 12:02:00,TATGLO,93.55,96.05,92.85,94.94,51592,
2010-02-15 12:02:00,TATGLO,94.99,95.96,94.24,94.54,19493,
2010-02-16 12:02:00,TATGLO,94.99,95.56,93.85,94.16,15522,
2010-02-17 12:02:00,TATGLO,94.7,95.07,93.07,93.55,138511,
2010-02-18 12:02:00,TATGLO,93.64,94.51,93.45,93.62,25174,
2010-02-19 12:02:00,TATGLO,93.42,93.59,92.1,92.29,13829,
2010-02-22 12:02:00,TATGLO,93.16,93.45,92.59,92.62,26253,
2010-02-23 12:02:00,TATGLO,92.59,93.05,91.34,92.6,17560,
2010-02-24 12:02:00,TATGLO,91.26,94.03,91.26,93.12,26950,
2010-02-25 12:02:00,TATGLO,92.59,93.55,90.79,91.91,174901,
2010-02-26 12:02:00,TATGLO,92.32,93.86,92.11,93.31,24448,
2010-03-02 12:03:00,TATGLO,93.38,95.67,92.01,94.93,45203,
2010-03-03 12:03:00,TATGLO,95.1,97.83,94.64,97.1,82988,
2010-03-04 12:03:00,TATGLO,95.35,98.14,95.35,97.32,38576,
2010-03-05 12:03:00,TATGLO,97.5,99.33,96.09,96.4,75624,
2010-03-08 12:03:00,TATGLO,96.5,98.41,95.05,95.52,43968,
2010-03-09 12:03:00,TATGLO,96.87,96.87,93.56,93.9,39553,
2010-03-10 12:03:00,TATGLO,93.95,96.16,93.55,95.19,52980,
2010-03-11 12:03:00,TATGLO,94.13,96.73,94.13,95.82,55034,
2010-03-12 12:03:00,TATGLO,95.67,96.24,95.29,95.48,30344,
2010-03-15 12:03:00,TATGLO,95.57,96.12,94.13,95.58,34537,
2010-03-16 12:03:00,TATGLO,95.01,96.41,94.05,95.01,66747,
2010-03-17 12:03:00,TATGLO,96.34,96.34,94.61,95.32,36097,
2010-03-18 12:03:00,TATGLO,94.8,95.69,94.03,94.44,69526,
2010-03-19 12:03:00,TATGLO,94.61,95.19,93.71,94.49,78466,
2010-03-22 12:03:00,TATGLO,93.55,95.8,93.45,94.81,52924,
2010-03-23 12:03:00,TATGLO,95.38,95.38,93.07,93.45,61584,
2010-03-25 12:03:00,TATGLO,94.36,94.36,92.01,93.53,73682,
2010-03-26 12:03:00,TATGLO,94.48,94.48,92.69,93.11,36464,
2010-03-29 12:03:00,TATGLO,93.56,97.59,92.01,96.14,102148,
2010-03-30 12:03:00,TATGLO,95.57,99.99,94.63,98.22,169447,
2010-03-31 12:03:00,TATGLO,97.88,99.23,96.25,97.29,58245,
2010-04-01 12:04:00,TATGLO,97.69,97.69,96.06,96.48,19752,
2010-04-05 12:04:00,TATGLO,96.92,96.92,95.5,96.09,54161,
2010-04-06 12:04:00,TATGLO,97.3,97.3,96.21,96.43,22823,
2010-04-07 12:04:00,TATGLO,96.43,97.88,96.43,97.04,25482,
2010-04-08 12:04:00,TATGLO,96.06,97.79,96.06,96.77,32863,
2010-04-09 12:04:00,TATGLO,95.34,100.01,95.34,99.45,237793,
2010-04-12 12:04:00,TATGLO,100.57,103.61,99.81,101.27,251604,
2010-04-13 12:04:00,TATGLO,101.35,103.18,100.43,100.79,61310,
2010-04-16 12:04:00,TATGLO,99.33,99.91,97.5,97.79,173231,
2010-04-19 12:04:00,TATGLO,97.79,103.66,95.86,98.56,34889,
2010-04-20 12:04:00,TATGLO,99.33,99.73,98.19,98.87,20043,
2010-04-21 12:04:00,TATGLO,99.33,101.14,98.57,100.33,38874,
2010-04-22 12:04:00,TATGLO,99.34,102.12,99.33,101.4,88516,
2010-04-23 12:04:00,TATGLO,101.4,103.37,100.96,102.98,77503,
2010-04-26 12:04:00,TATGLO,103.56,105.01,102.89,104.03,68241,
2010-04-27 12:04:00,TATGLO,104.53,104.53,102.42,102.87,32827,
2010-04-28 12:04:00,TATGLO,102.7,103.18,99.54,100.1,50690,
2010-04-29 12:04:00,TATGLO,101.28,102.31,99.42,101.6,50012,
2010-04-30 12:04:00,TATGLO,101.25,106.05,100.91,104.43,73997,
2010-05-03 12:05:00,TATGLO,106.45,106.63,103.18,103.59,91929,
2010-05-04 12:05:00,TATGLO,103.85,104.61,100.51,101.02,25084,
2010-05-05 12:05:00,TATGLO,98.49,103.08,98.23,102.4,38838,
2010-05-06 12:05:00,TATGLO,102.21,103.71,100.4,102.24,40060,
2010-05-07 12:05:00,TATGLO,100.77,102.6,99.85,101.78,36513,
2010-05-10 12:05:00,TATGLO,102.7,103.18,101.47,102.7,24676,
2010-05-11 12:05:00,TATGLO,103.61,104.03,101.73,102.21,119193,
