datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,TATSTE,60.66,61.91,60.22,61.67,5569757,
2010-01-05 12:01:00,TATSTE,62.08,63.48,62.08,62.99,7801935,
2010-01-06 12:01:00,TATSTE,63.93,63.93,61.95,62.38,7350435,
2010-01-07 12:01:00,TATSTE,62.63,63.31,62.22,63.05,7635704,
2010-01-08 12:01:00,TATSTE,63.16,64.06,62.28,62.94,8199586,
2010-01-11 12:01:00,TATSTE,63.07,63.58,62.66,62.94,6640749,
2010-01-12 12:01:00,TATSTE,62.34,62.96,60.81,60.96,6832387,
2010-01-13 12:01:00,TATSTE,60.05,62.36,60.05,62.14,10315049,
2010-01-14 12:01:00,TATSTE,62.62,63.17,62.34,62.87,6642444,
2010-01-15 12:01:00,TATSTE,63.07,63.15,62.21,62.65,4292540,
2010-01-18 12:01:00,TATSTE,62.38,62.38,61.41,61.99,5948930,
2010-01-19 12:01:00,TATSTE,61.86,62.69,61.52,62.0,5015647,
2010-01-20 12:01:00,TATSTE,62.03,63.71,62.03,63.39,7929039,
2010-01-21 12:01:00,TATSTE,63.03,63.89,62.4,62.9,10916900,
2010-01-22 12:01:00,TATSTE,62.3,62.3,60.22,60.88,8780340,
2010-01-25 12:01:00,TATSTE,60.48,60.97,59.35,59.61,5328645,
2010-01-27 12:01:00,TATSTE,58.75,59.25,54.73,55.28,10905233,
2010-01-28 12:01:00,TATSTE,55.83,57.84,55.74,57.5,12582874,
2010-01-29 12:01:00,TATSTE,56.86,57.12,54.59,56.09,11590124,
2010-02-01 12:02:00,TATSTE,55.31,57.45,55.13,57.02,6917219,
2010-02-02 12:02:00,TATSTE,57.47,58.29,56.23,56.46,9193208,
2010-02-04 12:02:00,TATSTE,58.41,58.41,56.52,56.84,6958982,
2010-02-05 12:02:00,TATSTE,53.59,55.44,53.59,54.47,8789441,
2010-02-06 12:02:00,TATSTE,54.88,55.57,54.55,55.22,819942,
2010-02-08 12:02:00,TATSTE,54.45,55.82,52.56,53.06,14263921,
2010-02-09 12:02:00,TATSTE,52.81,53.78,52.72,53.03,7347298,
2010-02-10 12:02:00,TATSTE,53.24,53.99,51.8,52.07,6927734,
2010-02-11 12:02:00,TATSTE,52.28,53.44,52.28,53.06,6424782,
2010-02-15 12:02:00,TATSTE,53.37,53.97,52.78,53.58,7261457,
2010-02-16 12:02:00,TATSTE,53.76,54.62,53.59,54.46,6424900,
2010-02-17 12:02:00,TATSTE,54.03,57.58,54.03,57.41,9588185,
2010-02-18 12:02:00,TATSTE,57.38,57.64,56.18,56.79,4882515,
2010-02-19 12:02:00,TATSTE,56.0,56.38,55.01,55.38,7575148,
2010-02-22 12:02:00,TATSTE,56.0,57.07,55.91,56.41,5758609,
2010-02-23 12:02:00,TATSTE,55.92,57.07,55.75,56.65,5695239,
2010-02-24 12:02:00,TATSTE,56.34,56.59,55.62,55.94,5146093,
2010-02-25 12:02:00,TATSTE,56.09,56.52,55.31,56.11,4366133,
2010-02-26 12:02:00,TATSTE,56.17,58.09,55.66,56.55,5474152,
2010-03-02 12:03:00,TATSTE,57.13,59.69,57.13,59.53,6672759,
2010-03-03 12:03:00,TATSTE,59.62,60.25,59.13,59.47,6214107,
2010-03-04 12:03:00,TATSTE,59.62,60.53,59.03,60.27,7308328,
2010-03-05 12:03:00,TATSTE,60.48,61.13,60.14,60.32,4629661,
2010-03-08 12:03:00,TATSTE,60.8,61.17,60.2,60.63,4379701,
2010-03-09 12:03:00,TATSTE,60.48,60.69,59.71,60.03,3760466,
2010-03-10 12:03:00,TATSTE,60.14,60.46,58.97,59.81,3534798,
2010-03-11 12:03:00,TATSTE,59.79,60.05,58.97,59.47,3344042,
2010-03-12 12:03:00,TATSTE,59.62,59.96,59.07,59.41,4003456,
2010-03-15 12:03:00,TATSTE,59.21,60.22,59.12,59.63,3397854,
2010-03-16 12:03:00,TATSTE,59.7,61.43,59.47,61.1,4462541,
2010-03-17 12:03:00,TATSTE,53.24,62.51,53.24,61.53,5722422,
2010-03-18 12:03:00,TATSTE,61.78,62.35,61.35,62.14,4070479,
2010-03-19 12:03:00,TATSTE,62.25,62.68,61.89,62.57,3444527,
2010-03-22 12:03:00,TATSTE,61.88,62.53,61.06,61.26,3846658,
2010-03-23 12:03:00,TATSTE,61.52,62.23,61.22,62.03,3779833,
2010-03-25 12:03:00,TATSTE,61.95,62.28,60.88,62.05,4284271,
2010-03-26 12:03:00,TATSTE,62.21,63.07,61.89,62.56,3672833,
2010-03-29 12:03:00,TATSTE,62.19,63.14,61.9,62.51,2553963,
2010-03-30 12:03:00,TATSTE,62.64,63.07,61.53,61.75,3017309,
2010-03-31 12:03:00,TATSTE,61.78,62.17,61.01,61.52,3943798,
2010-04-01 12:04:00,TATSTE,61.86,63.41,61.79,63.26,4256033,
2010-04-05 12:04:00,TATSTE,63.52,65.64,63.52,65.53,6019755,
2010-04-06 12:04:00,TATSTE,65.78,66.94,65.05,66.31,5850879,
2010-04-07 12:04:00,TATSTE,66.52,66.76,65.44,66.14,3908562,
2010-04-08 12:04:00,TATSTE,65.66,70.74,64.64,64.9,3890652,
2010-04-09 12:04:00,TATSTE,65.14,66.17,64.9,65.33,3158059,
2010-04-12 12:04:00,TATSTE,65.48,66.38,64.84,66.02,4104603,
2010-04-13 12:04:00,TATSTE,65.87,66.82,65.27,66.69,5211657,
2010-04-16 12:04:00,TATSTE,66.0,67.23,65.31,67.01,4318168,
2010-04-19 12:04:00,TATSTE,65.89,66.34,64.14,64.78,6370332,
2010-04-20 12:04:00,TATSTE,65.05,66.09,64.41,64.87,4387411,
2010-04-21 12:04:00,TATSTE,65.06,65.64,64.42,64.69,3137485,
2010-04-22 12:04:00,TATSTE,64.37,65.09,63.04,63.53,6551436,
2010-04-23 12:04:00,TATSTE,63.59,64.16,62.47,62.93,6395052,
2010-04-26 12:04:00,TATSTE,63.07,64.34,63.07,63.66,4236696,
2010-04-27 12:04:00,TATSTE,63.51,63.73,62.75,62.85,3649476,
2010-04-28 12:04:00,TATSTE,62.55,62.55,60.69,60.86,5097550,
2010-04-29 12:04:00,TATSTE,61.17,62.26,61.03,61.57,5230105,
2010-04-30 12:04:00,TATSTE,62.25,62.55,60.05,60.38,7474309,
2010-05-03 12:05:00,TATSTE,59.62,60.3,59.1,59.37,5477207,
2010-05-04 12:05:00,TATSTE,59.36,61.33,56.36,56.85,8712154,
2010-05-05 12:05:00,TATSTE,56.17,56.81,54.94,56.44,11731479,
2010-05-06 12:05:00,TATSTE,56.43,57.03,55.41,56.68,8053523,
2010-05-07 12:05:00,TATSTE,55.31,56.09,54.66,55.17,7095954,
2010-05-10 12:05:00,TATSTE,58.66,59.28,55.66,58.88,7652080,
2010-05-11 12:05:00,TATSTE,59.19,59.52,56.95,57.21,9110721,
2010-05-12 12:05:00,TATSTE,57.21,57.72,56.34,57.42,6387978,
2010-05-13 12:05:00,TATSTE,57.47,58.21,56.31,56.61,5536496,
2010-05-14 12:05:00,TATSTE,56.52,56.52,54.06,54.27,8098780,
2010-05-17 12:05:00,TATSTE,52.94,53.66,52.12,53.27,10980267,
2010-05-18 12:05:00,TATSTE,53.48,53.7,52.51,52.75,9404348,
2010-05-19 12:05:00,TATSTE,52.29,52.68,51.03,51.22,10840352,
2010-05-20 12:05:00,TATSTE,51.43,52.03,50.48,50.84,8859344,
2010-05-24 12:05:00,TATSTE,51.52,52.21,49.72,50.23,6739616,
2010-05-25 12:05:00,TATSTE,49.71,49.71,47.92,48.13,10992461,
2010-05-26 12:05:00,TATSTE,48.24,49.98,48.16,48.8,12786725,
2010-05-27 12:05:00,TATSTE,48.67,49.91,47.86,49.48,18578867,
2010-05-28 12:05:00,TATSTE,50.14,50.87,49.28,49.87,14624253,
2010-05-31 12:05:00,TATSTE,49.87,50.38,48.95,50.2,9130421,
2010-06-01 12:06:00,TATSTE,50.14,50.81,48.16,48.41,11520743,
2010-06-02 12:06:00,TATSTE,48.84,49.01,48.1,48.78,9941561,
2010-06-03 12:06:00,TATSTE,49.28,49.68,48.69,48.91,9458420,
2010-06-04 12:06:00,TATSTE,48.8,49.28,48.29,48.87,8232769,
2010-06-07 12:06:00,TATSTE,47.64,47.64,46.47,46.88,8345442,
2010-06-08 12:06:00,TATSTE,47.06,47.28,45.75,45.95,9002301,
2010-06-09 12:06:00,TATSTE,46.09,47.23,45.88,46.95,11085765,
2010-06-10 12:06:00,TATSTE,47.45,47.84,46.49,47.68,7726186,
