datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,TATTE,23.82,24.09,23.56,23.87,1753514,
2010-01-05 12:01:00,TATTE,24.09,25.41,24.0,25.15,5605460,
2010-01-06 12:01:00,TATTE,25.24,25.46,24.57,24.66,3588549,
2010-01-07 12:01:00,TATTE,24.79,25.06,24.35,24.53,2196828,
2010-01-08 12:01:00,TATTE,24.71,25.1,24.4,24.49,2169442,
2010-01-11 12:01:00,TATTE,24.79,25.01,24.53,24.75,2909269,
2010-01-12 12:01:00,TATTE,25.15,25.15,24.22,24.26,3113815,
2010-01-13 12:01:00,TATTE,24.26,25.1,23.87,24.75,2932762,
2010-01-14 12:01:00,TATTE,25.5,26.78,25.19,26.43,20547197,
2010-01-15 12:01:00,TATTE,26.69,26.69,25.76,25.9,6313889,
2010-01-18 12:01:00,TATTE,25.76,26.38,25.46,25.76,4829618,
2010-01-19 12:01:00,TATTE,25.76,26.03,25.19,25.24,2589981,
2010-01-20 12:01:00,TATTE,25.28,25.68,24.84,24.97,3427420,
2010-01-21 12:01:00,TATTE,25.15,25.15,24.04,24.13,2940692,
2010-01-22 12:01:00,TATTE,23.82,24.79,23.03,24.57,4304392,
2010-01-25 12:01:00,TATTE,24.57,24.71,23.91,24.09,2322101,
2010-01-27 12:01:00,TATTE,23.6,23.82,22.41,22.76,4301343,
2010-01-28 12:01:00,TATTE,22.94,23.38,21.93,22.06,5827911,
2010-01-29 12:01:00,TATTE,22.1,22.59,21.53,22.32,3387442,
2010-02-01 12:02:00,TATTE,22.24,22.94,22.15,22.72,2016731,
2010-02-02 12:02:00,TATTE,22.94,23.07,22.15,22.19,2210517,
2010-02-04 12:02:00,TATTE,22.5,22.54,21.71,21.84,1514888,
2010-02-05 12:02:00,TATTE,21.31,21.57,20.56,20.69,6296066,
2010-02-06 12:02:00,TATTE,20.65,21.09,20.65,21.0,532985,
2010-02-08 12:02:00,TATTE,21.13,21.4,20.87,21.22,2447320,
2010-02-09 12:02:00,TATTE,21.44,21.44,21.04,21.13,2521227,
