datetime,stock_code,open,high,low,close,volume,open_interest
2011-09-08 12:09:00,TDPSYS,52.0,61.94,48.4,55.05,15150467,
2011-09-09 12:09:00,TDPSYS,54.8,62.68,54.8,61.29,4861201,
2011-09-12 12:09:00,TDPSYS,61.13,62.4,59.62,60.9,2280298,
2011-09-13 12:09:00,TDPSYS,61.99,61.99,59.7,60.36,1183545,
2011-09-14 12:09:00,TDPSYS,60.62,64.29,59.65,62.69,1882233,
2011-09-15 12:09:00,TDPSYS,62.58,63.68,60.11,61.22,943134,
2011-09-16 12:09:00,TDPSYS,61.07,61.33,57.2,58.09,516671,
2011-09-19 12:09:00,TDPSYS,57.93,59.8,55.98,57.46,774605,
2011-09-20 12:09:00,TDPSYS,57.6,58.97,57.0,57.6,243036,
2011-09-21 12:09:00,TDPSYS,57.85,58.2,55.05,55.98,235214,
2011-09-22 12:09:00,TDPSYS,55.2,55.62,52.46,53.01,279982,
2011-09-23 12:09:00,TDPSYS,52.0,56.0,51.47,53.97,370908,
2011-09-26 12:09:00,TDPSYS,54.16,55.0,52.4,53.66,105650,
2011-09-27 12:09:00,TDPSYS,54.48,55.4,53.42,53.84,79267,
2011-09-28 12:09:00,TDPSYS,54.34,54.39,51.36,52.15,42766,
2011-09-29 12:09:00,TDPSYS,52.22,52.57,46.54,51.34,72755,
2011-09-30 12:09:00,TDPSYS,51.4,52.8,50.0,51.39,50774,
2011-10-03 12:10:00,TDPSYS,50.28,51.0,49.24,50.43,41062,
2011-10-04 12:10:00,TDPSYS,50.26,51.6,50.0,50.98,38430,
2011-10-05 12:10:00,TDPSYS,51.1,51.94,50.6,50.88,31508,
2011-10-07 12:10:00,TDPSYS,51.4,52.59,50.8,51.97,31912,
2011-10-10 12:10:00,TDPSYS,51.4,51.9,50.85,51.21,17140,
2011-10-11 12:10:00,TDPSYS,50.83,51.6,50.8,51.27,6876,
2011-10-12 12:10:00,TDPSYS,51.11,51.69,51.11,51.34,7377,
2011-10-13 12:10:00,TDPSYS,51.0,51.45,50.67,51.18,5603,
2011-10-14 12:10:00,TDPSYS,50.75,51.4,50.48,51.07,11917,
2011-10-17 12:10:00,TDPSYS,50.84,51.42,50.84,51.3,6147,
2011-10-18 12:10:00,TDPSYS,51.3,51.58,50.8,51.25,10011,
2011-10-19 12:10:00,TDPSYS,50.82,54.0,50.82,51.74,19797,
2011-10-20 12:10:00,TDPSYS,51.96,51.96,51.0,51.0,4306,
2011-10-21 12:10:00,TDPSYS,51.0,51.39,51.0,51.02,9710,
2011-10-24 12:10:00,TDPSYS,51.47,52.39,51.0,51.17,22649,
2011-10-25 12:10:00,TDPSYS,51.5,51.5,50.99,51.01,4582,
2011-10-26 12:10:00,TDPSYS,51.56,51.56,50.0,50.72,742,
2011-10-31 12:10:00,TDPSYS,51.49,51.49,50.8,51.0,4085,
2011-11-01 12:11:00,TDPSYS,51.02,54.0,50.48,51.15,8475,
2011-11-02 12:11:00,TDPSYS,50.4,50.97,49.38,50.57,4843,
2011-11-03 12:11:00,TDPSYS,52.0,52.21,50.4,50.5,9572,
2011-11-04 12:11:00,TDPSYS,51.0,51.4,50.42,50.57,2335,
2011-11-08 12:11:00,TDPSYS,50.42,51.08,50.29,50.71,12514,
2011-11-09 12:11:00,TDPSYS,50.8,51.5,50.4,50.93,6762,
2011-11-11 12:11:00,TDPSYS,50.78,51.0,50.45,50.93,9649,
2011-11-14 12:11:00,TDPSYS,50.81,60.0,50.8,54.04,786783,
2011-11-15 12:11:00,TDPSYS,54.24,57.0,52.92,53.83,261087,
2011-11-16 12:11:00,TDPSYS,54.0,55.26,51.85,52.05,37225,
2011-11-17 12:11:00,TDPSYS,52.99,54.79,50.4,50.65,56472,
2011-11-18 12:11:00,TDPSYS,51.4,51.4,49.2,49.72,20335,
2011-11-21 12:11:00,TDPSYS,48.8,50.59,48.6,49.4,17468,
2011-11-22 12:11:00,TDPSYS,48.8,50.22,45.0,47.41,23485,
2011-11-23 12:11:00,TDPSYS,46.26,48.0,45.59,47.56,31784,
2011-11-24 12:11:00,TDPSYS,46.71,47.6,46.2,46.69,1180,
2011-11-25 12:11:00,TDPSYS,46.12,46.8,45.31,45.75,5708,
2011-11-28 12:11:00,TDPSYS,44.4,46.98,44.4,46.22,8288,
2011-11-29 12:11:00,TDPSYS,45.63,46.2,44.04,45.0,678,
2011-11-30 12:11:00,TDPSYS,44.41,44.69,43.6,43.8,7422,
2011-12-01 12:12:00,TDPSYS,46.3,46.3,42.64,43.23,3168,
2011-12-02 12:12:00,TDPSYS,43.2,44.0,42.0,42.93,21880,
2011-12-05 12:12:00,TDPSYS,43.6,50.8,42.4,48.65,200848,
2011-12-07 12:12:00,TDPSYS,48.6,51.99,47.79,50.39,187244,
2011-12-08 12:12:00,TDPSYS,49.99,49.99,47.07,47.92,13133,
2011-12-09 12:12:00,TDPSYS,47.21,51.8,46.15,48.37,76845,
2011-12-12 12:12:00,TDPSYS,50.49,50.49,46.02,46.71,4200,
2011-12-13 12:12:00,TDPSYS,45.22,47.99,43.07,46.57,43946,
2011-12-14 12:12:00,TDPSYS,44.6,48.4,44.6,46.5,16120,
2011-12-15 12:12:00,TDPSYS,45.4,47.15,43.7,46.28,9176,
2011-12-16 12:12:00,TDPSYS,45.6,48.4,45.6,47.17,14438,
2011-12-19 12:12:00,TDPSYS,45.64,47.59,45.64,46.59,8456,
2011-12-20 12:12:00,TDPSYS,55.78,55.78,46.2,46.75,2423,
2011-12-21 12:12:00,TDPSYS,46.61,47.1,44.83,45.9,11846,
2011-12-22 12:12:00,TDPSYS,45.4,47.36,45.4,47.02,2133,
2011-12-23 12:12:00,TDPSYS,46.61,47.16,46.07,46.64,5334,
2011-12-26 12:12:00,TDPSYS,47.0,48.58,47.0,47.84,3183,
2011-12-27 12:12:00,TDPSYS,49.18,49.18,46.99,47.21,2540,
2011-12-28 12:12:00,TDPSYS,40.4,47.59,40.4,46.78,2278,
2011-12-29 12:12:00,TDPSYS,45.64,47.29,45.64,46.23,578,
2011-12-30 12:12:00,TDPSYS,45.4,46.0,44.2,44.41,2276,
2012-01-02 12:01:00,TDPSYS,43.45,45.8,43.4,43.62,312,
2012-01-03 12:01:00,TDPSYS,43.6,45.41,43.6,44.87,4127,
2012-01-04 12:01:00,TDPSYS,44.26,44.52,43.82,44.38,1423,
2012-01-05 12:01:00,TDPSYS,45.96,45.98,44.52,45.5,6346,
2012-01-06 12:01:00,TDPSYS,44.62,45.0,44.12,44.66,329,
2012-01-07 12:01:00,TDPSYS,44.05,45.39,43.6,43.82,1136,
2012-01-09 12:01:00,TDPSYS,44.4,47.98,44.4,46.88,3095,
2012-01-10 12:01:00,TDPSYS,45.21,47.58,45.2,47.22,1388,
2012-01-11 12:01:00,TDPSYS,46.82,47.18,46.0,46.35,731,
2012-01-12 12:01:00,TDPSYS,45.8,46.43,45.05,45.7,4623,
2012-01-13 12:01:00,TDPSYS,47.0,48.0,45.42,45.45,333,
2012-01-16 12:01:00,TDPSYS,44.43,48.24,44.41,47.88,1279,
2012-01-17 12:01:00,TDPSYS,47.0,47.55,46.21,47.01,3528,
2012-01-18 12:01:00,TDPSYS,45.71,47.36,45.7,46.09,820,
2012-01-19 12:01:00,TDPSYS,45.21,46.6,45.21,46.08,681,
2012-01-20 12:01:00,TDPSYS,45.62,47.5,45.62,46.95,3232,
2012-01-23 12:01:00,TDPSYS,48.79,48.79,46.01,46.58,502,
2012-01-24 12:01:00,TDPSYS,46.99,47.18,46.71,47.1,1147,
2012-01-25 12:01:00,TDPSYS,45.44,47.6,40.25,46.5,422,
2012-01-27 12:01:00,TDPSYS,46.26,46.61,46.26,46.6,2311,
2012-01-30 12:01:00,TDPSYS,46.2,49.01,46.0,48.11,1410,
2012-01-31 12:01:00,TDPSYS,46.4,50.8,44.63,48.74,3390,
2012-02-01 12:02:00,TDPSYS,48.1,49.49,47.04,47.68,983,
2012-02-02 12:02:00,TDPSYS,47.6,48.1,47.0,47.21,400,
2012-02-03 12:02:00,TDPSYS,47.2,51.0,46.41,50.17,9414,
2012-02-06 12:02:00,TDPSYS,50.4,53.32,49.2,52.13,4650,
2012-02-07 12:02:00,TDPSYS,52.0,53.57,51.27,52.5,7938,
2012-02-08 12:02:00,TDPSYS,52.6,52.6,51.42,52.53,702,
2012-02-09 12:02:00,TDPSYS,51.97,51.97,50.8,51.61,1377,
2012-02-13 12:02:00,TDPSYS,48.24,51.19,46.25,48.55,1330,
2012-02-14 12:02:00,TDPSYS,49.0,51.6,47.2,50.88,579,
2012-02-15 12:02:00,TDPSYS,49.02,52.98,49.02,49.62,3537,
2012-02-16 12:02:00,TDPSYS,49.2,51.48,48.21,51.08,4689,
2012-02-17 12:02:00,TDPSYS,51.6,51.8,49.6,50.13,417,
2012-02-21 12:02:00,TDPSYS,51.98,54.85,50.8,53.8,8752,
2012-02-22 12:02:00,TDPSYS,54.08,54.6,52.03,52.76,1226,
2012-02-23 12:02:00,TDPSYS,52.2,52.39,50.8,52.06,4193,
2012-02-27 12:02:00,TDPSYS,50.6,52.2,49.05,50.37,220,
2012-02-28 12:02:00,TDPSYS,51.0,53.0,49.84,52.35,1634,
2012-02-29 12:02:00,TDPSYS,50.61,53.73,50.25,51.18,1897,
2012-03-01 12:03:00,TDPSYS,50.0,51.8,50.0,51.05,472,
2012-03-02 12:03:00,TDPSYS,51.6,52.0,50.2,50.27,799,
2012-03-05 12:03:00,TDPSYS,50.8,51.6,50.7,50.7,45,
2012-03-06 12:03:00,TDPSYS,50.7,50.7,48.96,49.94,10816,
2012-03-07 12:03:00,TDPSYS,48.4,52.88,48.01,48.78,22251,
2012-03-09 12:03:00,TDPSYS,49.4,52.64,48.8,49.06,293,
2012-03-12 12:03:00,TDPSYS,49.96,51.57,48.46,49.94,601,
2012-03-13 12:03:00,TDPSYS,50.0,51.0,48.83,49.98,11646,
2012-03-14 12:03:00,TDPSYS,51.87,51.87,49.43,49.44,60,
2012-03-15 12:03:00,TDPSYS,49.0,50.6,49.0,50.34,832,
2012-03-16 12:03:00,TDPSYS,51.0,51.2,47.61,48.44,8424,
2012-03-19 12:03:00,TDPSYS,48.01,48.01,46.4,47.25,523,
2012-03-20 12:03:00,TDPSYS,46.6,49.95,46.6,47.51,27336,
2012-03-21 12:03:00,TDPSYS,46.25,49.59,46.25,48.36,397,
2012-03-22 12:03:00,TDPSYS,48.21,48.4,47.4,47.46,419,
2012-03-23 12:03:00,TDPSYS,47.6,47.6,47.45,47.53,151,
2012-03-26 12:03:00,TDPSYS,48.2,50.99,48.2,50.21,6162,
2012-03-27 12:03:00,TDPSYS,49.21,52.4,49.21,51.8,4970,
2012-03-28 12:03:00,TDPSYS,58.58,58.58,52.0,52.87,17840,
2012-03-29 12:03:00,TDPSYS,53.0,53.0,50.32,51.37,155,
2012-03-30 12:03:00,TDPSYS,50.4,52.7,47.99,48.92,1833,
2012-04-02 12:04:00,TDPSYS,49.0,51.0,49.0,50.54,1816,
2012-04-03 12:04:00,TDPSYS,50.28,53.09,50.28,52.86,1169,
2012-04-04 12:04:00,TDPSYS,55.89,55.89,52.06,53.51,3291,
2012-04-09 12:04:00,TDPSYS,51.6,61.9,51.5,58.33,167281,
2012-04-10 12:04:00,TDPSYS,59.58,61.54,58.58,60.05,121706,
2012-04-11 12:04:00,TDPSYS,59.23,59.97,57.48,58.86,35829,
2012-04-12 12:04:00,TDPSYS,58.51,59.0,57.64,58.79,29623,
2012-04-13 12:04:00,TDPSYS,58.1,65.02,58.1,61.54,117797,
2012-04-16 12:04:00,TDPSYS,60.8,66.38,60.8,65.19,41578,
2012-04-17 12:04:00,TDPSYS,65.6,68.36,64.42,65.59,35086,
2012-04-18 12:04:00,TDPSYS,66.2,66.9,62.2,62.66,9634,
2012-04-19 12:04:00,TDPSYS,62.85,65.4,62.21,62.49,15777,
2012-04-20 12:04:00,TDPSYS,65.97,65.97,62.03,62.64,3403,
2012-04-23 12:04:00,TDPSYS,62.31,63.71,59.6,61.0,5418,
2012-04-24 12:04:00,TDPSYS,60.8,61.47,59.8,60.11,3662,
2012-04-25 12:04:00,TDPSYS,59.42,62.01,59.1,59.53,33929,
2012-04-26 12:04:00,TDPSYS,59.6,61.32,59.01,59.79,9734,
2012-04-27 12:04:00,TDPSYS,60.59,61.5,59.63,60.18,2780,
2012-04-28 12:04:00,TDPSYS,62.0,62.0,58.6,59.49,663,
2012-04-30 12:04:00,TDPSYS,60.8,60.8,59.0,59.6,1167,
2012-05-02 12:05:00,TDPSYS,60.35,60.35,58.2,59.19,3721,
2012-05-03 12:05:00,TDPSYS,60.0,60.0,59.0,59.27,8512,
2012-05-04 12:05:00,TDPSYS,59.11,59.11,59.0,59.0,8044,
2012-05-07 12:05:00,TDPSYS,59.18,59.58,58.8,59.21,7756,
2012-05-08 12:05:00,TDPSYS,58.8,64.9,58.8,61.39,4068,
2012-05-09 12:05:00,TDPSYS,59.42,64.0,59.42,62.32,3103,
2012-05-10 12:05:00,TDPSYS,61.22,62.0,59.8,60.0,2536,
2012-05-11 12:05:00,TDPSYS,59.6,62.0,59.0,59.03,2882,
2012-05-14 12:05:00,TDPSYS,59.6,61.4,59.6,60.27,7127,
2012-05-15 12:05:00,TDPSYS,60.0,62.0,59.98,60.0,3968,
2012-05-16 12:05:00,TDPSYS,60.0,64.01,59.32,61.78,4096,
2012-05-17 12:05:00,TDPSYS,62.0,62.0,59.01,59.04,329,
2012-05-18 12:05:00,TDPSYS,59.6,59.72,59.0,59.02,7787,
2012-05-21 12:05:00,TDPSYS,60.8,61.59,59.61,59.65,91,
2012-05-22 12:05:00,TDPSYS,61.0,61.0,59.6,60.0,123,
2012-05-23 12:05:00,TDPSYS,59.02,59.02,59.0,59.0,1004,
2012-05-24 12:05:00,TDPSYS,59.02,63.0,58.6,60.91,29698,
2012-05-25 12:05:00,TDPSYS,59.2,60.88,58.02,58.76,1661,
2012-05-28 12:05:00,TDPSYS,61.98,62.0,58.06,58.63,844,
2012-05-29 12:05:00,TDPSYS,58.1,60.89,58.01,60.35,2310,
2012-05-30 12:05:00,TDPSYS,59.2,62.58,58.8,59.72,3411,
2012-05-31 12:05:00,TDPSYS,59.2,62.4,58.4,60.36,2894,
2012-06-01 12:06:00,TDPSYS,59.8,61.0,59.19,59.36,2633,
2012-06-04 12:06:00,TDPSYS,60.0,60.8,58.3,58.7,636,
2012-06-05 12:06:00,TDPSYS,57.8,61.19,57.8,58.49,136,
