datetime,stock_code,open,high,low,close,volume,open_interest
2011-03-03 12:03:00,TEXRAI,75.11,79.0,58.0,58.97,434099,
2011-03-04 12:03:00,TEXRAI,58.0,59.44,56.29,58.23,55430,
2011-03-07 12:03:00,TEXRAI,58.74,58.74,55.59,56.83,139368,
2011-03-08 12:03:00,TEXRAI,56.44,58.0,54.27,57.18,249876,
2011-03-09 12:03:00,TEXRAI,56.48,59.32,56.44,59.01,20795,
2011-03-10 12:03:00,TEXRAI,58.0,58.19,56.44,56.99,380257,
2011-03-11 12:03:00,TEXRAI,54.66,57.69,54.66,56.6,182990,
2011-03-14 12:03:00,TEXRAI,55.32,57.22,55.04,57.22,26143,
2011-03-15 12:03:00,TEXRAI,56.44,56.76,54.69,54.73,35704,
2011-03-16 12:03:00,TEXRAI,54.15,57.22,54.11,56.72,219638,
2011-03-17 12:03:00,TEXRAI,58.54,65.0,57.96,60.02,275285,
2011-03-18 12:03:00,TEXRAI,59.63,60.8,56.68,57.03,37021,
2011-03-21 12:03:00,TEXRAI,55.9,57.22,54.27,55.04,56647,
2011-03-22 12:03:00,TEXRAI,55.71,56.17,54.77,55.32,138472,
2011-03-23 12:03:00,TEXRAI,55.86,58.78,55.32,57.38,173261,
2011-03-24 12:03:00,TEXRAI,58.54,58.54,55.51,56.29,58773,
2011-03-25 12:03:00,TEXRAI,55.86,57.46,54.69,55.04,162457,
2011-03-28 12:03:00,TEXRAI,56.13,56.33,54.5,55.74,39157,
2011-03-29 12:03:00,TEXRAI,56.37,58.58,54.89,57.73,126048,
2011-03-30 12:03:00,TEXRAI,57.73,59.48,57.73,58.78,38777,
2011-03-31 12:03:00,TEXRAI,58.78,60.33,56.06,59.59,64793,
2011-04-01 12:04:00,TEXRAI,59.01,61.58,58.78,59.98,71029,
2011-04-04 12:04:00,TEXRAI,59.94,65.16,59.56,64.84,109678,
2011-04-05 12:04:00,TEXRAI,64.84,65.0,62.74,63.64,74596,
2011-04-06 12:04:00,TEXRAI,62.86,64.61,61.23,62.12,65601,
2011-04-07 12:04:00,TEXRAI,62.32,63.41,62.12,62.36,32478,
2011-04-08 12:04:00,TEXRAI,62.67,64.92,62.28,64.14,110201,
2011-04-11 12:04:00,TEXRAI,63.21,63.95,61.89,62.28,74527,
2011-04-13 12:04:00,TEXRAI,61.54,63.52,61.11,63.21,48722,
2011-04-15 12:04:00,TEXRAI,62.32,62.98,61.19,61.42,69701,
2011-04-18 12:04:00,TEXRAI,60.84,61.15,58.97,59.63,31658,
2011-04-19 12:04:00,TEXRAI,60.45,61.89,59.56,61.11,421189,
2011-04-20 12:04:00,TEXRAI,62.04,63.25,60.29,61.03,57890,
2011-04-21 12:04:00,TEXRAI,60.45,63.44,60.45,62.9,32885,
2011-04-25 12:04:00,TEXRAI,63.37,64.22,61.81,63.64,42686,
2011-04-26 12:04:00,TEXRAI,63.37,64.57,62.39,64.26,48441,
2011-04-27 12:04:00,TEXRAI,63.76,64.18,63.25,63.44,20792,
2011-04-28 12:04:00,TEXRAI,63.44,63.44,62.32,62.78,31793,
2011-04-29 12:04:00,TEXRAI,63.21,63.21,61.89,62.71,24646,
2011-05-02 12:05:00,TEXRAI,63.06,63.44,60.92,62.67,60442,
2011-05-03 12:05:00,TEXRAI,61.89,62.71,61.54,62.59,50080,
2011-05-04 12:05:00,TEXRAI,60.41,63.44,60.37,62.98,22811,
2011-05-05 12:05:00,TEXRAI,63.44,63.44,61.97,62.51,11310,
2011-05-06 12:05:00,TEXRAI,62.12,63.37,62.12,62.82,21396,
2011-05-09 12:05:00,TEXRAI,62.28,63.33,61.93,62.67,25346,
2011-05-10 12:05:00,TEXRAI,62.28,63.06,61.11,61.85,34782,
2011-05-11 12:05:00,TEXRAI,62.08,63.52,62.08,62.51,28337,
2011-05-12 12:05:00,TEXRAI,62.04,62.71,61.5,61.5,27897,
2011-05-13 12:05:00,TEXRAI,60.72,63.21,60.72,62.67,56180,
2011-05-16 12:05:00,TEXRAI,62.63,62.63,61.5,61.73,15558,
2011-05-17 12:05:00,TEXRAI,61.31,62.55,61.11,62.28,20091,
2011-05-18 12:05:00,TEXRAI,61.89,62.67,59.67,61.93,25622,
2011-05-19 12:05:00,TEXRAI,61.58,61.97,60.41,61.66,39831,
2011-05-20 12:05:00,TEXRAI,61.11,63.83,60.72,61.93,30545,
2011-05-23 12:05:00,TEXRAI,61.19,63.06,60.76,61.69,8687,
2011-05-24 12:05:00,TEXRAI,62.04,65.0,62.04,64.57,37654,
2011-05-25 12:05:00,TEXRAI,63.64,66.32,63.44,65.08,50969,
2011-05-26 12:05:00,TEXRAI,65.39,66.83,64.42,64.88,14772,
2011-05-27 12:05:00,TEXRAI,64.42,65.39,63.79,64.96,19346,
2011-05-30 12:05:00,TEXRAI,64.42,65.35,64.38,64.96,11807,
2011-05-31 12:05:00,TEXRAI,66.48,66.48,62.32,63.87,213409,
2011-06-01 12:06:00,TEXRAI,64.69,64.69,63.13,63.91,90548,
2011-06-02 12:06:00,TEXRAI,63.6,64.88,63.6,64.18,4693,
2011-06-03 12:06:00,TEXRAI,64.22,65.78,64.22,65.19,51817,
2011-06-06 12:06:00,TEXRAI,65.0,66.79,64.26,66.36,16791,
2011-06-07 12:06:00,TEXRAI,67.02,67.26,65.58,66.87,12128,
2011-06-08 12:06:00,TEXRAI,66.09,70.76,66.05,68.42,36416,
2011-06-09 12:06:00,TEXRAI,68.42,69.67,68.23,68.93,34252,
2011-06-10 12:06:00,TEXRAI,69.12,70.02,68.89,69.74,16534,
2011-06-13 12:06:00,TEXRAI,68.69,71.22,68.69,70.29,10509,
2011-06-14 12:06:00,TEXRAI,69.67,70.52,68.89,70.02,11442,
2011-06-15 12:06:00,TEXRAI,70.06,70.83,69.12,69.2,15866,
2011-06-16 12:06:00,TEXRAI,69.12,70.09,68.23,69.78,18693,
2011-06-17 12:06:00,TEXRAI,69.08,71.42,68.85,70.56,21264,
2011-06-20 12:06:00,TEXRAI,69.16,72.93,67.33,70.09,37431,
2011-06-21 12:06:00,TEXRAI,69.71,72.0,69.01,69.67,21182,
2011-06-22 12:06:00,TEXRAI,68.31,70.25,68.31,69.67,23507,
2011-06-23 12:06:00,TEXRAI,69.67,70.83,69.28,69.67,13555,
2011-06-24 12:06:00,TEXRAI,67.37,70.79,67.37,70.21,20120,
2011-06-27 12:06:00,TEXRAI,68.93,71.49,68.93,71.03,70725,
2011-06-28 12:06:00,TEXRAI,71.18,71.18,69.74,70.41,55903,
2011-06-29 12:06:00,TEXRAI,70.44,72.62,69.63,71.69,60850,
2011-06-30 12:06:00,TEXRAI,70.48,74.06,70.21,72.51,37931,
2011-07-01 12:07:00,TEXRAI,73.91,74.72,71.61,72.23,1882876,
2011-07-04 12:07:00,TEXRAI,72.78,83.98,72.78,76.74,436235,
2011-07-05 12:07:00,TEXRAI,77.29,77.83,75.93,76.71,31878,
2011-07-06 12:07:00,TEXRAI,75.89,79.27,75.89,77.68,70477,
2011-07-07 12:07:00,TEXRAI,76.82,78.22,76.78,77.56,58479,
2011-07-11 12:07:00,TEXRAI,77.06,78.22,75.31,75.97,42343,
2011-07-12 12:07:00,TEXRAI,74.57,77.17,74.37,76.71,16169,
2011-07-13 12:07:00,TEXRAI,77.06,77.44,76.28,76.71,60495,
2011-07-14 12:07:00,TEXRAI,76.43,78.03,75.5,76.94,53392,
2011-07-15 12:07:00,TEXRAI,76.12,78.03,76.12,76.67,116810,
2011-07-18 12:07:00,TEXRAI,77.06,79.7,76.01,77.91,90485,
2011-07-19 12:07:00,TEXRAI,78.18,80.94,77.06,77.48,75725,
2011-07-20 12:07:00,TEXRAI,78.22,79.08,75.89,77.99,68266,
2011-07-21 12:07:00,TEXRAI,77.44,77.83,76.71,77.48,23101,
2011-07-22 12:07:00,TEXRAI,78.03,79.0,75.93,77.6,37851,
2011-07-25 12:07:00,TEXRAI,76.67,78.22,76.67,77.33,20254,
2011-07-26 12:07:00,TEXRAI,77.79,77.91,77.06,77.37,19096,
2011-07-27 12:07:00,TEXRAI,77.09,78.84,76.74,77.33,23944,
2011-07-28 12:07:00,TEXRAI,77.76,80.13,75.54,76.24,828811,
2011-07-29 12:07:00,TEXRAI,76.24,79.0,75.89,77.99,36192,
2011-08-01 12:08:00,TEXRAI,76.82,77.76,73.56,76.28,54381,
2011-08-02 12:08:00,TEXRAI,75.15,75.66,70.56,72.27,58100,
2011-08-03 12:08:00,TEXRAI,70.95,73.87,69.9,72.86,31323,
2011-08-04 12:08:00,TEXRAI,71.26,75.5,71.22,72.7,43832,
2011-08-05 12:08:00,TEXRAI,69.43,74.33,67.53,72.7,65270,
2011-08-08 12:08:00,TEXRAI,68.93,72.97,68.5,71.3,33092,
2011-08-09 12:08:00,TEXRAI,69.51,70.44,67.49,68.89,31660,
2011-08-10 12:08:00,TEXRAI,69.67,70.83,69.28,70.02,72519,
2011-08-11 12:08:00,TEXRAI,69.36,71.22,68.19,70.29,29069,
2011-08-12 12:08:00,TEXRAI,70.6,70.6,67.76,68.69,36179,
2011-08-16 12:08:00,TEXRAI,69.01,69.28,64.57,66.17,68591,
2011-08-17 12:08:00,TEXRAI,64.42,68.89,64.42,67.29,17832,
2011-08-18 12:08:00,TEXRAI,66.24,66.52,61.93,64.65,127866,
2011-08-19 12:08:00,TEXRAI,62.67,67.33,61.85,66.17,42110,
2011-08-22 12:08:00,TEXRAI,66.17,66.71,63.09,65.27,62205,
2011-08-23 12:08:00,TEXRAI,65.82,66.01,65.0,65.58,39725,
2011-08-24 12:08:00,TEXRAI,65.39,66.94,65.0,66.17,48417,
2011-08-25 12:08:00,TEXRAI,65.78,67.18,64.88,66.09,27471,
2011-08-26 12:08:00,TEXRAI,65.19,65.78,62.32,64.11,356347,
2011-08-29 12:08:00,TEXRAI,63.13,64.53,63.13,64.14,21376,
2011-08-30 12:08:00,TEXRAI,63.48,64.69,63.48,64.11,25085,
2011-09-02 12:09:00,TEXRAI,64.22,65.7,63.52,64.53,111887,
2011-09-05 12:09:00,TEXRAI,65.0,65.78,62.78,64.26,12867,
2011-09-06 12:09:00,TEXRAI,63.48,66.05,63.48,65.31,21422,
2011-09-07 12:09:00,TEXRAI,65.35,68.73,65.19,67.06,27513,
2011-09-08 12:09:00,TEXRAI,66.24,67.92,66.05,66.87,14876,
2011-09-09 12:09:00,TEXRAI,67.41,68.03,65.93,66.94,23743,
2011-09-12 12:09:00,TEXRAI,63.09,68.58,63.09,66.94,13109,
2011-09-13 12:09:00,TEXRAI,65.78,67.02,64.53,65.54,25696,
2011-09-14 12:09:00,TEXRAI,64.38,65.58,64.22,65.0,97444,
2011-09-15 12:09:00,TEXRAI,64.53,66.94,64.26,65.74,253538,
2011-09-16 12:09:00,TEXRAI,65.78,67.33,65.0,66.44,31130,
2011-09-19 12:09:00,TEXRAI,65.78,67.33,65.12,66.44,22199,
2011-09-20 12:09:00,TEXRAI,66.44,68.89,65.31,67.53,16563,
2011-09-21 12:09:00,TEXRAI,66.56,70.37,66.56,68.97,33963,
2011-09-22 12:09:00,TEXRAI,68.11,69.59,66.48,68.46,23642,
2011-09-23 12:09:00,TEXRAI,67.72,68.11,66.17,67.37,24755,
2011-09-26 12:09:00,TEXRAI,67.53,68.11,65.78,66.44,39204,
2011-09-27 12:09:00,TEXRAI,66.56,68.77,66.24,68.07,34201,
2011-09-28 12:09:00,TEXRAI,67.33,68.46,66.98,67.37,6703,
2011-09-29 12:09:00,TEXRAI,66.83,69.51,66.56,68.62,25518,
2011-09-30 12:09:00,TEXRAI,67.72,68.42,65.04,67.45,21679,
2011-10-03 12:10:00,TEXRAI,66.21,67.33,65.97,66.75,7905,
2011-10-04 12:10:00,TEXRAI,66.36,67.22,66.32,66.56,15767,
2011-10-05 12:10:00,TEXRAI,65.82,67.33,65.82,67.29,13525,
2011-10-07 12:10:00,TEXRAI,67.33,71.14,66.71,68.81,20299,
2011-10-10 12:10:00,TEXRAI,68.5,69.16,67.88,68.69,6301,
2011-10-11 12:10:00,TEXRAI,68.89,69.67,67.76,69.04,9782,
2011-10-12 12:10:00,TEXRAI,68.5,70.29,68.5,69.71,6748,
2011-10-13 12:10:00,TEXRAI,68.54,69.74,68.54,69.32,9403,
2011-10-14 12:10:00,TEXRAI,68.62,73.56,68.23,72.58,50758,
2011-10-17 12:10:00,TEXRAI,73.17,73.56,70.6,72.12,32182,
2011-10-18 12:10:00,TEXRAI,71.26,74.06,70.76,72.7,22311,
2011-10-19 12:10:00,TEXRAI,73.32,73.32,71.22,71.77,10229,
2011-10-20 12:10:00,TEXRAI,71.42,71.61,70.44,70.99,6105,
2011-10-21 12:10:00,TEXRAI,70.52,71.18,68.62,70.33,11242,
