datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,THERMA,609.9,623.95,606.05,615.05,73015,
2010-01-05 12:01:00,THERMA,617.0,623.7,610.1,611.85,37549,
2010-01-06 12:01:00,THERMA,616.85,646.5,615.05,639.15,260136,
2010-01-07 12:01:00,THERMA,645.1,654.0,628.1,631.75,216073,
2010-01-08 12:01:00,THERMA,640.0,641.95,615.0,617.65,137430,
2010-01-11 12:01:00,THERMA,638.4,638.4,614.9,617.5,72638,
2010-01-12 12:01:00,THERMA,618.1,680.0,612.0,663.6,598903,
2010-01-13 12:01:00,THERMA,660.0,689.4,630.2,663.75,325132,
2010-01-14 12:01:00,THERMA,673.0,698.4,665.0,692.0,284092,
2010-01-15 12:01:00,THERMA,697.0,697.0,663.1,674.85,90092,
2010-01-18 12:01:00,THERMA,684.0,689.9,657.0,674.2,58346,
2010-01-19 12:01:00,THERMA,679.9,693.5,670.0,675.35,65099,
2010-01-20 12:01:00,THERMA,684.4,685.0,670.2,672.95,38374,
2010-01-21 12:01:00,THERMA,636.65,747.0,636.65,667.85,744683,
2010-01-22 12:01:00,THERMA,649.0,670.0,631.0,666.35,129833,
2010-01-25 12:01:00,THERMA,659.0,673.8,650.0,655.9,84094,
2010-01-27 12:01:00,THERMA,646.1,679.95,610.0,624.75,221191,
2010-01-28 12:01:00,THERMA,630.0,650.0,617.0,630.75,144593,
2010-01-29 12:01:00,THERMA,620.0,659.0,615.2,648.85,78937,
2010-02-01 12:02:00,THERMA,635.0,662.9,618.05,651.0,139319,
2010-02-02 12:02:00,THERMA,656.0,670.0,628.0,634.2,41759,
2010-02-04 12:02:00,THERMA,650.0,658.0,635.0,636.55,41122,
2010-02-05 12:02:00,THERMA,629.0,632.0,615.1,620.35,144239,
2010-02-06 12:02:00,THERMA,626.5,639.0,622.0,631.9,11317,
2010-02-08 12:02:00,THERMA,631.4,640.0,622.1,625.65,55457,
2010-02-09 12:02:00,THERMA,626.0,632.9,619.0,622.6,64293,
2010-02-10 12:02:00,THERMA,631.9,631.9,605.35,617.35,83657,
2010-02-11 12:02:00,THERMA,624.0,625.0,613.0,620.05,44387,
2010-02-15 12:02:00,THERMA,621.0,627.65,620.0,622.2,28708,
2010-02-16 12:02:00,THERMA,629.9,629.9,610.3,615.2,66236,
2010-02-17 12:02:00,THERMA,622.0,632.9,616.25,623.5,87458,
2010-02-18 12:02:00,THERMA,625.0,628.0,616.35,620.45,28168,
2010-02-19 12:02:00,THERMA,616.85,623.9,598.05,600.2,53174,
2010-02-22 12:02:00,THERMA,605.0,617.9,581.1,585.35,138961,
2010-02-23 12:02:00,THERMA,587.0,587.95,566.1,573.3,223460,
2010-02-24 12:02:00,THERMA,583.45,589.0,560.35,565.35,154592,
2010-02-25 12:02:00,THERMA,560.0,604.0,556.05,584.9,399269,
2010-02-26 12:02:00,THERMA,580.6,599.0,576.15,590.45,51070,
2010-03-02 12:03:00,THERMA,597.0,640.0,595.0,636.2,179410,
2010-03-03 12:03:00,THERMA,644.5,658.0,630.4,634.7,128540,
2010-03-04 12:03:00,THERMA,637.0,641.95,625.0,627.55,63177,
2010-03-05 12:03:00,THERMA,632.0,635.0,626.45,632.9,28472,
2010-03-08 12:03:00,THERMA,636.85,649.8,636.0,640.95,121415,
2010-03-09 12:03:00,THERMA,647.4,667.0,640.0,656.45,146054,
2010-03-10 12:03:00,THERMA,658.0,680.0,658.0,672.3,184621,
2010-03-11 12:03:00,THERMA,675.0,703.7,675.0,687.75,425329,
2010-03-12 12:03:00,THERMA,698.7,698.7,680.0,685.0,67003,
2010-03-15 12:03:00,THERMA,652.6,695.0,652.6,680.45,51106,
2010-03-16 12:03:00,THERMA,685.0,690.0,671.1,674.05,42563,
2010-03-17 12:03:00,THERMA,682.0,695.0,680.0,682.15,89304,
2010-03-18 12:03:00,THERMA,685.0,689.8,680.1,683.45,32420,
2010-03-19 12:03:00,THERMA,685.0,690.0,671.55,675.0,31070,
2010-03-22 12:03:00,THERMA,669.9,680.0,651.0,662.7,172437,
2010-03-23 12:03:00,THERMA,669.0,676.0,660.1,664.05,74806,
2010-03-25 12:03:00,THERMA,670.0,677.0,660.0,667.75,38523,
2010-03-26 12:03:00,THERMA,674.0,684.9,662.0,672.15,91410,
2010-03-29 12:03:00,THERMA,679.85,681.9,663.0,666.45,58929,
2010-03-30 12:03:00,THERMA,670.1,677.0,660.05,673.6,47778,
2010-03-31 12:03:00,THERMA,671.4,687.0,671.0,681.95,53149,
2010-04-01 12:04:00,THERMA,685.0,705.0,685.0,700.75,67415,
2010-04-05 12:04:00,THERMA,705.0,717.0,695.5,701.0,65203,
2010-04-06 12:04:00,THERMA,707.0,708.9,696.0,706.25,28932,
2010-04-07 12:04:00,THERMA,704.9,715.0,702.2,711.6,42322,
2010-04-08 12:04:00,THERMA,709.8,723.0,697.05,718.65,95513,
2010-04-09 12:04:00,THERMA,712.3,725.0,700.05,704.0,60021,
2010-04-12 12:04:00,THERMA,714.9,714.9,703.15,704.1,32164,
2010-04-13 12:04:00,THERMA,707.85,708.0,698.0,700.2,16345,
2010-04-16 12:04:00,THERMA,709.9,721.15,705.35,715.0,66108,
2010-04-19 12:04:00,THERMA,707.0,711.8,700.1,705.4,19920,
2010-04-20 12:04:00,THERMA,709.0,713.0,702.15,710.8,163321,
2010-04-21 12:04:00,THERMA,715.0,719.9,708.15,717.25,15474,
2010-04-22 12:04:00,THERMA,717.25,725.7,711.05,723.1,27908,
2010-04-23 12:04:00,THERMA,718.0,749.0,718.0,730.35,47363,
2010-04-26 12:04:00,THERMA,730.0,743.9,725.0,735.2,50647,
2010-04-27 12:04:00,THERMA,706.4,743.0,706.4,724.0,16109,
2010-04-28 12:04:00,THERMA,721.0,729.0,701.0,716.5,19954,
2010-04-29 12:04:00,THERMA,716.0,728.7,706.0,714.65,49015,
2010-04-30 12:04:00,THERMA,716.0,723.95,715.0,718.0,6239,
2010-05-03 12:05:00,THERMA,715.0,734.75,710.0,716.0,19436,
2010-05-04 12:05:00,THERMA,712.05,725.0,701.6,708.75,16166,
2010-05-05 12:05:00,THERMA,701.0,701.0,681.3,689.75,37052,
2010-05-06 12:05:00,THERMA,689.0,703.7,685.0,695.4,18172,
2010-05-07 12:05:00,THERMA,689.4,690.0,651.1,663.35,73940,
2010-05-10 12:05:00,THERMA,675.8,689.8,675.0,682.35,30696,
2010-05-11 12:05:00,THERMA,682.25,696.0,678.0,680.25,10024,
2010-05-12 12:05:00,THERMA,687.5,687.5,655.05,663.1,81298,
2010-05-13 12:05:00,THERMA,660.0,692.0,650.15,670.35,181384,
2010-05-14 12:05:00,THERMA,665.0,686.0,660.0,681.65,85605,
2010-05-17 12:05:00,THERMA,661.25,679.9,661.25,669.25,30237,
2010-05-18 12:05:00,THERMA,687.4,690.0,670.5,686.85,45815,
2010-05-19 12:05:00,THERMA,692.0,692.0,671.0,680.25,84409,
2010-05-20 12:05:00,THERMA,698.0,698.0,680.0,688.6,11891,
2010-05-24 12:05:00,THERMA,684.0,694.0,684.0,690.0,26858,
2010-05-25 12:05:00,THERMA,684.0,688.0,667.0,677.05,49262,
2010-05-26 12:05:00,THERMA,675.0,699.5,675.0,679.3,21021,
2010-05-27 12:05:00,THERMA,691.95,699.0,675.5,691.25,19087,
2010-05-28 12:05:00,THERMA,698.0,704.0,690.0,701.5,42167,
2010-05-31 12:05:00,THERMA,703.0,710.0,699.0,702.3,38361,
2010-06-01 12:06:00,THERMA,702.0,715.0,692.25,698.75,115612,
2010-06-02 12:06:00,THERMA,696.0,704.8,684.4,685.3,33112,
2010-06-03 12:06:00,THERMA,697.55,698.95,682.35,685.4,16803,
2010-06-04 12:06:00,THERMA,690.0,698.6,683.05,687.75,79422,
2010-06-07 12:06:00,THERMA,671.1,684.0,665.0,680.35,16239,
2010-06-08 12:06:00,THERMA,674.0,699.5,674.0,697.0,76886,
2010-06-09 12:06:00,THERMA,700.0,712.7,698.0,704.15,45276,
2010-06-10 12:06:00,THERMA,706.2,708.0,698.05,702.85,9029,
2010-06-11 12:06:00,THERMA,709.0,713.0,692.15,696.2,11652,
2010-06-14 12:06:00,THERMA,696.2,702.0,688.1,694.2,14045,
2010-06-15 12:06:00,THERMA,699.0,704.95,695.3,702.1,21029,
2010-06-16 12:06:00,THERMA,702.5,734.0,702.5,721.2,86861,
2010-06-17 12:06:00,THERMA,728.0,729.0,695.15,710.35,51366,
2010-06-18 12:06:00,THERMA,729.0,729.0,704.0,706.0,28735,
2010-06-21 12:06:00,THERMA,718.0,738.95,715.0,733.15,46665,
2010-06-22 12:06:00,THERMA,738.0,743.85,730.0,739.25,85410,
2010-06-23 12:06:00,THERMA,725.55,738.95,718.5,721.7,25065,
2010-06-24 12:06:00,THERMA,730.0,733.0,710.0,713.15,69462,
2010-06-25 12:06:00,THERMA,712.0,717.9,701.4,706.4,10378,
2010-06-28 12:06:00,THERMA,707.0,724.95,696.65,723.15,28187,
2010-06-30 12:06:00,THERMA,720.0,765.5,706.0,755.0,335261,
2010-07-01 12:07:00,THERMA,755.0,765.0,741.4,745.65,54640,
2010-07-02 12:07:00,THERMA,745.65,750.8,740.0,746.85,23012,
2010-07-05 12:07:00,THERMA,741.0,772.9,738.05,752.25,40410,
2010-07-06 12:07:00,THERMA,754.0,784.0,750.0,765.3,173727,
2010-07-07 12:07:00,THERMA,755.0,767.95,752.0,754.8,35526,
2010-07-08 12:07:00,THERMA,758.1,763.9,745.0,748.7,24955,
2010-07-09 12:07:00,THERMA,751.05,757.85,726.2,743.9,28977,
2010-07-12 12:07:00,THERMA,749.95,749.95,732.6,737.55,122879,
2010-07-13 12:07:00,THERMA,742.0,748.0,737.3,743.75,20569,
2010-07-14 12:07:00,THERMA,759.0,759.0,740.1,750.55,111292,
2010-07-15 12:07:00,THERMA,752.2,779.95,745.0,772.25,46518,
2010-07-16 12:07:00,THERMA,772.25,775.0,756.0,759.8,24920,
2010-07-19 12:07:00,THERMA,759.8,784.0,753.0,772.95,45899,
2010-07-20 12:07:00,THERMA,773.1,782.0,766.1,770.95,15976,
2010-07-21 12:07:00,THERMA,777.95,797.0,772.0,791.6,333486,
2010-07-22 12:07:00,THERMA,797.0,814.0,795.0,810.1,145097,
2010-07-23 12:07:00,THERMA,813.0,814.0,772.05,776.25,61922,
2010-07-26 12:07:00,THERMA,782.0,785.0,765.0,770.6,248118,
2010-07-27 12:07:00,THERMA,755.2,784.0,755.2,762.15,27545,
2010-07-29 12:07:00,THERMA,706.65,761.9,706.65,746.0,50101,
2010-07-30 12:07:00,THERMA,753.0,779.7,735.1,759.0,58668,
2010-08-02 12:08:00,THERMA,779.9,779.9,750.0,756.35,30072,
2010-08-03 12:08:00,THERMA,654.9,761.8,654.9,744.45,71949,
2010-08-04 12:08:00,THERMA,745.0,779.15,742.0,769.85,135612,
2010-08-05 12:08:00,THERMA,771.5,779.0,750.05,751.05,31163,
2010-08-06 12:08:00,THERMA,755.15,768.0,755.15,761.2,18389,
2010-08-09 12:08:00,THERMA,766.95,766.95,751.1,761.1,27002,
2010-08-10 12:08:00,THERMA,761.1,777.0,751.0,756.05,18943,
2010-08-11 12:08:00,THERMA,766.25,774.0,755.25,766.75,16277,
2010-08-12 12:08:00,THERMA,765.0,777.0,751.1,757.35,88649,
2010-08-13 12:08:00,THERMA,751.1,764.0,742.2,745.05,59159,
2010-08-16 12:08:00,THERMA,749.9,749.9,742.25,744.7,53617,
2010-08-17 12:08:00,THERMA,751.0,762.95,745.0,755.0,20614,
2010-08-18 12:08:00,THERMA,758.0,764.9,753.0,756.15,26452,
2010-08-19 12:08:00,THERMA,762.9,762.9,751.0,755.9,71328,
2010-08-20 12:08:00,THERMA,759.9,774.7,752.2,763.75,38166,
2010-08-23 12:08:00,THERMA,771.9,771.9,760.0,763.25,7055,
2010-08-24 12:08:00,THERMA,760.55,770.0,760.55,764.65,29871,
2010-08-25 12:08:00,THERMA,748.55,768.9,747.1,753.45,48741,
2010-08-26 12:08:00,THERMA,755.0,763.8,750.0,752.65,22244,
2010-08-30 12:08:00,THERMA,755.0,764.0,748.0,750.75,39498,
2010-08-31 12:08:00,THERMA,738.0,760.8,738.0,758.15,49516,
2010-09-01 12:09:00,THERMA,759.0,776.4,751.05,756.6,89703,
2010-09-02 12:09:00,THERMA,764.2,770.95,762.0,765.2,109604,
2010-09-03 12:09:00,THERMA,770.0,802.0,752.0,784.65,87955,
2010-09-06 12:09:00,THERMA,837.25,837.25,784.0,792.85,139073,
2010-09-07 12:09:00,THERMA,795.0,814.0,790.0,792.45,75052,
2010-09-08 12:09:00,THERMA,796.9,812.0,785.6,797.6,148527,
2010-09-09 12:09:00,THERMA,797.0,802.0,778.0,787.55,38421,
2010-09-13 12:09:00,THERMA,799.9,807.7,791.3,796.0,68268,
2010-09-14 12:09:00,THERMA,799.0,813.75,796.0,808.1,104319,
2010-09-15 12:09:00,THERMA,812.4,818.0,799.0,802.0,70832,
2010-09-16 12:09:00,THERMA,829.0,829.0,771.0,772.55,57345,
2010-09-17 12:09:00,THERMA,783.0,788.85,775.0,784.6,30193,
2010-09-20 12:09:00,THERMA,780.0,811.9,780.0,803.85,126061,
2010-09-21 12:09:00,THERMA,803.9,806.5,772.0,796.35,45184,
2010-09-22 12:09:00,THERMA,790.0,806.5,782.3,789.8,47630,
2010-09-23 12:09:00,THERMA,788.0,804.9,782.0,789.15,55819,
2010-09-24 12:09:00,THERMA,798.0,798.0,782.0,789.75,145677,
2010-09-27 12:09:00,THERMA,791.2,799.9,780.0,786.15,75282,
2010-09-28 12:09:00,THERMA,791.9,794.0,780.0,786.9,33598,
2010-09-29 12:09:00,THERMA,794.0,867.0,784.0,790.75,51366,
2010-09-30 12:09:00,THERMA,788.25,806.4,781.0,800.55,58698,
2010-10-01 12:10:00,THERMA,800.0,804.8,793.0,800.2,13643,
2010-10-06 12:10:00,THERMA,805.0,813.0,787.6,794.7,75064,
2010-10-07 12:10:00,THERMA,796.5,838.4,796.5,824.15,144941,
2010-10-08 12:10:00,THERMA,829.0,834.0,801.05,803.95,37843,
2010-10-11 12:10:00,THERMA,816.0,830.5,804.0,810.7,88052,
2010-10-12 12:10:00,THERMA,814.95,815.0,795.5,804.1,129630,
2010-10-13 12:10:00,THERMA,808.1,809.45,797.5,805.4,117723,
2010-10-14 12:10:00,THERMA,805.0,812.0,798.05,800.65,123314,
2010-10-15 12:10:00,THERMA,800.0,805.0,780.0,783.4,64810,
2010-10-18 12:10:00,THERMA,798.4,798.4,782.0,792.9,23057,
2010-10-19 12:10:00,THERMA,794.0,803.0,784.0,790.35,17468,
2010-10-20 12:10:00,THERMA,786.0,790.35,770.0,775.3,58785,
2010-10-21 12:10:00,THERMA,788.0,788.0,767.0,780.6,59622,
2010-10-22 12:10:00,THERMA,788.0,788.0,780.0,785.9,32042,
2010-10-25 12:10:00,THERMA,792.0,797.85,781.6,784.45,35356,
2010-10-26 12:10:00,THERMA,788.0,790.0,782.6,784.35,89606,
2010-10-27 12:10:00,THERMA,788.0,803.0,785.1,799.35,43603,
2010-10-28 12:10:00,THERMA,807.0,860.0,807.0,852.45,328506,
2010-10-29 12:10:00,THERMA,852.0,880.0,850.0,861.9,340847,
2010-11-01 12:11:00,THERMA,874.8,895.0,843.0,884.5,79156,
2010-11-02 12:11:00,THERMA,880.0,890.0,865.0,870.6,124503,
2010-11-03 12:11:00,THERMA,884.0,892.0,871.25,886.8,75569,
2010-11-04 12:11:00,THERMA,899.9,930.0,881.2,904.5,264364,
2010-11-05 12:11:00,THERMA,915.0,919.7,904.0,913.7,10928,
2010-11-08 12:11:00,THERMA,880.3,914.9,875.0,892.4,41272,
2010-11-09 12:11:00,THERMA,878.2,899.0,861.0,877.55,234210,
2010-11-10 12:11:00,THERMA,884.0,897.9,848.5,853.2,134925,
2010-11-11 12:11:00,THERMA,856.0,885.0,850.1,875.9,118105,
2010-11-12 12:11:00,THERMA,880.0,892.5,849.05,862.25,65737,
2010-11-15 12:11:00,THERMA,860.0,887.9,850.1,884.05,43009,
2010-11-16 12:11:00,THERMA,880.1,895.0,875.0,882.05,46916,
2010-11-18 12:11:00,THERMA,891.55,895.0,883.0,888.5,52216,
2010-11-19 12:11:00,THERMA,897.4,897.4,868.5,874.55,18120,
2010-11-22 12:11:00,THERMA,879.0,893.4,869.0,877.3,15786,
2010-11-23 12:11:00,THERMA,877.0,880.0,860.05,869.35,21359,
2010-11-24 12:11:00,THERMA,880.0,908.95,862.5,892.7,76616,
2010-11-25 12:11:00,THERMA,892.3,914.3,888.5,899.6,60432,
2010-11-26 12:11:00,THERMA,900.0,905.0,855.0,885.4,30321,
2010-11-29 12:11:00,THERMA,885.05,894.9,865.0,880.4,24406,
2010-11-30 12:11:00,THERMA,885.3,891.0,875.0,881.75,73398,
2010-12-01 12:12:00,THERMA,886.0,886.0,875.0,879.6,18004,
2010-12-02 12:12:00,THERMA,881.15,888.7,865.0,870.4,47265,
2010-12-03 12:12:00,THERMA,875.2,880.0,867.05,869.15,19909,
2010-12-06 12:12:00,THERMA,876.0,879.9,866.0,868.95,92713,
2010-12-07 12:12:00,THERMA,866.7,875.0,849.3,852.6,20985,
2010-12-08 12:12:00,THERMA,852.0,863.0,848.0,855.9,20871,
2010-12-09 12:12:00,THERMA,855.1,863.0,835.1,836.75,26488,
2010-12-10 12:12:00,THERMA,835.0,868.0,824.0,840.05,316922,
2010-12-13 12:12:00,THERMA,840.05,868.0,840.05,855.85,146481,
2010-12-14 12:12:00,THERMA,860.0,883.5,851.0,875.25,186506,
2010-12-15 12:12:00,THERMA,884.95,884.95,851.0,853.1,17716,
2010-12-16 12:12:00,THERMA,853.2,860.0,845.5,851.05,14729,
2010-12-20 12:12:00,THERMA,860.0,860.0,840.0,842.25,33911,
2010-12-21 12:12:00,THERMA,852.65,852.65,845.0,851.1,5514,
2010-12-22 12:12:00,THERMA,864.4,864.4,835.0,841.95,25257,
2010-12-23 12:12:00,THERMA,850.0,850.0,826.5,838.15,136853,
2010-12-24 12:12:00,THERMA,838.95,842.0,835.1,838.75,108156,
2010-12-27 12:12:00,THERMA,843.4,850.0,835.05,838.2,8073,
2010-12-28 12:12:00,THERMA,848.9,848.9,835.25,844.2,15383,
2010-12-29 12:12:00,THERMA,847.25,850.05,836.15,840.55,13181,
2010-12-30 12:12:00,THERMA,850.0,895.0,841.35,870.05,43366,
2010-12-31 12:12:00,THERMA,872.5,885.0,850.25,871.55,14356,
2011-01-03 12:01:00,THERMA,879.9,895.0,864.1,885.3,41406,
2011-01-04 12:01:00,THERMA,889.05,908.85,886.0,889.9,63347,
2011-01-05 12:01:00,THERMA,899.0,899.0,855.15,865.3,24066,
2011-01-06 12:01:00,THERMA,867.1,869.4,835.25,840.4,30059,
2011-01-07 12:01:00,THERMA,849.9,849.9,820.0,825.7,17721,
2011-01-10 12:01:00,THERMA,830.0,834.7,792.25,805.0,36742,
2011-01-11 12:01:00,THERMA,780.6,805.0,780.6,794.15,23938,
2011-01-12 12:01:00,THERMA,799.0,800.0,782.5,783.65,31590,
2011-01-13 12:01:00,THERMA,790.5,790.5,772.0,773.25,75321,
2011-01-14 12:01:00,THERMA,754.6,777.0,748.0,756.7,56455,
2011-01-17 12:01:00,THERMA,741.6,759.9,731.5,736.15,91584,
2011-01-18 12:01:00,THERMA,736.0,749.85,716.55,723.5,98463,
2011-01-19 12:01:00,THERMA,725.0,736.5,720.0,724.25,19502,
2011-01-21 12:01:00,THERMA,698.5,709.9,691.15,701.45,22171,
2011-01-24 12:01:00,THERMA,714.0,725.0,700.0,720.15,35651,
2011-01-25 12:01:00,THERMA,636.0,732.95,636.0,713.1,68207,
2011-01-27 12:01:00,THERMA,716.0,728.0,698.0,700.45,133276,
2011-01-28 12:01:00,THERMA,715.0,720.0,650.5,663.3,179100,
2011-01-31 12:01:00,THERMA,663.3,686.7,649.8,673.35,255447,
2011-02-01 12:02:00,THERMA,678.0,685.05,669.0,670.35,321480,
2011-02-03 12:02:00,THERMA,673.45,673.85,650.0,651.2,295496,
2011-02-04 12:02:00,THERMA,653.3,673.0,650.1,656.3,100561,
2011-02-07 12:02:00,THERMA,660.0,660.0,625.0,630.6,73111,
2011-02-08 12:02:00,THERMA,630.0,632.7,612.0,617.95,102057,
2011-02-09 12:02:00,THERMA,620.0,623.9,590.0,606.55,109040,
2011-02-10 12:02:00,THERMA,590.0,615.0,575.1,591.95,142499,
2011-02-11 12:02:00,THERMA,600.0,624.0,577.85,603.6,115436,
2011-02-14 12:02:00,THERMA,599.9,650.0,599.9,639.7,153274,
2011-02-15 12:02:00,THERMA,648.0,652.55,626.0,632.9,22421,
2011-02-16 12:02:00,THERMA,631.0,651.5,631.0,642.25,40593,
2011-02-17 12:02:00,THERMA,643.0,650.0,631.25,645.85,93704,
2011-02-18 12:02:00,THERMA,649.95,650.5,635.3,642.2,90667,
2011-02-21 12:02:00,THERMA,642.2,642.25,629.2,631.6,15839,
2011-02-22 12:02:00,THERMA,636.4,636.4,601.5,604.4,40677,
2011-02-23 12:02:00,THERMA,610.0,614.0,595.15,601.45,38089,
2011-02-24 12:02:00,THERMA,606.0,615.0,602.0,605.05,105760,
2011-02-25 12:02:00,THERMA,611.85,611.9,586.0,599.7,16903,
2011-02-28 12:02:00,THERMA,608.0,608.7,536.55,556.15,338596,
2011-03-01 12:03:00,THERMA,571.1,608.0,571.1,601.6,102461,
2011-03-03 12:03:00,THERMA,605.0,607.0,580.25,599.5,47423,
2011-03-04 12:03:00,THERMA,605.0,612.0,599.0,600.95,28293,
2011-03-07 12:03:00,THERMA,595.2,619.95,591.25,604.6,64613,
2011-03-08 12:03:00,THERMA,605.0,614.95,593.25,609.7,31778,
2011-03-09 12:03:00,THERMA,610.5,614.9,601.0,607.35,16721,
2011-03-10 12:03:00,THERMA,611.8,611.8,592.0,600.1,31572,
2011-03-11 12:03:00,THERMA,601.0,610.0,591.0,606.5,43256,
2011-03-14 12:03:00,THERMA,608.25,610.0,592.2,600.1,111984,
2011-03-15 12:03:00,THERMA,598.0,610.0,591.0,597.15,92928,
2011-03-16 12:03:00,THERMA,589.95,590.0,576.15,580.5,103779,
2011-03-17 12:03:00,THERMA,580.0,588.95,570.9,576.2,65098,
2011-03-18 12:03:00,THERMA,583.0,592.5,572.0,574.25,29381,
2011-03-21 12:03:00,THERMA,579.0,579.0,557.0,565.55,33798,
2011-03-22 12:03:00,THERMA,567.05,573.55,565.0,572.5,52912,
2011-03-23 12:03:00,THERMA,569.0,586.15,569.0,581.9,31201,
2011-03-24 12:03:00,THERMA,585.0,589.8,581.0,584.8,75355,
2011-03-25 12:03:00,THERMA,589.0,611.75,586.7,591.2,142406,
2011-03-28 12:03:00,THERMA,596.95,604.7,593.0,597.25,58991,
2011-03-29 12:03:00,THERMA,599.0,613.0,584.0,586.8,82261,
2011-03-30 12:03:00,THERMA,594.55,625.0,584.0,617.15,134218,
2011-03-31 12:03:00,THERMA,620.05,635.0,590.05,602.9,283835,
2011-04-01 12:04:00,THERMA,607.0,639.95,605.05,633.95,115762,
2011-04-04 12:04:00,THERMA,633.45,688.0,633.45,662.1,362774,
2011-04-05 12:04:00,THERMA,671.1,680.0,661.55,667.7,52024,
2011-04-06 12:04:00,THERMA,670.0,674.9,662.55,669.9,88234,
2011-04-07 12:04:00,THERMA,668.0,685.5,666.0,682.95,72989,
2011-04-08 12:04:00,THERMA,685.0,714.8,685.0,696.0,161687,
2011-04-11 12:04:00,THERMA,690.0,718.0,690.0,705.2,193204,
2011-04-13 12:04:00,THERMA,700.0,703.0,691.1,695.3,52867,
2011-04-15 12:04:00,THERMA,693.05,709.0,685.0,687.25,44219,
2011-04-18 12:04:00,THERMA,697.7,700.0,652.9,658.3,58266,
2011-04-19 12:04:00,THERMA,658.0,669.65,654.5,656.05,26184,
2011-04-20 12:04:00,THERMA,656.0,720.0,656.0,666.95,159428,
2011-04-21 12:04:00,THERMA,679.35,688.0,669.05,673.4,54322,
2011-04-25 12:04:00,THERMA,675.0,681.75,656.25,657.65,54357,
2011-04-26 12:04:00,THERMA,646.1,663.9,640.6,650.35,45582,
2011-04-27 12:04:00,THERMA,655.0,674.0,655.0,658.85,55615,
2011-04-28 12:04:00,THERMA,665.2,679.9,656.6,661.25,108933,
2011-04-29 12:04:00,THERMA,665.0,668.1,638.4,647.15,44825,
2011-05-02 12:05:00,THERMA,658.9,658.9,640.0,646.45,43266,
2011-05-03 12:05:00,THERMA,650.2,663.0,638.1,640.0,111351,
2011-05-04 12:05:00,THERMA,644.25,658.9,612.0,613.3,240003,
2011-05-05 12:05:00,THERMA,612.0,625.0,586.05,591.75,177982,
2011-05-06 12:05:00,THERMA,598.65,600.3,590.0,596.7,172420,
2011-05-09 12:05:00,THERMA,601.2,608.5,600.0,605.75,254139,
2011-05-10 12:05:00,THERMA,608.0,624.75,606.8,612.0,154876,
2011-05-11 12:05:00,THERMA,619.0,619.0,593.05,595.1,166334,
2011-05-12 12:05:00,THERMA,595.2,603.2,591.95,594.0,55032,
2011-05-13 12:05:00,THERMA,600.0,606.9,590.25,599.75,29023,
2011-05-16 12:05:00,THERMA,604.8,604.8,586.1,588.45,52461,
2011-05-17 12:05:00,THERMA,590.0,592.05,581.1,585.3,25043,
2011-05-18 12:05:00,THERMA,588.0,591.95,585.0,589.35,17405,
2011-05-19 12:05:00,THERMA,593.1,594.9,575.9,577.75,42422,
2011-05-20 12:05:00,THERMA,577.75,585.9,571.95,582.0,29901,
2011-05-23 12:05:00,THERMA,585.0,598.0,564.5,588.55,36776,
2011-05-24 12:05:00,THERMA,573.0,595.3,573.0,586.8,41420,
2011-05-25 12:05:00,THERMA,581.0,590.0,577.0,583.9,12084,
2011-05-26 12:05:00,THERMA,584.5,592.0,582.55,586.25,16944,
2011-05-27 12:05:00,THERMA,594.5,594.5,586.0,591.2,14690,
2011-05-30 12:05:00,THERMA,595.9,597.0,587.0,589.9,29272,
2011-05-31 12:05:00,THERMA,594.0,614.0,590.0,604.75,184368,
2011-06-01 12:06:00,THERMA,608.9,609.5,600.1,605.85,52358,
2011-06-02 12:06:00,THERMA,601.25,606.9,594.0,598.9,52282,
2011-06-03 12:06:00,THERMA,592.0,609.9,584.6,603.7,32059,
2011-06-06 12:06:00,THERMA,601.0,639.0,591.0,618.9,130071,
