datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,THICHE,12.8,13.39,12.8,12.96,4213,
2010-01-05 12:01:00,THICHE,12.81,13.18,12.81,12.89,4165,
2010-01-06 12:01:00,THICHE,12.78,13.1,12.78,12.96,4189,
2010-01-07 12:01:00,THICHE,13.0,13.1,12.77,12.86,3502,
2010-01-08 12:01:00,THICHE,12.85,12.93,12.71,12.74,3469,
2010-01-11 12:01:00,THICHE,12.7,13.9,12.68,13.36,28535,
2010-01-12 12:01:00,THICHE,13.3,13.3,12.52,12.63,8639,
2010-01-13 12:01:00,THICHE,12.45,12.79,12.45,12.74,3605,
2010-01-14 12:01:00,THICHE,13.3,13.45,12.61,13.21,12872,
2010-01-15 12:01:00,THICHE,13.09,13.33,13.03,13.04,3024,
2010-01-18 12:01:00,THICHE,13.14,14.25,13.07,13.84,79448,
2010-01-19 12:01:00,THICHE,13.85,14.8,13.8,13.93,84499,
2010-01-20 12:01:00,THICHE,14.2,14.2,13.33,13.6,13932,
2010-01-21 12:01:00,THICHE,13.59,13.61,13.14,13.48,9278,
2010-01-22 12:01:00,THICHE,13.05,13.4,12.92,13.03,12098,
2010-01-25 12:01:00,THICHE,12.85,12.88,12.7,12.78,3144,
2010-01-27 12:01:00,THICHE,12.8,12.8,11.91,12.1,6387,
2010-01-28 12:01:00,THICHE,12.03,12.39,12.0,12.15,4385,
2010-01-29 12:01:00,THICHE,11.86,12.29,11.78,12.17,2086,
2010-02-01 12:02:00,THICHE,12.31,12.49,12.26,12.49,1126,
2010-02-02 12:02:00,THICHE,12.86,12.87,12.36,12.43,1156,
2010-02-04 12:02:00,THICHE,12.3,12.3,12.04,12.05,2758,
2010-02-05 12:02:00,THICHE,12.05,12.05,11.33,11.41,3896,
2010-02-06 12:02:00,THICHE,11.67,11.67,11.67,11.67,50,
2010-02-08 12:02:00,THICHE,11.7,11.79,11.43,11.6,2308,
2010-02-09 12:02:00,THICHE,11.75,11.75,11.5,11.64,1455,
2010-02-10 12:02:00,THICHE,11.55,11.78,11.51,11.56,1258,
2010-02-11 12:02:00,THICHE,11.74,11.74,11.54,11.58,580,
2010-02-15 12:02:00,THICHE,11.7,11.8,11.6,11.65,333,
2010-02-16 12:02:00,THICHE,11.6,11.84,11.6,11.8,6920,
2010-02-17 12:02:00,THICHE,11.95,12.06,11.85,12.06,1519,
2010-02-18 12:02:00,THICHE,11.91,11.91,11.8,11.86,1291,
2010-02-19 12:02:00,THICHE,11.72,11.78,11.72,11.76,213,
