datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,TRILTD,1.5,1.55,1.47,1.52,730999,
2010-01-05 12:01:00,TRILTD,1.5,1.55,1.5,1.51,534238,
2010-01-06 12:01:00,TRILTD,1.54,1.54,1.49,1.5,366723,
2010-01-07 12:01:00,TRILTD,1.45,1.61,1.45,1.56,2217298,
2010-01-08 12:01:00,TRILTD,1.58,1.62,1.56,1.57,1907496,
2010-01-11 12:01:00,TRILTD,1.59,1.86,1.59,1.79,7053436,
2010-01-12 12:01:00,TRILTD,1.81,1.89,1.7,1.73,3183651,
2010-01-13 12:01:00,TRILTD,1.68,1.76,1.65,1.74,1202630,
2010-01-14 12:01:00,TRILTD,1.75,1.78,1.72,1.73,741583,
2010-01-15 12:01:00,TRILTD,1.75,1.75,1.67,1.69,553428,
2010-01-18 12:01:00,TRILTD,1.67,1.74,1.65,1.68,543083,
2010-01-19 12:01:00,TRILTD,1.72,1.83,1.69,1.79,2036848,
2010-01-20 12:01:00,TRILTD,1.83,1.94,1.83,1.87,3487580,
2010-01-21 12:01:00,TRILTD,1.87,1.9,1.74,1.76,2193109,
2010-01-22 12:01:00,TRILTD,1.7,1.76,1.63,1.73,1673866,
2010-01-25 12:01:00,TRILTD,1.71,1.8,1.65,1.66,815876,
2010-01-27 12:01:00,TRILTD,1.7,1.7,1.51,1.54,840688,
2010-01-28 12:01:00,TRILTD,1.58,1.59,1.53,1.54,617646,
2010-01-29 12:01:00,TRILTD,1.54,1.56,1.49,1.55,638941,
2010-02-01 12:02:00,TRILTD,1.55,1.64,1.52,1.63,486549,
2010-02-02 12:02:00,TRILTD,1.62,1.67,1.55,1.56,320122,
2010-02-04 12:02:00,TRILTD,1.59,1.63,1.53,1.54,315524,
2010-02-05 12:02:00,TRILTD,1.45,1.53,1.45,1.48,533090,
2010-02-06 12:02:00,TRILTD,1.5,1.53,1.49,1.52,56004,
2010-02-08 12:02:00,TRILTD,1.53,1.55,1.48,1.51,220604,
2010-02-09 12:02:00,TRILTD,1.55,1.59,1.53,1.53,156302,
2010-02-10 12:02:00,TRILTD,1.53,1.56,1.51,1.52,182314,
2010-02-11 12:02:00,TRILTD,1.52,1.55,1.51,1.52,185636,
2010-02-15 12:02:00,TRILTD,1.53,1.56,1.49,1.51,242973,
2010-02-16 12:02:00,TRILTD,1.51,1.53,1.48,1.53,227590,
2010-02-17 12:02:00,TRILTD,1.55,1.55,1.49,1.5,247772,
2010-02-18 12:02:00,TRILTD,1.54,1.54,1.48,1.48,139819,
2010-02-19 12:02:00,TRILTD,1.48,1.49,1.45,1.46,160609,
2010-02-22 12:02:00,TRILTD,1.47,1.49,1.45,1.46,130652,
2010-02-23 12:02:00,TRILTD,1.45,1.47,1.41,1.43,123763,
2010-02-24 12:02:00,TRILTD,1.4,1.44,1.39,1.4,175892,
2010-02-25 12:02:00,TRILTD,1.42,1.42,1.37,1.38,225792,
2010-02-26 12:02:00,TRILTD,1.38,1.48,1.36,1.39,369487,
2010-03-02 12:03:00,TRILTD,1.45,1.45,1.41,1.41,118122,
2010-03-03 12:03:00,TRILTD,1.43,1.45,1.4,1.4,192931,
2010-03-04 12:03:00,TRILTD,1.4,1.45,1.4,1.41,412745,
2010-03-05 12:03:00,TRILTD,1.44,1.45,1.41,1.44,199588,
2010-03-08 12:03:00,TRILTD,1.46,1.5,1.43,1.44,175240,
2010-03-09 12:03:00,TRILTD,1.45,1.46,1.42,1.43,85719,
2010-03-10 12:03:00,TRILTD,1.46,1.55,1.45,1.52,980908,
2010-03-11 12:03:00,TRILTD,1.54,1.54,1.47,1.48,228317,
2010-03-12 12:03:00,TRILTD,1.49,1.52,1.44,1.44,132660,
2010-03-15 12:03:00,TRILTD,1.41,1.45,1.39,1.41,164575,
2010-03-16 12:03:00,TRILTD,1.42,1.47,1.38,1.44,135566,
2010-03-17 12:03:00,TRILTD,1.45,1.46,1.42,1.42,115025,
2010-03-18 12:03:00,TRILTD,1.42,1.53,1.42,1.46,467445,
2010-03-19 12:03:00,TRILTD,1.48,1.53,1.46,1.48,541057,
2010-03-22 12:03:00,TRILTD,1.48,1.52,1.45,1.46,187628,
2010-03-23 12:03:00,TRILTD,1.46,1.48,1.44,1.45,133732,
2010-03-25 12:03:00,TRILTD,1.45,1.47,1.41,1.43,111310,
2010-03-26 12:03:00,TRILTD,1.44,1.45,1.4,1.41,123943,
2010-03-29 12:03:00,TRILTD,1.43,1.44,1.4,1.42,233578,
2010-03-30 12:03:00,TRILTD,1.44,1.45,1.41,1.43,92130,
2010-03-31 12:03:00,TRILTD,1.45,1.46,1.41,1.42,157088,
2010-04-01 12:04:00,TRILTD,1.44,1.53,1.42,1.51,387936,
2010-04-05 12:04:00,TRILTD,1.53,1.76,1.5,1.71,2387399,
2010-04-06 12:04:00,TRILTD,1.71,1.73,1.61,1.63,556606,
2010-04-07 12:04:00,TRILTD,1.65,1.77,1.61,1.73,732050,
2010-04-08 12:04:00,TRILTD,1.77,1.95,1.73,1.81,2797281,
2010-04-09 12:04:00,TRILTD,1.85,1.91,1.81,1.82,602812,
2010-04-12 12:04:00,TRILTD,1.83,1.92,1.79,1.84,901509,
2010-04-13 12:04:00,TRILTD,1.86,1.91,1.83,1.87,565920,
2010-04-16 12:04:00,TRILTD,1.83,1.87,1.82,1.83,245587,
