datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,TVSMOT,32.75,37.15,32.5,35.38,9628559,
2010-01-05 12:01:00,TVSMOT,36.0,36.5,35.13,35.38,2663880,
2010-01-06 12:01:00,TVSMOT,35.75,35.75,33.75,34.03,1231219,
2010-01-07 12:01:00,TVSMOT,34.05,34.25,33.25,33.68,1134434,
2010-01-08 12:01:00,TVSMOT,33.9,34.58,33.55,33.95,982651,
2010-01-11 12:01:00,TVSMOT,34.5,38.4,34.25,37.8,4970288,
2010-01-12 12:01:00,TVSMOT,38.0,39.4,36.55,38.6,5541757,
2010-01-13 12:01:00,TVSMOT,37.6,39.9,37.13,39.03,3642686,
2010-01-14 12:01:00,TVSMOT,39.25,39.75,38.5,38.73,1286317,
2010-01-15 12:01:00,TVSMOT,39.5,39.5,38.03,38.38,729462,
2010-01-18 12:01:00,TVSMOT,38.38,39.1,37.8,38.53,738685,
2010-01-19 12:01:00,TVSMOT,38.55,39.0,38.08,38.68,864522,
2010-01-20 12:01:00,TVSMOT,39.65,40.83,38.28,39.1,2778581,
2010-01-21 12:01:00,TVSMOT,39.33,39.45,36.2,36.58,1213274,
2010-01-22 12:01:00,TVSMOT,35.5,37.7,34.3,37.18,1606525,
2010-01-25 12:01:00,TVSMOT,36.7,37.93,36.15,37.15,628317,
2010-01-27 12:01:00,TVSMOT,36.85,38.45,34.75,35.55,1145809,
2010-01-28 12:01:00,TVSMOT,35.75,37.0,34.1,34.85,539323,
2010-01-29 12:01:00,TVSMOT,34.05,37.6,33.0,36.83,1432350,
2010-02-01 12:02:00,TVSMOT,36.5,37.73,36.38,37.03,876903,
2010-02-02 12:02:00,TVSMOT,37.45,38.0,36.0,36.33,539635,
2010-02-04 12:02:00,TVSMOT,35.5,36.4,34.75,35.08,389988,
2010-02-05 12:02:00,TVSMOT,34.08,35.25,30.13,34.85,470901,
2010-02-06 12:02:00,TVSMOT,35.38,36.0,34.88,35.05,108558,
2010-02-08 12:02:00,TVSMOT,35.25,35.45,34.25,34.5,223613,
2010-02-09 12:02:00,TVSMOT,35.4,35.45,34.28,34.65,251067,
2010-02-10 12:02:00,TVSMOT,34.5,35.75,31.6,34.33,491448,
2010-02-11 12:02:00,TVSMOT,35.25,35.48,34.48,34.75,243890,
2010-02-15 12:02:00,TVSMOT,35.0,35.2,33.9,34.15,192948,
2010-02-16 12:02:00,TVSMOT,34.48,34.85,34.25,34.53,339796,
2010-02-17 12:02:00,TVSMOT,35.0,35.2,33.33,33.48,593333,
2010-02-18 12:02:00,TVSMOT,33.85,33.85,32.85,33.03,228142,
2010-02-19 12:02:00,TVSMOT,32.05,33.0,31.53,31.68,325507,
2010-02-22 12:02:00,TVSMOT,32.65,32.8,30.6,31.03,286532,
2010-02-23 12:02:00,TVSMOT,31.05,31.2,29.9,30.08,418501,
2010-02-24 12:02:00,TVSMOT,29.75,32.9,29.0,31.98,941125,
2010-02-25 12:02:00,TVSMOT,32.5,33.65,31.35,32.95,1646030,
2010-02-26 12:02:00,TVSMOT,32.85,35.65,32.0,35.18,1720697,
2010-03-02 12:03:00,TVSMOT,36.5,39.13,35.65,38.6,3193311,
2010-03-03 12:03:00,TVSMOT,38.98,39.0,37.0,37.75,1097011,
2010-03-04 12:03:00,TVSMOT,37.9,37.9,36.05,37.1,536161,
2010-03-05 12:03:00,TVSMOT,37.73,39.4,37.0,37.73,1369574,
2010-03-08 12:03:00,TVSMOT,38.65,39.05,37.75,37.9,1238117,
2010-03-09 12:03:00,TVSMOT,38.13,38.9,37.78,38.1,610565,
2010-03-10 12:03:00,TVSMOT,38.4,38.4,37.25,37.45,411028,
2010-03-11 12:03:00,TVSMOT,37.5,37.95,36.55,36.7,1098693,
2010-03-12 12:03:00,TVSMOT,37.3,37.95,36.65,36.85,417976,
2010-03-15 12:03:00,TVSMOT,36.6,37.35,36.25,36.93,234417,
2010-03-16 12:03:00,TVSMOT,37.05,39.2,37.05,38.98,1428236,
2010-03-17 12:03:00,TVSMOT,39.4,40.13,38.65,38.93,1261501,
2010-03-18 12:03:00,TVSMOT,38.93,39.0,38.05,38.75,370401,
2010-03-19 12:03:00,TVSMOT,38.8,39.98,37.58,39.73,900668,
2010-03-22 12:03:00,TVSMOT,38.25,39.25,37.8,38.0,542370,
2010-03-23 12:03:00,TVSMOT,38.45,39.75,38.3,39.35,764006,
2010-03-25 12:03:00,TVSMOT,38.5,39.73,38.5,38.8,284991,
2010-03-26 12:03:00,TVSMOT,38.85,39.95,38.75,39.15,569593,
2010-03-29 12:03:00,TVSMOT,38.65,39.73,38.05,38.55,455441,
2010-03-30 12:03:00,TVSMOT,39.4,40.0,38.75,38.83,596651,
2010-03-31 12:03:00,TVSMOT,38.53,41.7,38.13,41.18,2755479,
2010-04-01 12:04:00,TVSMOT,41.43,43.23,41.25,41.48,3782242,
2010-04-05 12:04:00,TVSMOT,42.0,42.6,41.6,42.18,1217824,
2010-04-06 12:04:00,TVSMOT,42.5,42.83,41.88,41.95,763946,
2010-04-07 12:04:00,TVSMOT,42.25,43.13,41.58,42.3,794481,
2010-04-08 12:04:00,TVSMOT,42.45,42.68,41.83,42.28,553210,
2010-04-09 12:04:00,TVSMOT,42.5,44.58,42.2,43.68,2655367,
2010-04-12 12:04:00,TVSMOT,43.83,43.83,42.3,42.45,701348,
