datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,VAIGLO,5.63,5.95,5.63,5.94,10275,
2010-01-05 12:01:00,VAIGLO,5.83,6.24,5.83,6.24,10105,
2010-01-06 12:01:00,VAIGLO,6.54,6.56,6.36,6.56,16769,
2010-01-07 12:01:00,VAIGLO,6.88,6.89,6.64,6.89,6976,
2010-01-08 12:01:00,VAIGLO,7.16,7.24,6.81,7.24,11463,
2010-01-11 12:01:00,VAIGLO,7.6,7.61,7.4,7.61,5341,
2010-01-12 12:01:00,VAIGLO,7.98,7.99,7.8,7.99,16063,
2010-01-13 12:01:00,VAIGLO,7.83,8.1,7.59,7.59,32876,
2010-01-14 12:01:00,VAIGLO,7.6,7.61,7.32,7.37,7574,
2010-01-15 12:01:00,VAIGLO,7.39,7.58,7.27,7.38,5170,
2010-01-18 12:01:00,VAIGLO,7.45,7.49,7.2,7.39,6221,
2010-01-19 12:01:00,VAIGLO,7.24,7.76,7.24,7.76,12958,
2010-01-20 12:01:00,VAIGLO,7.74,8.0,7.44,7.62,6960,
2010-01-21 12:01:00,VAIGLO,7.3,7.55,7.24,7.25,4325,
2010-01-22 12:01:00,VAIGLO,6.89,7.45,6.89,7.28,2182,
2010-01-25 12:01:00,VAIGLO,7.4,7.4,6.98,7.02,700,
2010-01-27 12:01:00,VAIGLO,7.29,7.29,6.7,6.78,2446,
2010-01-28 12:01:00,VAIGLO,6.7,6.7,6.46,6.49,4499,
2010-01-29 12:01:00,VAIGLO,6.3,6.77,6.3,6.61,2031,
2010-02-01 12:02:00,VAIGLO,6.34,6.86,6.34,6.71,855,
2010-02-02 12:02:00,VAIGLO,6.78,6.8,6.42,6.43,2126,
2010-02-04 12:02:00,VAIGLO,6.71,6.71,6.21,6.26,2178,
2010-02-05 12:02:00,VAIGLO,6.22,6.57,6.06,6.1,1835,
2010-02-06 12:02:00,VAIGLO,5.84,5.87,5.82,5.82,430,
2010-02-08 12:02:00,VAIGLO,6.12,6.12,6.11,6.12,971,
2010-02-09 12:02:00,VAIGLO,6.02,6.3,6.0,6.02,3132,
2010-02-10 12:02:00,VAIGLO,6.28,6.28,5.9,5.95,3090,
2010-02-11 12:02:00,VAIGLO,6.18,6.18,5.95,6.05,4208,
2010-02-15 12:02:00,VAIGLO,5.79,6.25,5.76,5.76,7100,
2010-02-16 12:02:00,VAIGLO,5.99,6.04,5.99,6.04,1000,
2010-02-17 12:02:00,VAIGLO,5.81,5.81,5.75,5.76,800,
2010-02-18 12:02:00,VAIGLO,5.6,5.9,5.51,5.57,627,
2010-02-19 12:02:00,VAIGLO,5.84,5.84,5.6,5.81,1883,
2010-02-22 12:02:00,VAIGLO,5.76,5.76,5.53,5.64,3888,
2010-02-23 12:02:00,VAIGLO,5.6,5.6,5.37,5.38,668,
2010-02-24 12:02:00,VAIGLO,5.4,5.4,5.2,5.2,985,
2010-02-25 12:02:00,VAIGLO,5.44,5.45,5.07,5.09,4279,
2010-02-26 12:02:00,VAIGLO,5.02,5.35,5.02,5.35,1629,
2010-03-02 12:03:00,VAIGLO,5.62,5.62,5.42,5.42,2295,
2010-03-03 12:03:00,VAIGLO,5.69,5.7,5.68,5.7,1150,
2010-03-04 12:03:00,VAIGLO,5.95,5.99,5.72,5.96,1696,
2010-03-05 12:03:00,VAIGLO,6.0,6.26,6.0,6.15,2680,
2010-03-08 12:03:00,VAIGLO,6.02,6.5,6.02,6.18,797,
2010-03-09 12:03:00,VAIGLO,6.0,6.4,5.65,5.91,16881,
2010-03-10 12:03:00,VAIGLO,6.11,6.11,5.32,5.63,10335,
2010-03-11 12:03:00,VAIGLO,5.5,5.7,5.5,5.5,3008,
2010-03-12 12:03:00,VAIGLO,5.69,6.05,5.35,5.92,20249,
2010-03-15 12:03:00,VAIGLO,5.87,6.4,5.75,6.09,16772,
2010-03-16 12:03:00,VAIGLO,6.28,6.7,5.88,6.7,26304,
2010-03-17 12:03:00,VAIGLO,6.8,7.2,6.42,6.48,16224,
2010-03-18 12:03:00,VAIGLO,6.21,6.84,6.21,6.65,7518,
2010-03-19 12:03:00,VAIGLO,6.25,7.18,6.25,6.71,14232,
2010-03-22 12:03:00,VAIGLO,6.95,6.95,6.52,6.55,3078,
2010-03-23 12:03:00,VAIGLO,6.97,6.98,6.42,6.45,18314,
2010-03-25 12:03:00,VAIGLO,6.65,6.65,6.1,6.17,14423,
2010-03-26 12:03:00,VAIGLO,6.12,6.48,5.83,5.9,3860,
2010-03-29 12:03:00,VAIGLO,5.8,6.08,5.53,5.57,4026,
2010-03-30 12:03:00,VAIGLO,5.7,6.1,5.51,5.63,8119,
2010-03-31 12:03:00,VAIGLO,5.6,5.7,5.48,5.65,6937,
2010-04-01 12:04:00,VAIGLO,5.7,5.7,5.55,5.66,5741,
2010-04-05 12:04:00,VAIGLO,5.7,5.9,5.65,5.65,7385,
2010-04-06 12:04:00,VAIGLO,5.5,5.78,5.5,5.78,4571,
2010-04-07 12:04:00,VAIGLO,5.76,6.0,5.71,5.83,7824,
2010-04-08 12:04:00,VAIGLO,5.7,5.8,5.62,5.74,1866,
2010-04-09 12:04:00,VAIGLO,5.52,5.88,5.5,5.68,14591,
2010-04-12 12:04:00,VAIGLO,5.62,5.98,5.55,5.57,35801,
2010-04-13 12:04:00,VAIGLO,5.53,5.7,5.53,5.7,2122,
2010-04-16 12:04:00,VAIGLO,6.1,6.33,5.82,5.91,63880,
2010-04-19 12:04:00,VAIGLO,6.0,6.07,5.8,5.93,34844,
2010-04-20 12:04:00,VAIGLO,6.1,6.15,5.93,6.05,12435,
2010-04-21 12:04:00,VAIGLO,6.18,6.18,5.63,5.8,13395,
2010-04-22 12:04:00,VAIGLO,5.85,5.99,5.85,5.92,7940,
2010-04-23 12:04:00,VAIGLO,5.98,5.99,5.4,5.7,22863,
2010-04-26 12:04:00,VAIGLO,5.6,5.75,5.54,5.55,17638,
2010-04-27 12:04:00,VAIGLO,5.5,5.79,5.5,5.64,33231,
2010-04-28 12:04:00,VAIGLO,5.59,5.64,5.52,5.58,10626,
2010-04-29 12:04:00,VAIGLO,5.53,5.64,5.5,5.51,4320,
2010-04-30 12:04:00,VAIGLO,5.5,5.7,5.5,5.65,4852,
2010-05-03 12:05:00,VAIGLO,5.56,5.81,5.43,5.59,15569,
2010-05-04 12:05:00,VAIGLO,5.52,5.76,5.51,5.61,4482,
2010-05-05 12:05:00,VAIGLO,5.6,5.64,5.33,5.37,7489,
2010-05-06 12:05:00,VAIGLO,5.41,5.58,5.36,5.54,2585,
2010-05-07 12:05:00,VAIGLO,5.07,5.5,5.07,5.33,2879,
2010-05-10 12:05:00,VAIGLO,5.5,5.63,5.49,5.59,503,
2010-05-11 12:05:00,VAIGLO,5.59,5.6,5.35,5.4,3028,
2010-05-12 12:05:00,VAIGLO,5.4,5.49,5.28,5.29,1065,
2010-05-13 12:05:00,VAIGLO,5.4,5.8,5.35,5.48,2350,
2010-05-14 12:05:00,VAIGLO,5.5,5.5,5.22,5.38,2105,
2010-05-17 12:05:00,VAIGLO,5.5,5.5,5.1,5.31,3469,
2010-05-18 12:05:00,VAIGLO,5.2,5.6,5.2,5.5,11595,
2010-05-19 12:05:00,VAIGLO,5.48,5.64,5.2,5.22,8123,
2010-05-20 12:05:00,VAIGLO,5.4,5.6,5.4,5.51,10722,
2010-05-24 12:05:00,VAIGLO,5.7,5.85,5.4,5.5,3674,
2010-05-25 12:05:00,VAIGLO,5.69,6.34,5.3,5.48,126940,
2010-05-26 12:05:00,VAIGLO,5.5,5.8,5.48,5.57,8504,
2010-05-27 12:05:00,VAIGLO,5.43,5.95,5.43,5.66,16470,
2010-05-28 12:05:00,VAIGLO,5.7,5.78,5.56,5.62,1156,
2010-05-31 12:05:00,VAIGLO,5.88,6.27,5.57,5.9,43841,
2010-06-01 12:06:00,VAIGLO,5.8,5.86,5.61,5.67,2040,
2010-06-02 12:06:00,VAIGLO,5.68,5.96,5.68,5.79,6190,
2010-06-03 12:06:00,VAIGLO,5.78,5.88,5.54,5.72,19765,
2010-06-04 12:06:00,VAIGLO,5.67,5.67,5.44,5.59,5214,
2010-06-07 12:06:00,VAIGLO,5.52,5.56,5.46,5.47,1551,
2010-06-08 12:06:00,VAIGLO,5.44,5.69,5.42,5.43,1190,
2010-06-09 12:06:00,VAIGLO,5.59,5.6,5.46,5.52,5358,
2010-06-10 12:06:00,VAIGLO,5.6,5.66,5.45,5.53,2394,
2010-06-11 12:06:00,VAIGLO,5.53,5.6,5.53,5.53,759,
2010-06-14 12:06:00,VAIGLO,5.53,5.53,5.53,5.53,250,
2010-06-15 12:06:00,VAIGLO,5.5,5.95,5.5,5.62,11863,
2010-06-16 12:06:00,VAIGLO,5.62,5.68,5.6,5.62,920,
2010-06-17 12:06:00,VAIGLO,5.51,5.73,5.51,5.6,1288,
2010-06-18 12:06:00,VAIGLO,5.55,5.59,5.43,5.47,637,
2010-06-21 12:06:00,VAIGLO,5.49,5.65,5.48,5.55,2266,
2010-06-22 12:06:00,VAIGLO,5.48,5.65,5.41,5.5,1078,
2010-06-23 12:06:00,VAIGLO,5.32,5.8,5.32,5.56,3656,
2010-06-24 12:06:00,VAIGLO,5.6,5.8,5.6,5.7,3360,
2010-06-25 12:06:00,VAIGLO,5.61,5.78,5.53,5.6,2625,
2010-06-28 12:06:00,VAIGLO,5.55,5.7,5.55,5.58,1256,
2010-06-30 12:06:00,VAIGLO,5.5,5.59,5.49,5.53,770,
2010-07-01 12:07:00,VAIGLO,5.64,5.65,5.54,5.65,106,
2010-07-02 12:07:00,VAIGLO,5.68,5.8,5.48,5.61,6159,
2010-07-05 12:07:00,VAIGLO,5.76,5.76,5.6,5.66,950,
2010-07-06 12:07:00,VAIGLO,5.55,5.6,5.36,5.49,15075,
2010-07-07 12:07:00,VAIGLO,5.54,6.59,5.46,6.53,155621,
2010-07-08 12:07:00,VAIGLO,6.96,7.16,6.08,6.23,175337,
2010-07-09 12:07:00,VAIGLO,6.24,6.68,6.08,6.43,52671,
2010-07-12 12:07:00,VAIGLO,6.42,6.68,6.42,6.55,34203,
2010-07-13 12:07:00,VAIGLO,6.42,6.5,6.2,6.26,19691,
2010-07-14 12:07:00,VAIGLO,6.42,7.18,6.23,6.71,127080,
2010-07-15 12:07:00,VAIGLO,6.73,6.73,5.5,6.46,73817,
2010-07-16 12:07:00,VAIGLO,6.7,6.7,6.4,6.47,10500,
2010-07-19 12:07:00,VAIGLO,6.42,6.52,6.34,6.39,11172,
2010-07-20 12:07:00,VAIGLO,6.49,6.58,6.21,6.43,37207,
2010-07-21 12:07:00,VAIGLO,6.3,7.25,6.3,6.86,188147,
2010-07-22 12:07:00,VAIGLO,6.8,7.24,6.8,7.04,46197,
2010-07-23 12:07:00,VAIGLO,7.11,8.08,7.11,7.73,315927,
2010-07-26 12:07:00,VAIGLO,7.98,8.52,7.93,8.18,376107,
2010-07-27 12:07:00,VAIGLO,8.38,8.38,7.6,7.63,48214,
2010-07-29 12:07:00,VAIGLO,7.4,7.59,7.3,7.33,8542,
2010-07-30 12:07:00,VAIGLO,7.32,7.48,7.23,7.34,22725,
2010-08-02 12:08:00,VAIGLO,7.31,7.7,7.02,7.41,25038,
2010-08-03 12:08:00,VAIGLO,7.34,7.6,7.34,7.44,13209,
2010-08-04 12:08:00,VAIGLO,7.3,7.6,7.3,7.47,8270,
2010-08-05 12:08:00,VAIGLO,7.38,7.54,7.3,7.3,14028,
2010-08-06 12:08:00,VAIGLO,7.3,7.98,7.3,7.58,43829,
2010-08-09 12:08:00,VAIGLO,7.5,8.6,7.5,8.29,98960,
2010-08-10 12:08:00,VAIGLO,8.22,8.69,8.07,8.5,88685,
2010-08-11 12:08:00,VAIGLO,8.54,8.6,8.2,8.3,22974,
2010-08-12 12:08:00,VAIGLO,8.1,8.36,8.07,8.14,17689,
2010-08-13 12:08:00,VAIGLO,8.35,8.36,7.31,8.03,30409,
2010-08-16 12:08:00,VAIGLO,7.9,8.28,7.46,7.58,20221,
2010-08-17 12:08:00,VAIGLO,7.52,7.7,7.41,7.51,7276,
2010-08-18 12:08:00,VAIGLO,7.51,7.7,7.4,7.5,17230,
2010-08-19 12:08:00,VAIGLO,7.51,7.7,7.47,7.56,8324,
2010-08-20 12:08:00,VAIGLO,7.3,7.75,7.3,7.63,4989,
2010-08-23 12:08:00,VAIGLO,7.21,7.95,7.21,7.75,12815,
2010-08-24 12:08:00,VAIGLO,7.21,8.2,7.21,7.68,10012,
2010-08-25 12:08:00,VAIGLO,7.44,8.3,7.44,8.19,49692,
2010-08-26 12:08:00,VAIGLO,9.4,9.4,8.04,8.2,149940,
2010-08-30 12:08:00,VAIGLO,7.73,7.85,7.51,7.59,9630,
2010-08-31 12:08:00,VAIGLO,7.5,7.57,7.3,7.37,11087,
2010-09-01 12:09:00,VAIGLO,7.98,7.98,7.25,7.36,6875,
2010-09-02 12:09:00,VAIGLO,7.22,7.69,7.2,7.6,4884,
2010-09-03 12:09:00,VAIGLO,7.2,7.74,7.2,7.53,7821,
2010-09-06 12:09:00,VAIGLO,7.45,7.7,7.45,7.6,6854,
2010-09-07 12:09:00,VAIGLO,7.6,7.79,7.6,7.6,8058,
2010-09-08 12:09:00,VAIGLO,7.46,7.68,7.46,7.53,6655,
2010-09-09 12:09:00,VAIGLO,7.41,7.92,7.41,7.58,35576,
2010-09-13 12:09:00,VAIGLO,7.62,7.8,7.36,7.57,17395,
2010-09-14 12:09:00,VAIGLO,7.59,7.6,7.22,7.26,15416,
2010-09-15 12:09:00,VAIGLO,7.26,7.4,7.25,7.34,7726,
2010-09-16 12:09:00,VAIGLO,7.22,7.57,7.22,7.32,9171,
2010-09-17 12:09:00,VAIGLO,7.85,7.85,7.05,7.19,14011,
2010-09-20 12:09:00,VAIGLO,6.72,7.31,6.72,7.05,19261,
