datetime,stock_code,open,high,low,close,volume,open_interest
2016-11-08 12:11:00,VARBEV,21.23,23.3,20.59,22.69,18118170,
2016-11-09 12:11:00,VARBEV,19.41,22.22,19.41,21.45,811362,
2016-11-10 12:11:00,VARBEV,22.02,22.76,21.4,21.55,459704,
2016-11-11 12:11:00,VARBEV,21.43,22.22,21.23,21.76,324102,
2016-11-15 12:11:00,VARBEV,21.63,21.96,21.23,21.63,359415,
2016-11-16 12:11:00,VARBEV,21.73,22.07,21.28,21.52,79903,
2016-11-17 12:11:00,VARBEV,21.28,21.95,21.28,21.74,217069,
2016-11-18 12:11:00,VARBEV,21.72,21.98,21.48,21.75,84664,
2016-11-21 12:11:00,VARBEV,21.33,21.84,21.33,21.72,74176,
2016-11-22 12:11:00,VARBEV,21.34,21.95,21.34,21.77,72366,
2016-11-23 12:11:00,VARBEV,21.51,21.98,21.4,21.89,159354,
2016-11-24 12:11:00,VARBEV,21.67,21.82,21.55,21.65,27508,
2016-11-28 12:11:00,VARBEV,21.73,21.73,20.99,21.13,45355,
2016-11-29 12:11:00,VARBEV,21.2,21.73,21.01,21.49,39817,
2016-11-30 12:11:00,VARBEV,21.38,21.8,21.38,21.7,52266,
2016-12-01 12:12:00,VARBEV,21.49,21.72,21.33,21.39,17221,
2016-12-02 12:12:00,VARBEV,21.29,21.68,21.29,21.34,19051,
2016-12-05 12:12:00,VARBEV,21.24,21.53,21.09,21.36,24465,
2016-12-06 12:12:00,VARBEV,21.48,21.48,20.75,20.89,19556,
2016-12-07 12:12:00,VARBEV,20.77,21.03,20.12,20.28,49872,
2016-12-08 12:12:00,VARBEV,20.34,21.23,20.3,20.88,39040,
2016-12-09 12:12:00,VARBEV,21.0,21.01,20.45,20.5,18733,
2016-12-12 12:12:00,VARBEV,20.0,20.84,20.0,20.78,20019,
2016-12-13 12:12:00,VARBEV,20.35,20.8,20.35,20.62,7192,
2016-12-14 12:12:00,VARBEV,20.79,20.79,20.52,20.57,16041,
2016-12-15 12:12:00,VARBEV,20.25,20.79,20.25,20.75,23359,
2016-12-16 12:12:00,VARBEV,20.52,21.04,20.3,20.39,62957,
2016-12-19 12:12:00,VARBEV,20.49,20.5,20.05,20.3,41205,
2016-12-20 12:12:00,VARBEV,20.44,20.47,20.0,20.05,21851,
2016-12-21 12:12:00,VARBEV,20.1,20.1,19.54,19.64,35036,
2016-12-22 12:12:00,VARBEV,19.66,19.75,17.87,18.97,50883,
2016-12-23 12:12:00,VARBEV,18.77,19.06,18.27,18.37,23162,
2016-12-26 12:12:00,VARBEV,18.22,18.22,17.33,17.75,36366,
