datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,VARTEX,41.8,43.9,41.8,43.0,124435,
2010-01-05 12:01:00,VARTEX,43.82,47.28,43.42,46.73,328385,
2010-01-06 12:01:00,VARTEX,44.23,48.95,44.23,48.03,180871,
2010-01-07 12:01:00,VARTEX,48.03,48.8,46.7,47.56,79262,
2010-01-08 12:01:00,VARTEX,47.98,48.2,46.5,46.63,37938,
2010-01-11 12:01:00,VARTEX,47.2,49.74,46.81,48.16,89977,
2010-01-12 12:01:00,VARTEX,48.16,53.58,48.16,51.0,253963,
2010-01-13 12:01:00,VARTEX,49.03,52.0,49.03,50.78,55987,
2010-01-14 12:01:00,VARTEX,53.8,53.8,50.6,50.91,49585,
2010-01-15 12:01:00,VARTEX,51.6,52.4,50.87,51.1,75950,
2010-01-18 12:01:00,VARTEX,50.2,55.12,50.2,54.1,157748,
2010-01-19 12:01:00,VARTEX,54.95,56.19,51.27,52.03,91385,
2010-01-20 12:01:00,VARTEX,52.42,53.6,51.03,51.97,26609,
2010-01-21 12:01:00,VARTEX,52.0,53.8,50.6,50.97,93302,
2010-01-22 12:01:00,VARTEX,49.2,50.78,48.02,49.92,47085,
2010-01-25 12:01:00,VARTEX,46.6,51.98,46.6,50.74,53402,
2010-01-27 12:01:00,VARTEX,48.21,50.8,46.9,47.81,46996,
2010-01-28 12:01:00,VARTEX,48.07,50.0,46.6,48.02,46769,
2010-01-29 12:01:00,VARTEX,46.02,48.1,45.22,47.7,56282,
2010-02-01 12:02:00,VARTEX,45.2,50.6,45.2,47.92,67355,
2010-02-02 12:02:00,VARTEX,48.0,49.96,47.65,48.19,191369,
2010-02-04 12:02:00,VARTEX,48.02,48.4,44.6,45.05,56157,
2010-02-05 12:02:00,VARTEX,43.2,44.79,42.02,42.56,26026,
2010-02-06 12:02:00,VARTEX,43.0,44.6,43.0,44.26,8258,
2010-02-08 12:02:00,VARTEX,45.6,45.6,43.0,43.77,39085,
2010-02-09 12:02:00,VARTEX,44.8,44.8,43.02,43.76,9929,
2010-02-10 12:02:00,VARTEX,43.8,45.6,43.06,43.89,68966,
2010-02-11 12:02:00,VARTEX,45.0,45.4,43.5,44.37,15446,
2010-02-15 12:02:00,VARTEX,44.35,45.5,43.92,44.98,8440,
2010-02-16 12:02:00,VARTEX,45.18,48.8,44.21,47.88,60124,
2010-02-17 12:02:00,VARTEX,48.21,52.47,47.8,48.69,376604,
2010-02-18 12:02:00,VARTEX,47.6,49.0,46.6,46.99,40307,
2010-02-19 12:02:00,VARTEX,46.97,47.0,45.22,45.66,18681,
2010-02-22 12:02:00,VARTEX,46.28,46.91,43.42,44.01,19841,
2010-02-23 12:02:00,VARTEX,43.8,45.18,43.2,43.79,21078,
2010-02-24 12:02:00,VARTEX,43.4,44.39,42.91,43.01,17953,
2010-02-25 12:02:00,VARTEX,43.16,43.72,43.15,43.5,15484,
2010-02-26 12:02:00,VARTEX,44.2,44.84,43.42,43.86,38283,
2010-03-02 12:03:00,VARTEX,45.64,47.8,44.06,44.41,33755,
2010-03-03 12:03:00,VARTEX,44.21,45.17,44.21,44.85,12800,
2010-03-04 12:03:00,VARTEX,44.99,45.0,43.69,43.85,31305,
2010-03-05 12:03:00,VARTEX,44.59,45.53,44.0,44.73,44753,
2010-03-08 12:03:00,VARTEX,44.9,46.8,44.9,46.05,31059,
2010-03-09 12:03:00,VARTEX,46.0,46.57,45.2,45.65,16537,
2010-03-10 12:03:00,VARTEX,45.6,46.77,45.2,45.43,81736,
2010-03-11 12:03:00,VARTEX,45.54,46.8,45.3,46.16,73351,
2010-03-12 12:03:00,VARTEX,46.22,46.8,45.43,45.79,21827,
2010-03-15 12:03:00,VARTEX,45.55,46.0,43.4,44.11,16623,
2010-03-16 12:03:00,VARTEX,45.3,45.3,44.02,44.9,8782,
2010-03-17 12:03:00,VARTEX,45.0,45.34,44.2,44.39,11938,
2010-03-18 12:03:00,VARTEX,45.0,47.88,44.53,47.58,91936,
2010-03-19 12:03:00,VARTEX,48.0,48.4,46.8,47.25,37230,
2010-03-22 12:03:00,VARTEX,46.99,47.25,45.62,45.73,13249,
2010-03-23 12:03:00,VARTEX,46.36,49.2,46.36,46.8,23475,
2010-03-25 12:03:00,VARTEX,47.02,47.12,45.8,46.17,14672,
2010-03-26 12:03:00,VARTEX,45.95,47.5,45.94,47.33,27936,
2010-03-29 12:03:00,VARTEX,46.8,53.19,46.8,51.75,149423,
2010-03-30 12:03:00,VARTEX,51.98,62.1,51.31,54.56,148326,
2010-03-31 12:03:00,VARTEX,54.68,56.4,52.0,53.01,33812,
2010-04-01 12:04:00,VARTEX,53.8,55.0,51.8,53.49,65964,
2010-04-05 12:04:00,VARTEX,53.7,54.6,53.24,53.61,31795,
2010-04-06 12:04:00,VARTEX,54.6,54.6,52.71,53.17,26084,
2010-04-07 12:04:00,VARTEX,51.2,55.36,51.2,54.51,38822,
2010-04-08 12:04:00,VARTEX,54.86,55.96,53.04,53.79,40521,
2010-04-09 12:04:00,VARTEX,54.0,54.6,52.66,53.07,26404,
2010-04-12 12:04:00,VARTEX,52.8,53.8,52.4,53.25,24832,
2010-04-13 12:04:00,VARTEX,53.24,54.08,52.62,53.42,28422,
2010-04-16 12:04:00,VARTEX,54.6,54.6,52.36,52.99,13146,
2010-04-19 12:04:00,VARTEX,52.0,52.0,50.65,51.14,9362,
2010-04-20 12:04:00,VARTEX,51.7,52.78,51.41,52.09,8184,
2010-04-21 12:04:00,VARTEX,51.4,54.95,51.4,54.2,25375,
2010-04-22 12:04:00,VARTEX,52.4,55.99,51.63,55.07,34134,
2010-04-23 12:04:00,VARTEX,53.64,55.33,53.64,54.52,27042,
2010-04-26 12:04:00,VARTEX,52.03,55.0,52.03,53.93,11255,
2010-04-27 12:04:00,VARTEX,55.0,55.0,53.65,54.42,10627,
2010-04-28 12:04:00,VARTEX,52.0,53.94,51.16,51.28,19801,
2010-04-29 12:04:00,VARTEX,51.5,54.2,51.5,53.88,18014,
2010-04-30 12:04:00,VARTEX,53.0,55.88,53.0,53.6,6789,
2010-05-03 12:05:00,VARTEX,53.3,54.0,52.05,52.88,204268,
2010-05-04 12:05:00,VARTEX,52.9,56.99,52.9,53.87,75042,
2010-05-05 12:05:00,VARTEX,53.25,54.1,52.36,52.85,25000,
2010-05-06 12:05:00,VARTEX,52.44,55.0,52.25,54.2,17696,
2010-05-07 12:05:00,VARTEX,53.0,55.2,53.0,53.99,44111,
2010-05-10 12:05:00,VARTEX,54.6,60.0,53.0,53.26,68604,
2010-05-11 12:05:00,VARTEX,53.86,54.4,51.0,51.25,29948,
2010-05-12 12:05:00,VARTEX,51.6,51.98,49.11,50.03,39702,
2010-05-13 12:05:00,VARTEX,48.8,53.0,48.8,52.12,16139,
2010-05-14 12:05:00,VARTEX,51.0,52.6,50.42,51.0,80959,
2010-05-17 12:05:00,VARTEX,48.02,53.48,47.42,52.42,56809,
2010-05-18 12:05:00,VARTEX,53.0,53.8,52.64,53.32,17234,
2010-05-19 12:05:00,VARTEX,50.43,53.0,50.43,51.01,34065,
2010-05-20 12:05:00,VARTEX,50.1,51.97,50.1,50.94,8460,
