datetime,stock_code,open,high,low,close,volume,open_interest
2022-02-16 12:02:00,VEDFAS,935.0,992.7,920.0,933.55,19754867,
2022-02-17 12:02:00,VEDFAS,950.0,963.0,912.6,920.25,2987328,
2022-02-18 12:02:00,VEDFAS,893.0,917.9,882.0,906.4,973745,
2022-02-21 12:02:00,VEDFAS,880.0,905.75,874.5,880.1,1226361,
2022-02-22 12:02:00,VEDFAS,850.0,887.0,826.7,863.25,940236,
2022-02-23 12:02:00,VEDFAS,870.0,882.8,845.2,854.95,926259,
2022-02-24 12:02:00,VEDFAS,790.2,900.0,790.2,813.35,778427,
2022-02-25 12:02:00,VEDFAS,817.0,848.0,817.0,835.8,261276,
2022-02-28 12:02:00,VEDFAS,835.8,900.0,832.1,892.2,497233,
2022-03-02 12:03:00,VEDFAS,888.0,913.3,877.0,883.15,446539,
2022-03-03 12:03:00,VEDFAS,890.0,905.0,834.05,863.65,745682,
2022-03-04 12:03:00,VEDFAS,853.0,861.95,846.6,850.5,129432,
2022-03-07 12:03:00,VEDFAS,835.0,844.0,827.7,832.8,330996,
2022-03-08 12:03:00,VEDFAS,836.5,854.95,825.0,839.2,171788,
2022-03-09 12:03:00,VEDFAS,844.0,878.8,836.6,871.9,368220,
2022-03-10 12:03:00,VEDFAS,878.0,894.0,873.9,881.4,158073,
2022-03-11 12:03:00,VEDFAS,869.0,894.55,850.85,864.55,158323,
2022-03-14 12:03:00,VEDFAS,858.7,885.0,845.7,863.5,1704307,
2022-03-15 12:03:00,VEDFAS,862.0,880.0,850.05,869.9,257448,
2022-03-16 12:03:00,VEDFAS,879.25,879.95,852.0,867.8,150408,
2022-03-17 12:03:00,VEDFAS,870.0,908.0,870.0,900.55,521984,
2022-03-21 12:03:00,VEDFAS,899.0,917.1,896.2,912.2,640253,
2022-03-22 12:03:00,VEDFAS,896.0,935.0,896.0,913.7,201732,
2022-03-23 12:03:00,VEDFAS,918.0,950.0,909.95,936.45,207756,
2022-03-24 12:03:00,VEDFAS,921.0,942.9,915.05,920.8,312533,
2022-03-25 12:03:00,VEDFAS,920.0,940.0,919.9,930.7,123701,
2022-03-28 12:03:00,VEDFAS,924.0,940.0,911.0,923.2,215466,
2022-03-29 12:03:00,VEDFAS,921.5,950.75,921.5,940.45,230135,
2022-03-30 12:03:00,VEDFAS,960.0,975.0,888.7,960.45,386824,
2022-03-31 12:03:00,VEDFAS,961.0,1024.4,941.6,966.95,545493,
2022-04-01 12:04:00,VEDFAS,965.0,1008.45,960.05,998.45,137893,
2022-04-04 12:04:00,VEDFAS,1030.0,1060.1,1001.0,1009.6,287299,
2022-04-05 12:04:00,VEDFAS,1015.0,1119.0,999.0,1088.05,855999,
2022-04-06 12:04:00,VEDFAS,1082.0,1111.15,1040.0,1053.4,196825,
2022-04-07 12:04:00,VEDFAS,1059.0,1068.25,986.95,1021.25,141428,
