datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,VSTIND,47.91,48.91,47.5,47.8,1304,
2010-01-05 12:01:00,VSTIND,48.18,48.79,47.45,48.58,8192,
2010-01-06 12:01:00,VSTIND,48.58,49.42,48.27,48.63,7150,
2010-01-07 12:01:00,VSTIND,47.95,49.64,47.95,48.79,2002,
2010-01-08 12:01:00,VSTIND,49.53,49.73,48.65,49.52,3332,
2010-01-11 12:01:00,VSTIND,49.45,50.0,49.45,49.53,2262,
2010-01-12 12:01:00,VSTIND,48.75,50.0,48.74,49.1,2579,
2010-01-13 12:01:00,VSTIND,49.99,50.0,46.41,46.9,8522,
2010-01-14 12:01:00,VSTIND,47.09,49.09,46.39,47.78,11961,
2010-01-15 12:01:00,VSTIND,48.55,48.55,47.32,47.38,1897,
2010-01-18 12:01:00,VSTIND,48.0,48.0,46.45,46.7,3898,
2010-01-19 12:01:00,VSTIND,46.81,46.96,46.05,46.09,3459,
2010-01-20 12:01:00,VSTIND,46.72,47.27,45.73,46.53,4618,
2010-01-21 12:01:00,VSTIND,47.18,47.18,46.27,46.6,914,
2010-01-22 12:01:00,VSTIND,46.81,46.81,45.73,46.02,2438,
2010-01-25 12:01:00,VSTIND,45.92,46.84,45.91,46.76,713,
2010-01-27 12:01:00,VSTIND,46.29,46.36,44.12,44.93,4417,
2010-01-28 12:01:00,VSTIND,45.45,45.81,44.45,44.6,2628,
2010-01-29 12:01:00,VSTIND,43.83,45.9,43.83,45.68,497,
2010-02-01 12:02:00,VSTIND,45.9,46.64,45.45,46.2,798,
2010-02-02 12:02:00,VSTIND,44.28,48.91,44.28,45.91,16116,
2010-02-04 12:02:00,VSTIND,45.19,47.26,45.05,45.32,1756,
2010-02-05 12:02:00,VSTIND,44.88,45.45,44.18,44.74,2526,
2010-02-06 12:02:00,VSTIND,44.73,45.0,41.82,44.87,533,
2010-02-08 12:02:00,VSTIND,45.17,45.36,44.55,44.95,1144,
2010-02-09 12:02:00,VSTIND,45.09,45.09,43.94,44.25,2408,
2010-02-10 12:02:00,VSTIND,43.82,44.84,43.82,44.37,185,
2010-02-11 12:02:00,VSTIND,45.01,45.38,44.18,44.6,1255,
2010-02-15 12:02:00,VSTIND,44.91,47.09,44.28,45.64,1927,
2010-02-16 12:02:00,VSTIND,46.36,47.27,44.55,45.37,52306,
2010-02-17 12:02:00,VSTIND,45.45,46.35,44.37,44.71,4750,
2010-02-18 12:02:00,VSTIND,44.77,45.45,44.55,45.07,2189,
2010-02-19 12:02:00,VSTIND,44.25,45.45,43.92,44.78,1503,
2010-02-22 12:02:00,VSTIND,45.82,45.82,44.25,44.97,2428,
2010-02-23 12:02:00,VSTIND,45.14,45.45,44.45,45.24,1322,
2010-02-24 12:02:00,VSTIND,44.18,45.0,43.64,44.02,2422,
2010-02-25 12:02:00,VSTIND,43.75,44.65,42.5,42.96,5752,
2010-02-26 12:02:00,VSTIND,43.66,44.55,41.59,44.08,4334,
2010-03-02 12:03:00,VSTIND,43.64,44.27,43.18,44.21,1685,
2010-03-03 12:03:00,VSTIND,43.73,44.48,43.73,44.25,1601,
2010-03-04 12:03:00,VSTIND,43.74,45.91,43.74,44.4,4491,
2010-03-05 12:03:00,VSTIND,44.45,44.59,43.73,44.01,2043,
2010-03-08 12:03:00,VSTIND,44.53,44.64,43.95,44.19,1338,
2010-03-09 12:03:00,VSTIND,44.0,44.72,44.0,44.52,3883,
2010-03-10 12:03:00,VSTIND,43.82,44.63,43.82,44.53,1422,
2010-03-11 12:03:00,VSTIND,43.64,44.64,43.64,44.5,4353,
2010-03-12 12:03:00,VSTIND,44.32,45.45,44.15,44.31,1097,
2010-03-15 12:03:00,VSTIND,44.37,44.55,43.77,44.11,899,
2010-03-16 12:03:00,VSTIND,43.89,45.45,43.86,44.85,1209,
2010-03-17 12:03:00,VSTIND,44.55,45.43,44.46,44.95,2633,
2010-03-18 12:03:00,VSTIND,45.45,45.73,45.0,45.46,2408,
2010-03-19 12:03:00,VSTIND,45.45,46.18,45.0,45.77,2525,
2010-03-22 12:03:00,VSTIND,46.18,46.18,45.0,45.46,1059,
2010-03-23 12:03:00,VSTIND,44.82,46.16,44.82,45.68,11556,
2010-03-25 12:03:00,VSTIND,45.46,47.27,45.46,46.78,2284,
2010-03-26 12:03:00,VSTIND,46.37,47.27,46.05,46.9,2932,
2010-03-29 12:03:00,VSTIND,47.22,48.64,46.49,47.93,4324,
2010-03-30 12:03:00,VSTIND,47.91,51.82,47.85,49.48,7061,
2010-03-31 12:03:00,VSTIND,50.36,50.36,46.82,48.06,11387,
2010-04-01 12:04:00,VSTIND,48.64,48.64,47.18,47.86,1196,
2010-04-05 12:04:00,VSTIND,46.18,49.55,46.18,49.36,1950,
2010-04-06 12:04:00,VSTIND,49.55,50.45,49.09,50.39,5643,
2010-04-07 12:04:00,VSTIND,50.77,51.35,49.54,49.8,1801,
2010-04-08 12:04:00,VSTIND,50.35,50.73,49.56,49.91,2276,
2010-04-09 12:04:00,VSTIND,48.36,50.72,48.36,50.26,2428,
2010-04-12 12:04:00,VSTIND,52.2,52.2,49.66,50.44,1829,
2010-04-13 12:04:00,VSTIND,51.8,51.8,50.18,50.65,4953,
2010-04-16 12:04:00,VSTIND,49.85,50.91,49.1,50.78,16599,
2010-04-19 12:04:00,VSTIND,50.82,50.82,49.82,50.12,8315,
2010-04-20 12:04:00,VSTIND,50.71,50.71,50.0,50.26,4643,
2010-04-21 12:04:00,VSTIND,50.45,50.7,49.79,49.81,3239,
2010-04-22 12:04:00,VSTIND,50.39,51.82,49.55,50.76,4057,
2010-04-23 12:04:00,VSTIND,49.95,50.27,49.27,49.59,4676,
2010-04-26 12:04:00,VSTIND,50.18,50.45,49.8,49.92,2551,
2010-04-27 12:04:00,VSTIND,50.36,50.36,49.65,49.74,883,
2010-04-28 12:04:00,VSTIND,49.73,49.9,48.91,49.22,5097,
2010-04-29 12:04:00,VSTIND,48.68,50.0,48.68,49.63,2429,
2010-04-30 12:04:00,VSTIND,49.82,49.82,49.0,49.11,2392,
2010-05-03 12:05:00,VSTIND,48.75,49.64,45.55,48.48,8478,
2010-05-04 12:05:00,VSTIND,49.17,49.18,48.15,48.5,2788,
2010-05-05 12:05:00,VSTIND,48.36,49.45,47.82,48.53,2491,
2010-05-06 12:05:00,VSTIND,49.09,49.82,48.0,49.09,6100,
2010-05-07 12:05:00,VSTIND,48.36,49.09,48.27,48.65,2096,
2010-05-10 12:05:00,VSTIND,49.45,50.0,48.91,49.95,1306,
2010-05-11 12:05:00,VSTIND,49.45,50.09,49.27,49.95,1154,
2010-05-12 12:05:00,VSTIND,49.82,50.35,49.22,49.43,2087,
2010-05-13 12:05:00,VSTIND,50.73,50.73,48.64,49.08,9586,
2010-05-14 12:05:00,VSTIND,48.96,49.32,48.64,49.09,3062,
2010-05-17 12:05:00,VSTIND,50.0,50.0,48.37,49.14,3952,
2010-05-18 12:05:00,VSTIND,49.45,49.45,48.86,49.22,806,
2010-05-19 12:05:00,VSTIND,49.36,49.43,48.27,48.65,1613,
