datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,WIPRO,77.06,78.41,76.04,78.05,767166,
2010-01-05 12:01:00,WIPRO,78.33,79.65,78.02,79.28,1120433,
2010-01-06 12:01:00,WIPRO,79.43,79.88,77.29,77.68,1029382,
2010-01-07 12:01:00,WIPRO,78.19,78.24,75.94,76.3,1031096,
2010-01-08 12:01:00,WIPRO,76.39,76.5,74.93,75.16,642789,
2010-01-11 12:01:00,WIPRO,75.04,76.62,73.83,74.41,1277525,
2010-01-12 12:01:00,WIPRO,75.6,79.18,75.6,78.05,2338854,
2010-01-13 12:01:00,WIPRO,78.41,81.0,77.45,80.51,2538808,
2010-01-14 12:01:00,WIPRO,80.98,84.68,79.67,83.37,4383044,
2010-01-15 12:01:00,WIPRO,81.34,83.99,81.23,82.79,3302495,
2010-01-18 12:01:00,WIPRO,82.69,84.51,82.14,84.09,1799851,
2010-01-19 12:01:00,WIPRO,85.03,85.03,82.14,83.13,922176,
2010-01-20 12:01:00,WIPRO,84.38,84.38,81.17,81.74,2344389,
2010-01-21 12:01:00,WIPRO,81.9,83.14,79.44,79.81,1928658,
2010-01-22 12:01:00,WIPRO,78.75,80.44,78.25,78.76,1717686,
2010-01-25 12:01:00,WIPRO,78.19,79.2,77.15,78.2,898483,
2010-01-27 12:01:00,WIPRO,77.63,77.65,73.15,73.73,1848422,
2010-01-28 12:01:00,WIPRO,75.83,77.49,73.74,75.76,1531589,
2010-01-29 12:01:00,WIPRO,74.81,74.93,71.04,72.89,2210514,
2010-02-01 12:02:00,WIPRO,72.42,75.9,71.22,75.18,1224195,
2010-02-02 12:02:00,WIPRO,77.4,78.08,73.24,73.49,936220,
2010-02-04 12:02:00,WIPRO,74.93,75.54,73.24,73.71,739314,
2010-02-05 12:02:00,WIPRO,71.45,73.58,71.45,72.46,1420319,
2010-02-06 12:02:00,WIPRO,72.0,73.46,72.0,72.91,54556,
2010-02-08 12:02:00,WIPRO,72.39,73.13,70.89,71.57,1066849,
2010-02-09 12:02:00,WIPRO,71.1,74.06,71.1,73.61,999924,
2010-02-10 12:02:00,WIPRO,74.25,74.7,72.49,72.87,769139,
2010-02-11 12:02:00,WIPRO,73.5,74.5,73.13,73.77,479044,
2010-02-15 12:02:00,WIPRO,73.58,74.93,73.58,74.24,627911,
2010-02-16 12:02:00,WIPRO,74.36,75.43,73.6,75.37,640257,
2010-02-17 12:02:00,WIPRO,76.5,76.5,74.48,75.53,831526,
2010-02-18 12:02:00,WIPRO,75.94,76.16,74.71,75.14,486424,
2010-02-19 12:02:00,WIPRO,74.48,75.66,74.03,74.9,1440901,
2010-02-22 12:02:00,WIPRO,75.04,76.56,74.84,75.17,443931,
2010-02-23 12:02:00,WIPRO,75.03,76.41,74.36,76.09,553498,
2010-02-24 12:02:00,WIPRO,76.28,76.61,75.23,75.62,816936,
2010-02-25 12:02:00,WIPRO,76.16,76.73,74.83,75.31,960636,
2010-02-26 12:02:00,WIPRO,75.5,77.41,74.81,76.22,730767,
2010-03-02 12:03:00,WIPRO,75.94,79.09,75.94,78.89,1071441,
2010-03-03 12:03:00,WIPRO,79.31,79.65,77.89,78.58,847091,
2010-03-04 12:03:00,WIPRO,78.47,78.83,77.57,78.05,938007,
2010-03-05 12:03:00,WIPRO,78.19,78.86,76.84,77.16,647301,
2010-03-08 12:03:00,WIPRO,77.29,79.27,77.16,78.49,828407,
2010-03-09 12:03:00,WIPRO,78.98,80.16,78.75,78.98,742189,
2010-03-10 12:03:00,WIPRO,78.98,79.64,78.03,78.33,526087,
2010-03-11 12:03:00,WIPRO,78.98,80.33,78.64,79.81,1126965,
2010-03-12 12:03:00,WIPRO,80.42,80.65,79.58,79.88,957997,
2010-03-15 12:03:00,WIPRO,80.44,82.24,79.65,81.97,1340014,
2010-03-16 12:03:00,WIPRO,82.24,82.69,81.25,81.87,777028,
2010-03-17 12:03:00,WIPRO,82.58,83.48,82.11,83.15,678102,
2010-03-18 12:03:00,WIPRO,83.81,84.38,81.47,82.01,546634,
2010-03-19 12:03:00,WIPRO,82.34,82.81,81.46,81.73,532244,
2010-03-22 12:03:00,WIPRO,80.97,82.61,80.44,81.9,503196,
2010-03-23 12:03:00,WIPRO,81.0,82.68,80.79,81.03,598038,
2010-03-25 12:03:00,WIPRO,80.44,81.56,79.88,80.9,1055224,
2010-03-26 12:03:00,WIPRO,81.68,82.03,80.13,80.72,602528,
2010-03-29 12:03:00,WIPRO,80.78,81.34,79.82,80.51,658065,
