datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,YESBAN,53.76,53.9,53.23,53.69,560429,
2010-01-05 12:01:00,YESBAN,53.99,55.76,52.0,54.48,3682135,
2010-01-06 12:01:00,YESBAN,54.68,55.17,53.42,53.71,1798202,
2010-01-07 12:01:00,YESBAN,53.91,53.95,52.61,52.8,1077233,
2010-01-08 12:01:00,YESBAN,53.0,53.34,52.4,52.55,963831,
2010-01-11 12:01:00,YESBAN,53.1,54.16,52.81,53.52,981635,
2010-01-12 12:01:00,YESBAN,53.6,54.1,52.07,52.62,1284854,
2010-01-13 12:01:00,YESBAN,52.34,52.61,51.34,52.51,1946649,
2010-01-14 12:01:00,YESBAN,52.6,54.22,52.6,53.82,1660392,
2010-01-15 12:01:00,YESBAN,54.14,54.45,53.23,53.42,684481,
2010-01-18 12:01:00,YESBAN,53.03,54.7,53.03,54.46,907440,
2010-01-19 12:01:00,YESBAN,54.8,57.14,54.7,56.8,5494344,
2010-01-20 12:01:00,YESBAN,57.0,57.55,54.4,54.64,4885829,
2010-01-21 12:01:00,YESBAN,54.38,54.47,52.6,52.94,3017327,
2010-01-22 12:01:00,YESBAN,52.24,52.8,51.0,51.85,2594173,
2010-01-25 12:01:00,YESBAN,51.69,51.69,48.58,49.16,2466046,
2010-01-27 12:01:00,YESBAN,48.6,48.99,46.26,47.17,3157961,
2010-01-28 12:01:00,YESBAN,47.7,50.5,47.6,49.09,4167116,
2010-01-29 12:01:00,YESBAN,48.86,50.45,47.8,49.85,3567945,
2010-02-01 12:02:00,YESBAN,50.0,51.0,49.14,50.62,1335238,
2010-02-02 12:02:00,YESBAN,51.02,51.51,48.3,48.67,1994368,
2010-02-04 12:02:00,YESBAN,50.0,50.58,48.0,48.54,1590518,
2010-02-05 12:02:00,YESBAN,47.7,48.68,46.44,47.86,1374975,
2010-02-06 12:02:00,YESBAN,48.08,49.1,48.08,48.36,121317,
2010-02-08 12:02:00,YESBAN,48.98,48.98,46.78,47.69,2167482,
2010-02-09 12:02:00,YESBAN,47.98,48.26,47.2,47.57,1460259,
